"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 015","Професионална гимназия по електроника и енергетика","52","3,98","0","0,00","0","0,00","2","5,31","5","4,72","0","0,00","1","3,84","8","5,37","3","5,14","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","19","5,07","71","4,28"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","45","3,90","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","45","3,90"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 010","Гимназия по туризъм ""Алеко Константинов""","4","3,51","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","4","3,51"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 002","Професионална гимназия ""Никола Йонков Вапцаров""","20","4,36","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","20","4,36"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 001","Средно училище ""Св.Св.Кирил и Методий""","51","4,41","0","0,00","0","0,00","0","0,00","38","4,34","0","0,00","3","5,39","11","4,36","3","5,21","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","55","4,45","106","4,43"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 280","Професионална гимназия по икономика  ""Иван Илиев""","130","4,46","0","0,00","0","0,00","0","0,00","5","4,38","0","0,00","6","5,09","18","4,04","18","4,95","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","47","4,56","177","4,49"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 300","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","75","3,84","3","3,67","3","4,10","0","0,00","5","4,02","0","0,00","32","4,03","17","3,66","7","4,85","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","67","4,01","142","3,92"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 052","Благоевградска професионална гимназия ""Ичко Бойчев""","51","3,31","0","0,00","0","0,00","0","0,00","26","3,19","0","0,00","0","0,00","2","2,66","4","4,51","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","32","3,32","83","3,32"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 730","Професионална гимназия  по туризъм и лека промишленост ""Гоце Делчев""","30","3,39","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","30","3,39"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 190","Езикова гимназия  ""Акад. Людмил Стоянов""","158","5,24","3","4,43","2","4,45","0","0,00","2","4,39","0","0,00","1","5,86","10","5,41","108","5,52","0","0,00","15","5,35","0","0,00","17","5,04","0","0,00","158","5,40","316","5,32"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 200","Природо-математическа гимназия  ""Акад. Сергей Корольов""","158","5,06","59","4,97","2","5,56","0","0,00","11","4,54","0","0,00","4","5,17","7","5,06","69","5,53","0","0,00","6","5,36","0","0,00","0","0,00","0","0,00","158","5,22","316","5,14"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","103","4,59","0","0,00","6","4,58","0","0,00","5","4,32","0","0,00","31","4,54","14","3,91","42","5,04","0","0,00","0","0,00","4","4,61","0","0,00","0","0,00","102","4,66","205","4,62"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 070","Седмо средно училище ""Кузман Шапкарев""","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","2,44","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","2,44","1","2,44"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 250","Средно училище с изучаване  на чужди езици ""Свети Климент Охридски""","43","3,71","0","0,00","3","3,69","0","0,00","3","3,94","0","0,00","19","3,86","5","3,02","13","4,89","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","43","4,07","86","3,89"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 880","Средно училище ""Иван Вазов""","1","2,04","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,06","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,06","2","2,55"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","102 060","Пето средно училище  ""Георги Измирлиев""","20","3,60","0","0,00","0","0,00","0","0,00","1","4,70","0","0,00","1","4,21","14","3,54","4","4,73","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","20","3,87","40","3,73"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 001","Неврокопска професионална гимназия ""Димитър Талев""","142","4,09","0","0,00","1","4,12","0","0,00","8","3,70","0","0,00","0","0,00","2","3,29","6","4,83","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","17","4,07","159","4,09"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 016","Професионална гимназия по механизация  на селското стопанство ""Пейо Крачолов Яворов""","78","3,25","0","0,00","1","3,06","0","0,00","1","2,62","0","0,00","0","0,00","2","2,53","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","4","2,68","82","3,22"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","102 002","Природо-математическа гимназия ""Яне Сандански""","107","4,75","15","4,52","2","3,61","1","5,88","3","3,31","1","5,12","13","4,56","29","5,07","43","5,37","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","107","4,98","214","4,87"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","103 401","Средно училище  ""Св. Св. Кирил и Методий""","19","3,96","0","0,00","1","4,64","0","0,00","0","0,00","0","0,00","0","0,00","16","3,89","2","4,72","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","19","4,01","38","3,99"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","101 301","Средно училище  ""Св.Св.Кирил и Методий""","3","2,93","0","0,00","0","0,00","0","0,00","4","2,89","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","4","2,89","7","2,90"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","103 002","Средно училище  ""Йордан Йовков""","30","3,44","1","5,56","0","0,00","0","0,00","1","3,87","0","0,00","25","3,57","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","27","3,66","57","3,54"
