"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Брой","БЕЛ Ср.успех","МАТ Брой","МАТ Ср.успех","ИЦ Брой","ИЦ Ср.успех","ФА Брой","ФА Ср.успех","ГИ Брой","ГИ Ср.успех","ХООС Брой","ХООС Ср.успех","ФИЛ Брой","ФИЛ Ср.успех","БЗО Брой","БЗО Ср.успех","АЕ Брой","АЕ Ср.успех","РЕ Брой","РЕСр.успех","НЕ Брой","НЕ Ср.успех","ИспЕ Брой","ИспЕ Ср.успех","ФрЕ Брой","ФрЕ Ср.успех","ИтЕ Брой","ИтЕ Ср.успех","2ДЗИ Брой","2ДЗИ Ср.успех","общо Брой","общо Ср.успех"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102015","Професионална гимназия по електроника и енергетика","38","4,048","0","0","1","5,67","0","0","8","3,157","0","0","1","4,09","7","4,342","15","4,944","2","5,635","0","0","0","0","0","0","0","0","34","4,436","72","4,231"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","39","3,916","0","0","1","4,53","0","0","17","3,724","0","0","0","0","20","4,981","1","4,78","0","0","0","0","0","0","0","0","0","0","39","4,416","78","4,166"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102010","Гимназия по  туризъм ""Алеко Константинов""","18","3,454","0","0","0","0","0","0","3","3,373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3,373","21","3,442"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105002","Професионална гимназия ""Никола Йонков Вапцаров""","17","3,955","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","3,955"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105001","Средно  училище ""Св.Св.Кирил и Методий""","39","4,336","3","4,146","0","0","0","0","9","4,781","0","0","0","0","29","4,756","1","5,56","0","0","0","0","0","0","0","0","0","0","42","4,737","81","4,544"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100280","Професионална гимназия по икономика   ""Иван Илиев""","144","4,62","0","0","0","0","0","0","3","3,25","0","0","0","0","11","4,527","9","5,113","0","0","0","0","0","0","0","0","0","0","23","4,59","167","4,615"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100300","Професионална гимназия по строителство, архитектура и геодезия "" Васил Левски""","63","4,137","4","3,58","1","3,39","0","0","3","3,786","0","0","12","3,541","12","3,754","6","5,538","0","0","0","0","0","0","0","0","0","0","38","3,943","101","4,064"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100052","Благоевградска професионална гимназия","53","3,353","1","3,59","0","0","0","0","24","3,113","0","0","0","0","1","3,28","11","4,727","0","0","0","0","0","0","0","0","0","0","37","3,61","90","3,459"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101730","Професионална гимназия   по туризъм и лека промишленост ""Гоце Делчев""","27","3,464","0","0","0","0","0","0","1","3,03","0","0","0","0","1","3,39","0","0","0","0","0","0","0","0","0","0","0","0","2","3,21","29","3,446"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100190","Езикова гимназия   ""Акад. Людмил Стоянов""","150","5,259","16","4,775","0","0","1","3,2","2","4,28","0","0","3","4,81","6","5,223","80","5,658","0","0","29","5,606","0","0","12","5,035","0","0","149","5,433","299","5,346"
