"﻿Област","Община","Населено място","Код по Админ","Училище","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех","Брой","Ср.успех"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ","ИСТ","ИСТ","ФА","ФА","ГЕО","ГЕО","ХООС","ХООС","ФИЛ","ФИЛ","БЗО","БЗО","АЕ","АЕ","РЕ","РЕ","НЕ","НЕ","ИспЕ","ИспЕ","ФрЕ","ФрЕ","ИтЕ","ИтЕ","2ДЗИ","2ДЗИ","общо","общо"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 015","Професионална гимназия по електроника и енергетика","28","3,82","0","0,00","0","0,00","0","0,00","4","4,09","0","0,00","0","0,00","3","3,57","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","7","3,87","35","3,83"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","33","3,90","1","3,56","0","0,00","0","0,00","1","2,97","0","0,00","0","0,00","0","0,00","1","3,56","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","3","3,36","36","3,85"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","102 010","Гимназия по туризъм ""Алеко Константинов""","18","3,15","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,11","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,11","19","3,15"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 002","Професионална гимназия ""Никола Йонков Вапцаров""","20","4,34","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","20","4,34"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 001","Средно училище ""Св.Св.Кирил и Методий""","37","4,07","1","5,74","0","0,00","0","0,00","30","3,86","0","0,00","3","5,42","7","4,12","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","41","4,06","78","4,07"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 280","Професионална гимназия по икономика  ""Иван Илиев""","116","4,46","1","3,46","1","5,49","0","0,00","4","3,61","0","0,00","1","5,57","21","3,86","10","4,78","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","38","4,16","154","4,39"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 300","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","70","3,74","2","3,80","2","5,00","0","0,00","7","3,42","0","0,00","3","3,64","35","3,60","15","4,62","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","64","3,87","134","3,80"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 052","Благоевградска професионална гимназия ""Ичко Бойчев""","30","3,15","0","0,00","0","0,00","0","0,00","31","3,11","0","0,00","0","0,00","2","3,60","1","3,59","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","34","3,15","64","3,15"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 730","Професионална гимназия  по туризъм и лека промишленост ""Гоце Делчев""","23","3,27","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,11","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","0","0,00","1","3,11","24","3,26"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 190","Езикова гимназия  ""Акад. Людмил Стоянов""","155","5,40","6","4,95","1","5,84","1","3,95","5","4,18","2","5,99","4","5,09","4","5,42","104","5,49","0","0,00","21","5,64","0","0,00","7","5,18","0","0,00","155","5,42","310","5,41"
