Област,Община,Населено място,Училище,Код по Админ,БЕЛ(ООП),,Мат(ПП),,Ист(ПП),,ФА(ПП),,ГИ(ПП),,ХООС(ПП),,Фил(ПП),,БЗО(ПП),,Инф(ПП),,ИТ(ПП),,МУЗ(ПП),,ИИ(ПП),,Пр(ПП),,АЕ(ПП),,,,,,РЕ(ПП),,,,,,НЕ(ПП),,,,,,ИсЕ(ПП),,,,,,ФЕ(ПП),,,,,,ИтЕ(ПП),,,,,,ДИППК-п.р,,ДИППК-тест,,ДИППК-Д.Пр,,ДИППК-пр.,
,,,,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,B1-З,,B1.1-З,,B2-З,,З,,З,,З,,З,
,,,,,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.,Бр.,Ср.усп.
БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,"Професионална лесотехническа гимназия""Никола Йонков Вапцаров""",102004,32,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,3.8,,,,,,
БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,"Гимназия по туризъм ""Алеко Константинов""",102010,8,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,
БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,Професионална гимназия по електроника и енергетика,102015,48,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3.9,26,05.08,,
БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,"Средно училище ""Неофит Рилски""",105201,20,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЕЛИЦА,ГР.БЕЛИЦА,"Средно училище ""Св.Св.Кирил и Методий""",105001,41,4.26,,,,,,,38,03.07,,,,,,,,,,,,,,,,,,,,,3,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЕЛИЦА,ГР.БЕЛИЦА,"Професионална гимназия ""Никола Йонков Вапцаров""",105002,21,4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4.7,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Благоевградска професионална гимназия ""Ичко Бойчев""",100052,42,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3.94,,,15,4.32,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Седмо средно училище ""Кузман Шапкарев""",100070,22,3.46,,,,,,,11,2.3,,,,,,,,,2,2.52,,,,,,,,,,,12,4.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Езикова гимназия ""Акад. Людмил Стоянов""",100190,158,4.96,,,1,05.06,,,,,,,,,,,,,,,,,,,,,,,85,5.77,55,5.15,,,,,,,,,,,11,5.17,,,,,,,,,,,6,4.98,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Природо-математическа гимназия ""Акад. Сергей Корольов""",100200,151,4.62,28,3.94,,,1,2,24,3.96,,,11,4.51,12,5.11,21,4.92,,,,,,,,,,,,,53,4.76,,,,,,,,,,,1,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Професионална гимназия по икономика ""Иван Илиев""",100280,106,04.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,5.73,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""",100300,81,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,4.94,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Средно училище с изучаване на чужди езици ""Свети Климент Охридски""",101250,26,3.5,,,3,4.22,,,,,,,,,,,,,,,,,,,,,,,,,18,4.11,,,6,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""",101730,17,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.55,,,11,4.16,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Национална хуманитарна гимназия""Св.св.Кирил и Методий""",101870,135,4.21,2,3.9,2,04.03,,,,,,,31,04.06,6,2.68,,,1,5.89,11,4.31,4,3.7,,,,,40,5.53,36,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Средно училище ""Иван Вазов""",101880,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Пето средно училище ""Георги Измирлиев""",102060,27,3.17,,,,,,,9,2.91,,,,,8,2.55,,,5,2.5,,,,,6,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,"Неврокопска професионална гимназия ""Димитър Талев""",102001,170,3.68,,,13,4.24,,,,,,,6,04.01,,,,,,,,,,,22,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3.58,,,100,5.48,,
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,"Природо-математическа гимназия ""Яне Сандански""",102002,131,4.55,6,3.58,6,05.04,,,,,,,17,4.15,39,4.18,3,4.5,4,03.08,,,,,,,22,5.5,,,43,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,"Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""",102016,35,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5.38,,,18,5.79,1,
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.БРЕЗНИЦА,"Средно училище ""Св. Св. Кирил и Методий""",103401,29,3.12,,,,,,,,,,,,,28,2.83,,,,,,,,,,,1,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ГЪРМЕН,С.ГЪРМЕН,"Средно училище ""Св.Св.Кирил и Методий""",101301,11,4.28,,,,,,,,,,,,,,,,,,,,,,,,,8,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,ГЪРМЕН,С.РИБНОВО,"Средно училище ""Йордан Йовков""",103002,37,3.28,,,,,,,1,3.46,,,16,3.32,12,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БЛАГОЕВГРАД,КРЕСНА,ГР.КРЕСНА,"Средно училище ""Св.Паисий Хилендарски""",105101,16,3.61,,,,,,,11,3.43,,,,,,,,,,,,,,,,,4,05.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
