Област;Община;Населено място;Училище;Код по Админ;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
БЛАГОЕВГРАД;БАНСКО;ГР.БАНСКО;"Професионална лесотехническа гимназия""Никола Йонков Вапцаров""";102004;17;22;17;52,24
БЛАГОЕВГРАД;БАНСКО;ГР.БАНСКО;"Гимназия по туризъм ""Алеко Константинов""";102010;19;21,79;20;15,4
БЛАГОЕВГРАД;БАНСКО;ГР.БАНСКО;Професионална гимназия по електроника и енергетика;102015;30;38,97;30;35,28
БЛАГОЕВГРАД;БАНСКО;ГР.БАНСКО;"Средно училище ""Неофит Рилски""";105201;24;61,5;24;52,06
БЛАГОЕВГРАД;БЕЛИЦА;ГР.БЕЛИЦА;"Средно училище ""Св.Св.Кирил и Методий""";105001;43;35,12;42;51,2
БЛАГОЕВГРАД;БЕЛИЦА;ГР.БЕЛИЦА;"Професионална гимназия ""Никола Йонков Вапцаров""";105002;35;31,4;35;37,59
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Благоевградска професионална гимназия ""Ичко Бойчев""";100052;42;22,83;42;20,61
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Седмо средно училище ""Кузман Шапкарев""";100070;23;32,65;23;21,8
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Езикова гимназия ""Акад. Людмил Стоянов""";100190;157;64,48;159;55,12
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Природо-математическа гимназия ""Акад. Сергей Корольов""";100200;157;64,31;156;55,67
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Професионална гимназия по икономика ""Иван Илиев""";100280;103;48,51;103;32,09
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""";100300;75;39,2;75;20,42
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Средно училище с изучаване на чужди езици ""Свети Климент Охридски""";101250;27;45,26;27;23,65
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""";101730;25;27,6;25;18,24
