"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","102004","31","28.13","31","34.58"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Гимназия по туризъм ""Алеко Константинов""","102010","14","25.54","16","14.56"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Професионална гимназия по електроника и енергетика","102015","54","49.52","54","26.69"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","15","49.63","15","37.43"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","46","48.52","46","58.86"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Професионална гимназия ""Никола Йонков Вапцаров""","105002","35","32.23","34","55.99"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Благоевградска професионална гимназия ""Ичко Бойчев""","100052","59","30","59","18.53"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","25","44.14","24","20.98"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Езикова гимназия ""Акад. Людмил Стоянов""","100190","162","67.98","161","52.04"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Природо-математическа гимназия ""Акад. Сергей Корольов""","100200","153","67.04","153","59.22"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по икономика ""Иван Илиев""","100280","105","53.66","105","26.56"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","100300","81","44.2","80","23.06"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","27","43.63","26","22.87"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","101730","47","33.88","47","18.66"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","101870","135","55.85","134","25.76"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","18","38.28","18","19.03"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Неврокопска професионална гимназия ""Димитър Талев""","102001","153","51.36","153","28.51"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Природо-математическа гимназия ""Яне Сандански""","102002","130","63.98","130","42.96"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Професионална гимназия по механизация на селското стопанство ""Пейо Крачолов Яворов""","102016","92","43.7","90","42.56"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","23","35.93","23","28.22"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","18","33.53","16","37.31"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","Обединено училище ""Св. Климент Охридски""","103005","14","52.64","14","55.36"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","Обединено училище ""Христо Ботев""","103008","16","44.34","16","32.06"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","Обединено училище ""Христо Ботев""","103019","15","35.83","15","21.43"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","41","43.56","41","49.1"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","16","42.47","16","19.84"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по механоелектротехника ""Юрий Гагарин""","102009","48","21.09","47","14.98"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Професионална гимназия по икономика и туризъм "" Проф. д-р Асен Златаров""","102014","96","36.19","92","17.98"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","45","45.46","45","31.29"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Профилирана гимназия ""Пейо Крачолов Яворов""","104001","135","54.6","134","35.84"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Антон Попов""","104002","15","12.63","16","17.37"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","Средно училище ""Васил Левски""","104003","12","46.5","12","32.42"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","Средно училище ""Св.Паисий Хилендарски""","104004","28","52.16","28","48.27"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","Разложка професионална гимназия ""Никола Стойчев""","102012","35","47.56","35","34.97"
