"﻿Област","Община","Населено място","Код по Админ","Училище","Явили се БЕЛ","Ср. успех в точки БЕЛ","Явили се МАТ","Ср. успех в точки МАТ"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","105 204","Начално училище  ""Св. Паисий Хилендарски""","68","81,75","68","63,21"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","105 201","Средно училище ""Неофит Рилски""","29","74,76","28","55,18"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","105 202","Основно училище ""Свети Климент Охридски""","17","84,41","17","71,18"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","102 003","Основно училище ""Свети свети Кирил и Методий""","8","66,13","8","47,88"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","105 001","Средно училище ""Св.Св.Кирил и Методий""","25","73,52","25","56,96"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","105 005","Основно училище  ""Св.св.Кирил и Методий""","13","75,92","13","74,77"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","105 004","Основно училище ""Пейо Крачолов Яворов""","19","85,37","19","70,84"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","105 006","Начално училище ""Петко Р. Славейков""","11","56,73","11","50,64"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","105 003","Основно училище  ""Св.Паисий Хилендарски""","32","68,56","32","57,06"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 020","Второ основно училище ""Димитър Благоев""","75","86,87","76","70,86"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 040","Четвърто основно училище  "" Димчо Дебелянов""","34","84,35","33","63,97"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 110","Единадесето основно училище  ""Христо Ботев""","61","81,11","61","63"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 290","Трето основно училище ""Димитър Талев""","116","91,22","116","80,35"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 700","Девето основно училище  "" Пейо Крачолов Яворов""","12","26,33","11","27,82"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","100 070","Седмо средно училище ""Кузман Шапкарев""","127","89,44","127","75,99"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 250","Средно училище с изучаване  на чужди езици ""Свети Климент Охридски""","45","81,69","44","65,07"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 580","Осмо средно училище  ""Арсени Костенцев""","99","86,9","98","75,65"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","101 880","Средно училище ""Иван Вазов""","64","83,64","64","71,95"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","102 060","Пето средно училище  ""Георги Измирлиев""","44","84","42","71,81"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","103 402","Първо основно училище ""Св. Св. Кирил и Методий""","84","84,69","84","68,2"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","103 403","Второ основно училище ""Гоце Делчев""","53","77,64","53","61,38"
