"Област","Община","Населено място","Училище","Код по АДМИН","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ  Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","43","80,06","43","60"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Начално училище ""Св. Паисий Хилендарски""","105204","39","81,22","39","64,26"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","Основно училище ""Свети Климент Охридски""","105202","23","76,87","23","56,57"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","Основно училище ""Свети свети Кирил и Методий""","102003","9","64,94","9","35,78"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","32","63,95","31","47,97"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","Основно училище ""Св.св.Кирил и Методий""","105005","10","70,75","10","60,4"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","Основно училище ""Пейо Крачолов Яворов""","105004","19","78,63","19","67,32"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","Начално училище ""Петко Р. Славейков""","105006","7","56,71","7","50,86"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","Основно училище ""Св.Паисий Хилендарски""","105003","32","50,2","32","57,88"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Второ основно училище ""Димитър Благоев""","100020","82","79,52","82","61,44"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Четвърто основно училище "" Димчо Дебелянов""","100040","30","78,03","30","54,93"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","104","83,92","104","72,32"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Единадесето основно училище ""Христо Ботев""","100110","40","78,79","38","57"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","42","73,98","41","57,24"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Трето основно училище ""Димитър Талев""","101290","106","79,24","106","67,29"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Осмо средно училище ""Арсени Костенцев""","101580","94","80,23","94","64,43"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище ""Иван Вазов""","101880","51","83,45","51","68,75"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","40","83,23","40","68,58"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Първо основно училище ""Св. Св. Кирил и Методий""","103402","82","79,76","82","61,49"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Второ основно училище ""Гоце Делчев""","103403","68","76,6","68","55,01"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Трето основно училище ""Братя Миладинови""","103404","40","77,4","40","52,58"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","Основно училище ""Свети Паисий Хилендарски""","103408","6","53","6","30,33"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","Основно училище ""Св. Климент Охридски""","103406","9","36,89","9","19,22"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","29","76,6","29","55,97"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","Основно училище "" Иван Вазов""","103407","11","64,64","11","54,36"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","Oбединено училище ""Св. Паисий Хилендарски""","103410","15","66,27","15","61,6"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","Обединено училище ""Петър Берон""","103409","10","76,15","10","64,8"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.МУСОМИЩА","Основно училище ""Христо Ботев""","103405","15","70,97","15","46,33"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГОРНО ДРЯНОВО","Основно училище "" Св. Паисий Хилендарски""","103006","10","53,25","9","60"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","Средно училище ""Св.Св.Кирил и Методий""","101301","24","62,29","24","73,25"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","Обединено училище ""Св. Климент Охридски""","103005","24","84,73","24","74,71"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","Обединено училище ""Христо Ботев""","103008","11","74,95","11","55,91"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","Обединено училище ""Христо Ботев""","103019","16","62,31","16","45,63"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОГНЯНОВО","Основно училище ""Пейо Крачолов Яворов""","103004","13","74,15","13","79,54"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","Средно училище ""Йордан Йовков""","103002","27","74,74","27","71,33"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ХВОСТЯНЕ","Основно училище""Димитър Талев""","103009","11","56,09","11","29,82"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","Средно училище ""Св.Паисий Хилендарски""","105101","31","76,02","32","56,47"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","Средно училище ""Никола Йонков Вапцаров""","103310","79","69,1","77","56,04"
