Област,Община,Населено място,Училище,Код по Админ,БЕЛ,,МАТ,
,,,,,Явили се,Ср. успех в точки,Явили се,Ср. успех в точки
БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,"Средно училище ""Неофит Рилски""",105201,38,70.37,37,69.81
БЛАГОЕВГРАД,БАНСКО,ГР.БАНСКО,"Начално училище ""Св. Паисий Хилендарски""",105204,67,80.16,68,69.03
БЛАГОЕВГРАД,БАНСКО,С.ДОБРИНИЩЕ,"Основно училище ""Свети Климент Охридски""",105202,16,75.75,16,63.5
БЛАГОЕВГРАД,БЕЛИЦА,ГР.БЕЛИЦА,"Средно училище ""Св.Св.Кирил и Методий""",105001,26,55.04,27,50.94
БЛАГОЕВГРАД,БЕЛИЦА,С.БАБЯК,"Основно училище ""Св.св.Кирил и Методий""",105005,18,67.94,18,74.78
БЛАГОЕВГРАД,БЕЛИЦА,С.ГОРНО КРАИЩЕ,"Основно училище ""Пейо Крачолов Яворов""",105004,9,84.33,9,81.28
БЛАГОЕВГРАД,БЕЛИЦА,С.ДАГОНОВО,"Начално училище ""Петко Р. Славейков""",105006,6,75.17,6,73.08
БЛАГОЕВГРАД,БЕЛИЦА,С.КРАИЩЕ,"Основно училище ""Св.Паисий Хилендарски""",105003,27,58.78,27,65.89
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Второ основно училище ""Димитър Благоев""",100020,71,81.61,71,74.25
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Четвърто основно училище "" Димчо Дебелянов""",100040,33,79.18,32,72.72
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Седмо средно училище ""Кузман Шапкарев""",100070,96,82.01,96,76.1
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Единадесето основно училище ""Христо Ботев""",100110,56,81.8,56,71.2
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Средно училище с изучаване на чужди езици ""Свети Климент Охридски""",101250,43,77.44,43,69.24
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Трето основно училище ""Димитър Талев""",101290,87,80.1,87,72.09
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Осмо средно училище ""Арсени Костенцев""",101580,111,82.32,112,69.87
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Девето основно училище "" Пейо Крачолов Яворов""",101700,16,72.31,17,69.59
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Средно училище ""Иван Вазов""",101880,66,77.12,66,71.48
БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР.БЛАГОЕВГРАД,"Пето средно училище ""Георги Измирлиев""",102060,51,86.22,51,80.14
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,"Първо основно училище ""Св. Св. Кирил и Методий""",103402,77,78.29,76,63.24
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,"Второ основно училище ""Гоце Делчев""",103403,70,81.23,68,73.73
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР.ГОЦЕ ДЕЛЧЕВ,"Трето основно училище ""Братя Миладинови""",103404,48,78.9,48,73.15
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.БАНИЧАН,"Основно училище ""Свети Паисий Хилендарски""",103408,9,28.44,9,35.39
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.БОРОВО,"Основно училище ""Св. Климент Охридски""",103406,9,58.22,9,39.61
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.БРЕЗНИЦА,"Средно училище ""Св. Св. Кирил и Методий""",103401,32,73,32,62.31
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.БУКОВО,"Основно училище "" Иван Вазов""",103407,8,68,8,75.13
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.КОРНИЦА,"Oбединено училище ""Св. Паисий Хилендарски""",103410,18,62.72,17,60.5
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.ЛЪЖНИЦА,"Обединено училище ""Петър Берон""",103409,18,70.61,20,73.8
БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С.МУСОМИЩА,"Основно училище ""Христо Ботев""",103405,12,72.58,12,67.04
БЛАГОЕВГРАД,ГЪРМЕН,С.ГОРНО ДРЯНОВО,"Основно училище "" Св. Паисий Хилендарски""",103006,15,57.53,14,57.39
БЛАГОЕВГРАД,ГЪРМЕН,С.ГЪРМЕН,"Средно училище ""Св.Св.Кирил и Методий""",101301,24,55.42,24,67
БЛАГОЕВГРАД,ГЪРМЕН,С.ДЕБРЕН,"Обединено училище ""Св. Климент Охридски""",103005,19,71.42,19,67.11
БЛАГОЕВГРАД,ГЪРМЕН,С.ДОЛНО ДРЯНОВО,"Обединено училище ""Христо Ботев""",103008,19,75.21,19,66.61
БЛАГОЕВГРАД,ГЪРМЕН,С.ДЪБНИЦА,"Обединено училище ""Христо Ботев""",103019,12,59,12,43.21
БЛАГОЕВГРАД,ГЪРМЕН,С.ОГНЯНОВО,"Основно училище ""Пейо Крачолов Яворов""",103004,13,77.15,13,79.23
БЛАГОЕВГРАД,ГЪРМЕН,С.РИБНОВО,"Средно училище ""Йордан Йовков""",103002,45,64.47,45,87.34
БЛАГОЕВГРАД,ГЪРМЕН,С.ХВОСТЯНЕ,"Основно училище""Димитър Талев""",103009,9,51,9,42.61
БЛАГОЕВГРАД,КРЕСНА,ГР.КРЕСНА,"Средно училище ""Св.Паисий Хилендарски""",105101,32,68.25,32,52.39
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Средно училище ""Никола Йонков Вапцаров""",103310,83,76.31,84,63.98
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Средно училище ""Антон Попов""",104002,41,30.12,41,34.98
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Първо основно училище ""Кочо Мавродиев""",104006,32,63.03,31,70.97
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Трето основно училище ""Гоце Делчев""",104007,55,73.58,54,68.67
БЛАГОЕВГРАД,ПЕТРИЧ,ГР.ПЕТРИЧ,"Четвърто основно училище""Христо Смирненски""",104008,75,76.76,75,70.59
БЛАГОЕВГРАД,ПЕТРИЧ,С.КАВРАКИРОВО,"Основно училище ""Св.Св. Кирил и Методий""",104024,14,61.5,14,50.21
БЛАГОЕВГРАД,ПЕТРИЧ,С.КОЛАРОВО,"Средно училище ""Васил Левски""",104003,17,67.12,17,54.29
БЛАГОЕВГРАД,ПЕТРИЧ,С.КЪРНАЛОВО,"Осноно училище ""Братя Миладинови""",104025,14,67.43,14,57.46
БЛАГОЕВГРАД,ПЕТРИЧ,С.МАРИКОСТИНОВО,"Основно училище ""Св. Св. Кирил и Методий""",104018,12,59.08,12,59.46
БЛАГОЕВГРАД,ПЕТРИЧ,С.ПЪРВОМАЙ,"Средно училище ""Св.Паисий Хилендарски""",104004,28,76.32,28,58.09
БЛАГОЕВГРАД,ПЕТРИЧ,С.РУПИТЕ,"Основно училище ""Св.Св. Кирил и Методий""",104017,10,56.9,10,54.55
БЛАГОЕВГРАД,ПЕТРИЧ,С.СКРЪТ,"Основно училище ""Пейо Крачолов Яворов""",104005,17,82.65,17,65.06
БЛАГОЕВГРАД,РАЗЛОГ,ГР.РАЗЛОГ,"Средно училище ""Братя Петър и Иван Каназиреви""",103501,14,62.5,14,61.11
