"Област","Община","Населено място","Училище","Код по НЕИСПУО","БЕЛ Явили се","БЕЛ Ср. успех в точки","МАТ Явили се","МАТ  Ср. успех в точки"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Средно училище ""Неофит Рилски""","105201","42","71.23","42","70.98"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","Начално училище ""Св. Паисий Хилендарски""","105204","68","82","66","84.23"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","Основно училище ""Свети Климент Охридски""","105202","25","76.54","25","75.66"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","Основно училище ""Свети свети Кирил и Методий""","102003","5","61.1","5","52.9"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","Средно училище ""Св.Св.Кирил и Методий""","105001","26","66.1","26","69.62"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","Основно училище ""Св.св.Кирил и Методий""","105005","22","54.93","22","77.98"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","Основно училище ""Пейо Крачолов Яворов""","105004","18","77.08","18","67.97"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ДАГОНОВО","Начално училище ""Петко Р. Славейков""","105006","5","68.2","5","75.8"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","Основно училище ""Св.Паисий Хилендарски""","105003","25","79.68","25","74.48"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Второ основно училище ""Димитър Благоев"", в сградата на ПГСАГ ""Васил Левски""","100020","69","86.08","69","85.62"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Четвърто основно училище "" Димчо Дебелянов""","100040","39","77.67","39","76.56"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Седмо средно училище ""Кузман Шапкарев""","100070","113","77.99","113","76.58"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Единадесето основно училище ""Христо Ботев""","100110","67","79.04","67","73.04"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","101250","34","64.51","34","57.25"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Трето основно училище ""Димитър Талев""","101290","97","86.94","97","83.74"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Осмо средно училище ""Арсени Костенцев""","101580","93","82.87","93","81.73"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Девето основно училище "" Пейо Крачолов Яворов""","101700","24","67.15","23","65.57"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Средно училище ""Иван Вазов""","101880","78","78.06","77","70.67"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","Пето средно училище ""Георги Измирлиев""","102060","62","84.98","61","81.01"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Първо основно училище ""Св. Св. Кирил и Методий""","103402","88","81.26","88","80.46"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Второ основно училище ""Гоце Делчев""","103403","65","78.78","65","75.61"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","Трето основно училище ""Братя Миладинови""","103404","35","81.39","35","78.56"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","Основно училище ""Свети Паисий Хилендарски""","103408","6","62.08","6","55.92"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","Основно училище ""Св. Климент Охридски""","103406","7","68.14","7","63.79"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","Средно училище ""Св. Св. Кирил и Методий""","103401","42","67.45","42","59.17"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","Основно училище "" Иван Вазов""","103407","11","71.36","11","77.5"
