"﻿Област","Община","Населено място","Училище","Код по Админ","Явили се","Ср. успех в точки","Явили се","Ср. успех в точки"
"","","","","","БЕЛ","БЕЛ","МАТ","МАТ"
"БЛАГОЕВГРАД","БАНСКО","ГР.БАНСКО","СУ ""Неофит Рилски""","105 201","84","67,13","84","47,46"
"БЛАГОЕВГРАД","БАНСКО","С.ДОБРИНИЩЕ","ОУ ""Св. Кл. Охридски""","105 202","18","69,22","18","46,6"
"БЛАГОЕВГРАД","БАНСКО","С.МЕСТА","ОУ ""Св. св. Кирил и Методий""","102 003","9","56,17","9","26,06"
"БЛАГОЕВГРАД","БЕЛИЦА","ГР.БЕЛИЦА","СУ"" Св.Св.Кирил и Методий""","105 001","39","47,95","38","44,67"
"БЛАГОЕВГРАД","БЕЛИЦА","С.БАБЯК","ОУ ""Св.Св.Кирил и Методий""","105 005","22","43,43","22","44,5"
"БЛАГОЕВГРАД","БЕЛИЦА","С.ГОРНО КРАИЩЕ","ОУ ""Пейо Кр. Яворов""","105 004","25","46,46","25","41,3"
"БЛАГОЕВГРАД","БЕЛИЦА","С.КРАИЩЕ","ОУ ""Св.Паисий Хилендарски""","105 003","32","47,5","32","45,92"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","ПМГ ""Акад. Сергей Корольов""","100 200","28","86,68","28","86,38"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","ІІІ ОУ ""ДимитърТалев""","101 290","131","70,68","131","48,89"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","VІІ СУ ""Кузман Шапкарев""","100 070","92","65,71","91","38,6"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","ІІ ОУ ""Димитър Благоев""","100 020","71","64,42","71","49,01"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","VІІІ СУ ""Арсени Костенцев""","101 580","104","63,34","104","48,48"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","V СУ ""Георги Измирлиев""","102 060","26","62,08","26","45,65"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","СУИЧЕ ""Св. Климент Охридски""","101 250","53","58,73","53","41,18"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","ХІ ОУ ""Христо Ботев""","100 110","42","56,77","42","30,67"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","ІV ОУ ""Димчо Дебелянов""","100 040","32","52,33","32","34,11"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","СУ ""Иван Вазов""","101 880","57","51,54","57","30,23"
"БЛАГОЕВГРАД","БЛАГОЕВГРАД","ГР.БЛАГОЕВГРАД","ІХ ОУ ""Пейо Кр. Яворов""","101 700","26","26,94","22","20,75"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","ПМГ ""Яне Сандански""","102 002","22","80,98","22","72,53"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","ІІ ОУ ""Гоце Делчев""","103 403","71","60,82","71","38,31"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","І ОУ ""Св.Св. Кирил и Методий""","103 402","77","59,66","77","36,91"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","ГР.ГОЦЕ ДЕЛЧЕВ","ІІІ ОУ ""Братя Миладинови""","103 404","41","51,06","41","32,57"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БАНИЧАН","ОУ ""Св. Паисий Хилендарски""","103 408","8","37,94","8","29,22"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БОРОВО","ОУ ""Св. Климент Охридски""","103 406","9","51,67","9","18,56"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БРЕЗНИЦА","СУ  ""Св. Св. Кирил и Методий""","103 401","31","45,16","31","26,33"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.БУКОВО","ОУ ""Иван Вазов""","103 407","15","57,43","15","40,88"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.КОРНИЦА","ОбУ ""Св. Паисий Хилендарскси""","103 410","10","53,9","10","30,2"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.ЛЪЖНИЦА","ОбУ ""Петър Берон""","103 409","20","47,3","20","37,44"
"БЛАГОЕВГРАД","ГОЦЕ ДЕЛЧЕВ","С.МУСОМИЩА","ОУ ""Христо Ботев""","103 405","15","61,8","15","35,4"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГОРНО ДРЯНОВО","ОУ ""Св.Паисий Хилендарски""","103 006","13","38,88","12","47,63"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ГЪРМЕН","СУ ""Св.св.Кирил и Методий","101 301","19","21,21","19","31,8"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЕБРЕН","ОбУ ""Св. Климент Охридски""","103 005","44","59,25","44","44,07"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДОЛНО ДРЯНОВО","ОбУ ""Христо Ботев""","103 008","24","55,58","24","34,31"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ДЪБНИЦА","ОбУ ""Христо Ботев""","103 019","18","48,5","18","23,79"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ОГНЯНОВО","ОУ ""Пейо Кр.Яворов""","103 004","16","47,91","16","44,33"
"БЛАГОЕВГРАД","ГЪРМЕН","С.РИБНОВО","СУ ""Йордан Йовков""","103 002","42","44,12","42","42,33"
"БЛАГОЕВГРАД","ГЪРМЕН","С.ХВОСТЯНЕ","ОУ ""Димитър Талев""","103 009","10","26,55","10","15,4"
"БЛАГОЕВГРАД","КРЕСНА","ГР.КРЕСНА","СУ ""Св.Паисий Хилендарски""","105 101","28","56,84","28","31,38"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","ІV ОУ ""Хр. Смирненски""","104 008","65","60,17","64","33,97"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","ІІІ ОУ ""Гоце Делчев""","104 007","62","52,9","62","27,59"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","І ОУ ""Кочо Мавродиев""","104 006","34","51,74","33","40,25"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","СУ ""Никола Й. Вапцаров""","103 310","99","49,26","97","30,03"
"БЛАГОЕВГРАД","ПЕТРИЧ","ГР.ПЕТРИЧ","СУ ""Антон Попов""","104 002","41","22,84","38","18,8"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КАВРАКИРОВО","ОУ ""Св.Св.Кирил и Методий""","104 024","23","34,33","23","23,55"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КОЛАРОВО","СУ ""Васил Левски""","104 003","17","55,56","17","33,22"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.КЪРНАЛОВО","ОУ ""Братя Миладинови""","104 025","11","48,95","11","29,5"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.МАРИКОСТИНОВО","ОУ ""Св.св.Кирил и Методий""","104 018","11","43,91","11","26,93"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.ПЪРВОМАЙ","СУ ""Св.Паисий Хилендарски""","104 004","38","60,34","38","37,95"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.РУПИТЕ","ОУ ""Св.св. Кирил и Методий""","104 017","10","38,15","10","29,53"
"БЛАГОЕВГРАД","ПЕТРИЧ","С.СКРЪТ","ОУ ""Пейо Кр. Яворов""","104 005","22","62,95","22","37,74"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","ОУ ""Никола Парапунов""","103 502","78","50,51","78","33,29"
"БЛАГОЕВГРАД","РАЗЛОГ","ГР.РАЗЛОГ","СУ ""Бр.Каназиреви""","103 501","47","41,31","45","29,59"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАНЯ","ОУ ""Св. Паисий Хилендарски""","103 503","27","55,09","28","39,13"
"БЛАГОЕВГРАД","РАЗЛОГ","С.БАЧЕВО","ОУ ""Св. Св. Кирил и Методий""","103 504","12","22,96","11","16,8"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ГОРНО ДРАГЛИЩЕ","ОУ ""Неофит Рилски""","103 506","11","47","10","38,45"
"БЛАГОЕВГРАД","РАЗЛОГ","С.ЕЛЕШНИЦА","ОУ ""Братя Миладинови""","103 508","14","44,68","14","30,43"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","І ОУ ""Св. Климент Охридски""","104 104","59","61,16","59","41,94"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","ІІ ОУ ""Хр.Смирненски""","102 606","77","57,14","76","40,61"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","ІІІ ОУ ""Христо Ботев""","104 106","118","53,94","118","35,44"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","ІV  ОУ ""Св. Св. Козма и Дамян""","104 107","35","49,04","35","22,27"
"БЛАГОЕВГРАД","САНДАНСКИ","ГР.САНДАНСКИ","Спортно училище","109 185","13","30,65","13","15,6"
"БЛАГОЕВГРАД","САНДАНСКИ","С.ДАМЯНИЦА","ОУ ""Св.Св.Кирил и Методий""","104 113","12","39,71","13","31,4"
"БЛАГОЕВГРАД","САНДАНСКИ","С.КАТУНЦИ","ОУ ""Христо Ботев""","104 116","8","42,75","8","30,09"
"БЛАГОЕВГРАД","САНДАНСКИ","С.СКЛАВЕ","ОУ ""Братя Миладинови""","104 111","11","14,55","11","15,25"
"БЛАГОЕВГРАД","САТОВЧА","С.ВАКЛИНОВО","ОУ ""Стефка Събчева""","109 057","9","52,17","9","34,22"
"БЛАГОЕВГРАД","САТОВЧА","С.ВЪЛКОСЕЛ","СУ ""Христо  Ботев""","109 030","25","54,28","25","37,23"
"БЛАГОЕВГРАД","САТОВЧА","С.ГОДЕШЕВО","ОУ ""Братя Миладинови""","109 038","3","63,83","3","32,83"
"БЛАГОЕВГРАД","САТОВЧА","С.КОЧАН","СУ ""Христо Смирненски""","109 055","21","48,52","21","49,21"
"БЛАГОЕВГРАД","САТОВЧА","С.ПЛЕТЕНА","ОбУ ""Св.Св.Кирил и Методий""","109 054","17","53,24","17","33,72"
"БЛАГОЕВГРАД","САТОВЧА","С.САТОВЧА","СУ ""Св.св. Кирил и Методий""","109 050","37","46,26","37","33,74"
"БЛАГОЕВГРАД","САТОВЧА","С.СЛАЩЕН","СУ ""Св. Климент Охридски""","109 037","18","63,28","18","43,56"
"БЛАГОЕВГРАД","САТОВЧА","С.ТУХОВИЩА","ОУ""Св. Св. Кирил и Методий""","109 039","7","50,64","7","33,18"
"БЛАГОЕВГРАД","СИМИТЛИ","ГР.СИМИТЛИ","СУ ""Св.Св.Кирил и Методий""","103 133","68","49,4","67","30,4"
"БЛАГОЕВГРАД","СИМИТЛИ","С.ДОЛНО ОСЕНОВО","ОбУ ""Св. Паисий Хилендарски ""","109 107","19","51,68","19","32,12"
"БЛАГОЕВГРАД","СИМИТЛИ","С.КРУПНИК","СУ ""Св.св.Кирил и Методий""","109 102","21","34,24","21","15,81"
"БЛАГОЕВГРАД","СТРУМЯНИ","С.МИКРЕВО","СУ ""Св. Паисий Хилендарски""","108 100","34","20,1","34","17,39"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","ГР.ХАДЖИДИМОВО","СУ ""Никола Й. Вапцаров""","108 001","23","44,48","23","32,54"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.АБЛАНИЦА","СУ ""Св. Паисий Хилендарски""","108 004","31","54,26","31","36,21"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЕСЛЕН","ОУ ""Гоце Делчев""","108 007","9","65,33","9","29,44"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.БЛАТСКА","ОУ "" Св. Св. Кирил и Методий""","108 006","7","40,86","7","33,39"
"БЛАГОЕВГРАД","ХАДЖИДИМОВО","С.КОПРИВЛЕН","ОУ ""Никола Вапцаров""","108 003","13","68,38","13","49,31"
"БЛАГОЕВГРАД","ЯКОРУДА","ГР.ЯКОРУДА","СУ ""Св. Св. Кирил и Методий""","107 090","40","39,83","40","30,12"
"БЛАГОЕВГРАД","ЯКОРУДА","С.БЕЛ КАМЕН","ОУ ""Неофит Рилски""","107 020","7","64,29","7","28,61"
"БЛАГОЕВГРАД","ЯКОРУДА","С.КОНАРСКО","ОбУ ""Братя Миладинови""","107 092","5","55,9","5","56,1"
"БЛАГОЕВГРАД","ЯКОРУДА","С.СМОЛЕВО","ОбУ ""Гоце Делчев""","107 021","15","50,03","15","41,65"
"БЛАГОЕВГРАД","ЯКОРУДА","С.ЮРУКОВО","ОбУ ""Васил Левски""","107 094","18","53,25","18","26,58"
"БУРГАС","АЙТОС","ГР.АЙТОС","СУ ""Христо Ботев""","200 112","98","57,19","98","28,94"
"БУРГАС","АЙТОС","ГР.АЙТОС","СУ ""Н. Й. Вапцаров""","200 113","61","45,41","61","28,16"
"БУРГАС","АЙТОС","ГР.АЙТОС","ОУ ""Атанас Манчев""","200 104","39","15,82","39","14,49"
"БУРГАС","АЙТОС","С.МЪГЛЕН","Основно училище ""Хр.Ботев""","200 107","22","29,95","22","16,27"
"БУРГАС","АЙТОС","С.ПИРНЕ","ОУ ""Хр.Ботев""","200 109","21","51,24","21","45,42"
"БУРГАС","АЙТОС","С.ТОПОЛИЦА","ОУ ""Светлина""","200 110","14","48,71","14","36,66"
"БУРГАС","БУРГАС","ГР.БУРГАС","ППМГ ""Акад. Никола Обрешков""","200 239","85","90,42","85","92,92"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""А. Георгиев-Коджакафалията","200 241","50","80,52","50","76,75"
"БУРГАС","БУРГАС","ГР.БУРГАС","ПЧОУ","200 259","25","79,9","25","74,72"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ "" Васил Априлов ""","200 213","116","72,85","116","60,1"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ""Братя Миладинови""","200 214","181","71,17","181","54,11"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ""Св.Климент Охридски""","200 210","98","70,51","98","52,43"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ""Антон Страшимиров""","200 209","167","70,03","167","58,08"
"БУРГАС","БУРГАС","ГР.БУРГАС","НУМСИ","2 902 103","46","69,01","46","49,3"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""П. Р. Славейков""","200 205","109","68,88","109","53,04"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ  ""Димчо Дебелянов""","200 230","63","67,1","63","50,75"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ""Св. Св.Кирил и Методий""","200 234","105","66,71","105","46,31"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Хр. Ботев"" (кв. Сарафово)","200 217","25","66,32","25","48,51"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Св. княз Борис І""","200 206","92","66,23","92","48,4"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Елин Пелин""","200 215","128","66,15","128","50,2"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Георги Бенковски""","200 211","56","64,14","57","49,58"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ "" П. К. Яворов""","200 212","82","64,01","82","48,09"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ"" Л. Каравелов  ""","200 207","59","62,6","59","39,93"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ "" Петко Росен""","200 233","75","60,22","75","40,56"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ""Найден Геров""","200 208","80","59,73","80","38,24"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ""Еп. Константин Преславски""","200 229","93","59,17","93","38,84"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ "" Йордан Йовков""","200 228","48","58,28","48","37,26"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Христо Ботев"" (кв. Ветрен)","200 223","20","55,9","20","33,61"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ "" Христо Ботев"" (кв. Д. Езерово)","200 219","34","54,38","34","26,75"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ""Иван Вазов""","200 227","21","52,5","20","35,43"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ,,Добри Чинтулов""","200 231","26","52,29","25","28,77"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ""К. Петканов""","200 232","56","51,74","56","27,04"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ""Иван Вазов""","200 222","17","42,94","17","29,12"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ""Юрий Гагарин""","200 240","34","42,71","35","21,21"
"БУРГАС","БУРГАС","ГР.БУРГАС","СУ ""Хр. Ботев"" (кв. Черно Море)","200 221","16","32,97","15","16,93"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Васил Левски"" - Бургас","200 216","39","24,24","37","32,11"
"БУРГАС","БУРГАС","ГР.БУРГАС","ОУ ""Христо Ботев"" (кв. Победа)","200 218","79","9,22","76","11,05"
"БУРГАС","БУРГАС","ГР.БЪЛГАРОВО","ОУ""В.Левски ""","200 220","14","39,82","14","18,68"
"БУРГАС","БУРГАС","С.МАРИНКА","ОУ ""Хр.Ботев""","200 224","16","40,81","15","26,42"
"БУРГАС","БУРГАС","С.РАВНЕЦ","ОУ ""Св.Св. К. и Методий""","200 225","8","18,94","7","17,71"
"БУРГАС","БУРГАС","С.РУДНИК","Обединено училище  ""Св. Климент Охридски""","200 226","18","20,61","18","12,46"
"БУРГАС","КАМЕНО","ГР.КАМЕНО","СУ ""Христо Ботев""","200 308","32","39,52","31","24,28"
"БУРГАС","КАМЕНО","С.РУСОКАСТРО","ОУ "" Иван Вазов""","200 304","20","29,53","20","18,74"
"БУРГАС","КАМЕНО","С.ТРОЯНОВО","ОУ "" Христо Ботев""","200 306","16","35,66","16","12,92"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","СУ ""Христо Ботев""","200 412","58","51,74","58","40,06"
"БУРГАС","КАРНОБАТ","ГР.КАРНОБАТ","СУ ""Св.Св. Кирил и Методий""","200 411","60","51,5","60","30,96"
