ОБЛАСТ;ОБЩИНА;НАСЕЛЕНО МЯСТО;УЧИЛИЩЕ;КОД;БЕЛ-УЧ;БЕЛ;МАТ-УЧ;МАТ
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Софийска математическа гимназия ""Паисий Хилендарски""";2216306;159;91,02;159;97,33
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Света София"" ЕООД";2202537;67;91,72;67;93,67
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;Първа Частна Математическа Гимназия;2221563;76;85,28;76;93,05
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище с ранно чуждоезиково обучение ""ЕСПА""";2213506;25;89,22;25;82,25
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""Константин-Кирил Философ""";2200023;1;72;1;80,5
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище "" Св. Климент Охридски """;2205521;9;78,06;9;78,03
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище с немски език ""Веда""";2204549;22;82,84;22;75,17
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно езиково училище ""Британика""";2202536;23;80,74;23;74,87
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧАСТНО ОСНОВНО УЧИЛИЩЕ ""ТОМАС ЕДИСЪН""";2217722;12;85,88;12;74,65
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;Частно средно училище Българско школо ООД;2211564;43;80,64;42;74,63
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"107. основно училище ""Хан Крум""";2211107;103;81,86;103;71,94
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"145 Основно училище "" Симеон Радев """;2213145;117;77,56;117;71,32
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"73.СУ с преподаване на чужди езици ""Владислав Граматик""";2224073;127;80,13;127;68,17
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно основно училище ""Д-р Петър Берон""";2211518;30;79,82;30;65,42
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;133 Средно училище „Александър Сергеевич Пушкин”;2222133;97;76,02;97;65,18
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"ЧАСТНО ОСНОВНО УЧИЛИЩЕ ""ОБРАЗОВАТЕЛНИ ТЕХНОЛОГИИ""";2221501;63;72,63;63;64,69
СОФИЯ-ГРАД;СТОЛИЧНА;ГР.СОФИЯ;"Частно средно училище ""Петко Рачов Славейков""";2212553;8;79,63;8;64,56
