Област;Община;Населено място;Училище;Код по Админ;БЕЛ-уч;бел;МАТ-уч;мат
БЛАГОЕВГРАД;БАНСКО;ГР.БАНСКО;"Средно училище ""Неофит Рилски""";105201;85;59,88;85;30,57
БЛАГОЕВГРАД;БАНСКО;С.ДОБРИНИЩЕ;"Основно училище ""Свети Климент Охридски""";105202;16;62,63;16;34,81
БЛАГОЕВГРАД;БАНСКО;С.МЕСТА;"Основно училище ""Свети свети Кирил и Методий""";102003;10;45,45;10;18,6
БЛАГОЕВГРАД;БЕЛИЦА;ГР.БЕЛИЦА;"Средно училище ""Св.Св.Кирил и Методий""";105001;38;47,93;38;50,33
БЛАГОЕВГРАД;БЕЛИЦА;С.БАБЯК;"Основно училище ""Св.св.Кирил и Методий""";105005;19;45,39;19;48,25
БЛАГОЕВГРАД;БЕЛИЦА;С.ГОРНО КРАИЩЕ;"Основно училище ""Пейо Крачолов Яворов""";105004;21;51,55;21;39,62
БЛАГОЕВГРАД;БЕЛИЦА;С.КРАИЩЕ;"Основно училище ""Св.Паисий Хилендарски""";105003;37;46,61;37;46,92
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Второ основно училище ""Димитър Благоев""";100020;58;65,76;58;50,1
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Четвърто основно училище "" Димчо Дебелянов""";100040;37;60,73;37;27,51
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Седмо средно училище ""Кузман Шапкарев""";100070;122;62,32;121;42,1
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Единадесето основно училище ""Христо Ботев""";100110;45;54,98;45;28,16
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Природо-математическа гимназия ""Акад. Сергей Корольов""";100200;28;88,93;28;85,52
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Средно училище с изучаване на чужди езици ""Свети Климент Охридски""";101250;51;52,05;51;27,77
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Трето основно училище ""Димитър Талев""";101290;127;72;127;49,28
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Осмо средно училище ""Арсени Костенцев""";101580;98;59,88;98;36,94
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Девето основно училище "" Пейо Крачолов Яворов""";101700;10;23,85;12;16,56
БЛАГОЕВГРАД;БЛАГОЕВГРАД;ГР.БЛАГОЕВГРАД;"Средно училище ""Иван Вазов""";101880;60;54,33;60;33,3
