"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.771","4.083","137","115"
"София","2201078","78. Средно училище Христо Смирненски","3.809","4.008","35","36"
"София","2210117","117. Средно училище Свети свети Кирил и Методий","3.897","4.155","9","10"
"София","2215170","170 Средно училище Васил Левски","3.814","3.877","35","35"
"София","2211557","Духовно Училище Софийска духовна семинария Св. Иван Рилски","3.773","3.768","11","11"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","4.647","4.412","4","4"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","3.048","2.64","10","1"
"София","2902101","Национално музикално училище Любомир Пипков","4.621","4.993","71","22"
"София","2902301","Национално училище за танцово изкуство","4.154","3.396","59","3"
"София","2902401","Национално училище за изящни изкуства Илия Петров","4.491","5.93","51","1"
"София","2902501","НАЦИОНАЛНА ГИМНАЗИЯ ЗА ПРИЛОЖНИ ИЗКУСТВА СВЕТИ ЛУКА - СОФИЯ","4.457","3.732","90","5"
"София","2902601","Национална професионална гимназия по полиграфия и фотография","4.771","0","126","0"
"София","2902701","Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия","5.062","5.562","54","54"
"София","2902702","Национална гимназия за древни езици и култури Константин Кирил Философ","5.426","5.454","94","94"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","4.262","4.418","64","63"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","4.432","4.861","226","183"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","2.91","3.092","21","21"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","3.433","3.496","43","43"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","4.483","4.972","193","192"
"София","2205408","Професионална гимназия по фризьорство и козметика Княгиня Евдокия","3.772","3.952","48","13"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","3.948","4.107","143","102"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ А. С. ПОПОВ","3.926","4.365","147","142"
"София","2207412","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ","3.525","3.721","26","28"
"София","2208413","Софийска гимназия по хлебни и сладкарски технологии","3.663","3.926","57","53"
"София","2211417","Професионална гимназия по облекло Княгиня Мария Луиза","4.077","4.455","40","19"
"София","2211419","СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ХРИСТО БОТЕВ","4.881","4.93","181","179"
"София","2211420","НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ","5.108","5.351","176","159"
"София","2213350","Технологично училище Електронни системи към Технически Университет - София","4.916","5.604","96","97"
"София","2216422","Професионална гимназия по механоелектротехника Н.Й.Вапцаров","3.504","3.628","77","79"
"София","2216423","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ","4.499","4.58","171","61"
"София","2217424","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА","4.079","4.627","115","113"
"София","2220427","Професионална гимназия по железопътен транспорт Никола Корчев","3.298","3.087","28","21"
"София","2221430","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ МАКГАХАН","3.387","3.529","87","84"
"София","2223431","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ","4.151","4.921","126","123"
"София","2224432","Професионална гимназия по текстил и моден дизайн","4.233","4.415","56","10"
"София","2224433","НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ","5.026","5.258","255","168"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","3.962","4.248","15","15"
"София","2211304","Национална природо-математическа гимназия Академик Любомир Чакалов","5.143","5.537","235","234"
"София","2213307","СПОРТНО УЧИЛИЩЕ ГЕН. ВЛАДИМИР СТОЙЧЕВ","3.859","4.091","87","74"
"София","2204134","134. средно училище Димчо Дебелянов","4.867","5.307","77","77"
"София","2217151","НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ СОФИЯ","4.037","4.24","49","51"
"София","2900001","Българско средно училище Христо Ботев","3.78","4.41","1","1"
"София","2900102","Българско средно училище Д-р Петър Берон","4.393","4.612","11","11"
"София","2206411","Професионална гимназия по хранително-вкусови технологии Проф. д-р Георги Павлов","3.624","3.9","44","40"
"София","2217426","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО БУЗЕМА","3.106","2.76","3","3"
