"Град","Код","Име","БЕЛ","МАТ"
"София","2201078","78. Средно училище Христо Смирненски","3.66","0.000"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","3.54","0.000"
"София","2210117","117. Средно училище Свети свети Кирил и Методий","3.87","0.000"
"София","2215170","170 Средно училище Васил Левски","4.02","0.000"
"София","2221031","31 Средно училище за чужди езици и мениджмънт Иван Вазов","5.19","0.000"
"София","2216001","1 Средно училище Пенчо П. Славейков","4.47","0.000"
"София","2213010","10 Средно училище Теодор Траянов ","3.62","0.000"
"София","2214101","101. СРЕДНО УЧИЛИЩЕ БАЧО КИРО","3.97","0.000"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","4.35","0.000"
"София","2207108","108 Средно училище Никола Беловеждов","3.93","0.000"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","3.01","0.000"
"София","2213118","118 Средно училище Академик Людмил Стоянов","3.92","0.000"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","4.45","0.000"
"София","2222012","12 Средно училище Цар Иван Асен II","4.55","0.000"
"София","2224121","121 СРЕДНО УЧИЛИЩЕ ГЕОРГИ ИЗМИРЛИЕВ","3.59","0.000"
"София","2208123","123 Средно училищe Стефан Стамболов","3.47","0.000"
"София","2222127","127 СРЕДНО УЧИЛИЩЕ Иван Николаевич Денкоглу","4.79","0.000"
"София","2213128","128 СРЕДНО УЧИЛИЩЕ АЛБЕРТ АЙНЩАЙН","3.89","0.000"
"София","2219130","130. средно училище Стефан Караджа","3.50","0.000"
"София","2213131","131 СУ Климент Аркадиевич Тимирязев","4.12","0.000"
"София","2209132","132. Средно училище Ваня Войнова","3.57","0.000"
"София","2222133","133 Средно училище „Александър Сергеевич Пушкин”","5.21","0.000"
"София","2204134","134. средно училище Димчо Дебелянов","4.86","0.000"
"София","2208135","135 средно училище Ян Амос Коменски","3.77","0.000"
"София","2212137","137 средно училище Ангел Кънчев","4.05","0.000"
"София","2221138","138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ПРОФ. ВАСИЛ ЗЛАТАРСКИ","4.58","0.000"
"София","2220014","14. средно училище Проф. д-р Асен Златаров","3.85","0.000"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","3.52","0.000"
"София","2213144","144 Средно училище Народни будители","4.12","0.000"
"София","2217149","149 Средно училище ,,Иван Хаджийски","3.59","0.000"
"София","2214015","15 Средно училище Адам Мицкевич","3.70","0.000"
"София","2214153","153 Спортно училище Неофит Рилски","3.36","0.000"
"София","2221157","157 Гимназия с изучаване на чужд език Сесар Вайехо","4.95","0.000"
"София","2216164","164. гимназия с преподаване на испански език Мигел де Сервантес","5.54","0.000"
"София","2219166","166 Спортно училище Васил Левски","3.46","0.000"
"София","2204018","18 Средно училище Уилям Гладстон","5.13","0.000"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","4.45","0.000"
"София","2202002","2 средно училище Академик Емилиян Станев ","4.46","0.000"
"София","2211021","21 СРЕДНО УЧИЛИЩЕ ХРИСТО БОТЕВ","4.35","0.000"
"София","2224022","22 Средно езиково училище Георги Стойков Раковски","5.16","0.000"
"София","2221023","23 Средно училище Фредерик Жолио-Кюри","4.30","0.000"
"София","2219024","24 Средно училище П.К.Яворов","2.49","0.000"
"София","2202026","26 Средно училище Йордан Йовков","3.49","0.000"
"София","2208028","28 Средно училище Алеко Константинов","3.88","0.000"
"София","2220029","29. Средно училище Кузман Шапкарев","3.46","0.000"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","4.92","0.000"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","5.02","0.000"
"София","2212303","33. Езикова гимназия Света София","4.39","0.000"
"София","2211035","35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ДОБРИ ВОЙНИКОВ","5.34","0.000"
"София","2209036","36 Средно училище Максим Горки","4.22","0.000"
"София","2212040","40 Средно училище Луи Пастьор","3.98","0.000"
