"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2201078","78. Средно училище Христо Смирненски","43.4","21.32","35","31"
"София","2201400","Професионална гимназия по туризъм Алеко Константинов","32.75","21.85","55","55"
"София","2215170","170 Средно училище Васил Левски","42.26","38.1","77","70"
"София","2215172","172 Обединено училище Христо Ботев","22.67","22.22","9","9"
"София","2200013","Частна професионална гимназия по дигитални науки СофтУни Будител","54.96","41.56","111","109"
"София","2200021","ЧСУ Роналд Лаудер","67.79","46.04","14","14"
"София","2200023","Частно средно училище Константин-Кирил Философ","46","28","1","1"
"София","2200042","ЧАСТНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЦЕНИЧНИ ИЗКУСТВА И МЕНИДЖМЪНТ АКАТАМУС - СОФИЯ","49.2","48.25","10","10"
"София","2202002","2 Средно училище Академик Емилиян Станев ","57.79","32.27","110","109"
"София","2202026","26 Средно училище Йордан Йовков","43.83","20.85","24","24"
"София","2202401","Професионална гимназия по екология и биотехнологии Проф. д-р Асен Златаров","45.9","24.1","86","84"
"София","2202534","Частно профилирано средно училище Свети Наум","57","40.45","10","10"
"София","2202535","ЧСУ Рьорих с ранно чуждоезиково обучение и разширено изучаване на музика и изобразително изкуство","65","0","3","0"
"София","2202536","Частно средно езиково училище Британика","79.3","83.22","23","23"
"София","2202574","Частно средно училище Свети Георги","72.09","56.29","23","24"
"София","2202612","Специално училище за ученици с увреден слух Проф. д-р Дечо Денев","23.86","40","7","6"
"София","2202620","Частно средно училище Професор Николай Райнов","55","49.1","5","5"
"София","2203074","74 СУ ГОЦЕ ДЕЛЧЕВ","38.65","21.52","46","45"
"София","2203140","140. СРЕДНО УЧИЛИЩЕ ИВАН БОГОРОВ","38.19","21.46","68","67"
"София","2203603","Специално училище за ученици с нарушено зрение ЛУИ БРАЙЛ","50","0","1","0"
"София","2203720","Частно средно училище Дружба - София","0","80","0","1"
"София","2204018","18 Средно училище Уилям Гладстон","67.56","52.36","211","212"
"София","2204030","30 СРЕДНО УЧИЛИЩЕ БРАТЯ МИЛАДИНОВИ","63.64","37.14","77","76"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","69.33","56.67","167","167"
"София","2204091","91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов","78.21","79.78","181","179"
"София","2204134","134. средно училище Димчо Дебелянов","66.82","40.03","78","76"
"София","2204311","Профилирана гимназия с интензивно изучаване на румънски език МИХАЙ ЕМИНЕСКУ","44.82","24.24","39","39"
"София","2204402","НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА М. В. Ломоносов","54.86","40","214","211"
"София","2204403","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ","15.41","14.79","51","45"
"София","2204405","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА","31.13","31.48","24","22"
"София","2204511","Частна профилирана гимназия с чуждоезиково обучение Езиков свят","42","30.83","6","3"
"София","2204549","Частно средно училище с немски език Веда","74.29","68.17","7","3"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","59.21","34.04","77","76"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","63.32","38.49","105","104"
"София","2205407","СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА Джон Атанасов","59.72","65.34","183","183"
"София","2205408","Софийска професионална гимназия Княгиня Евдокия","43.12","20.02","180","177"
"София","2205520","Частна езикова гимназия Проф.Иван Апостолов","70.72","62.42","74","74"
"София","2206003","3. СУ Марин Дринов","48.92","25.52","71","65"
"София","2206113","113 СУ САВА ФИЛАРЕТОВ","21.09","14.61","23","22"
"София","2206302","Втора английска езикова гимназия Томас Джеферсън","68.58","68.47","194","192"
"София","2206409","Професионална гимназия по транспорт и енергетика Хенри Форд","38.9","23.64","245","236"
"София","2206410","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ВИСОКИ ТЕХНОЛОГИИ А. С. ПОПОВ","44.75","30.32","151","148"
"София","2206411","Професионална гимназия по хранително-вкусови технологии Проф. д-р Георги Павлов","27.62","16.71","55","52"
"София","2207068","68. Средно училище Академик Никола Обрешков","35.73","21.7","51","52"
"София","2207069","69 Средно училище Димитър Маринов","29.5","16.86","20","18"
"София","2207108","108 Средно училище Никола Беловеждов","48.14","30.44","56","56"
