"Град","Код","Име","БЕЛ","МАТ"
"София","2200015","ЧОУ ПРОФ. Д-Р ВАСИЛ ЗЛАТАРСКИ","70.17","57.03"
"София","2201078","78. СУ Христо Смирненски","64.89","33.80"
"София","2201515","ЧСУ Цар Симеон Велики","67.00","57.15"
"София","2202002","2. СУ Акад.Емилиян Станев","73.12","48.59"
"София","2202005","5 ОУ Ив. Вазов","61.59","45.38"
"София","2202026","26 СУ Йордан Йовков","57.22","34.84"
"София","2202050","50 ОУ Васил Левски","61.65","45.70"
"София","2202052","52 ОУ","68.09","50.68"
"София","2202064","64 ОУ","67.25","48.78"
"София","2202086","86 ОУ","54.08","30.19"
"София","2202152","152 ОУ","51.61","38.19"
"София","2202534","ЧПСОУ Свети Наум","65.70","45.15"
"София","2202535","ЧСОУ РЬОРИХ","67.94","47.44"
"София","2202536","ЧСЕУ Британика","64.50","51.81"
"София","2202537","ЧОУ Света София","89.23","89.90"
"София","2202574","ЧСУ Свети Георги","65.79","52.74"
"София","2202612","СУУУС Проф. д-р Дечо Денев","18.20","22.50"
"София","2202620","ЧСУ Проф. Николай Райнов","55.83","44.04"
"София","2202704","ЧСУ Евлоги и Христо Георгиеви","74.67","60.17"
"София","2203061","61 ОУ Св. Св. Кирил и Методий","65.35","39.24"
"София","2203062","62 ОУ Хр. Ботев","48.13","22.95"
"София","2203070","70-о ОУ","15.68","13.82"
"София","2203074","74 СУ Гоце Делчев","59.74","37.77"
"София","2203140","140. СУ Иван Богоров","46.70","28.86"
"София","2203146","146 ОУ","54.32","32.43"
"София","2203175","175 ОУ","50.35","33.37"
"София","2203603","СУ за ученици с нарушено зрение","41.57","24.50"
"София","2203720","ЧСУ Дружба – София","60.78","46.53"
"София","2204018","18 СУ Уилям Гладстон","73.21","56.26"
"София","2204030","30 СУ Братя Миладинови","59.07","37.23"
"София","2204032","32.СУИЧЕ Св. Климент Охридски","79.44","63.02"
"София","2204046","46 ОУ К. Фотинов","45.04","25.91"
"София","2204067","67 ОУ Васил Друмев","10.73","11.20"
"София","2204076","76. ОУ","46.88","25.58"
"София","2204134","134. СУ Д. Дебелянов","74.68","62.90"
"София","2204136","136 ОУ Любен Каравелов","15.66","15.02"
"София","2204549","ЧПГ ВЕДА","80.39","73.34"
"София","2204595","ЧОУ Светлина","72.75","41.00"
"София","2204674","ЧОУ Езиков свят","54.13","19.00"
"София","2205011","11 ОУ Св. Пимен Зографски","67.93","50.73"
"София","2205105","105. СУ Атанас Далчев","71.88","55.95"
"София","2205119","119 СУ Академик М. Арнаудов","74.34","61.40"
"София","2205521","ЧОУ Св. Климент Охридски","82.88","84.78"
"София","2206003","3 СУ Марин Дринов","32.46","17.05"
"София","2206043","43 ОУ Христо Смирненски","63.00","38.81"
"София","2206045","45 ОУ","67.54","51.96"
"София","2206113","113 СУ Сава Филаретов","12.75","15.79"
"София","2207004","4 ОУ","63.41","45.10"
"София","2207065","65 ОУ","31.07","22.75"
"София","2207068","68 СУ Акад.Никола Обрешков","54.80","32.04"
"София","2207069","69 СУ Д. Маринов","50.16","26.45"
"София","2207089","89 ОУ Д-р Христо Стамболски","13.40","13.10"
"София","2207108","108 СУ Н.Беловеждов","55.27","33.57"
"София","2207150","150-то ОУ Цар Симеон Първи","62.48","44.95"
"София","2207163","163 ОУ","69.96","53.78"
"София","2208017","17 СУ Дамян Груев","63.36","42.64"
"София","2208028","28 СУ А. Константинов","50.79","30.87"
"София","2208057","57 ССУ Св. Н. Охридски","35.83","19.19"
"София","2208075","75 ОУ Т.Каблешков","11.82","12.37"
"София","2208092","92 ОУ Димитър Талев","61.72","41.60"
"София","2208123","123 СУ Стефан Стамболов","34.45","18.49"
"София","2208135","135 СУ","53.60","30.04"
"София","2208147","147 ОУ","8.82","10.91"
"София","2208526","ЧСОУ Орфей","62.25","51.50"
"София","2209019","19 СУ Елин Пелин","73.45","64.14"
"София","2209025","25 ОУ","67.54","49.46"
"София","2209034","34 ОУ Стою Шишков","68.59","52.63"
"София","2209036","36 СУ Максим Горки","70.20","52.53"
"София","2209051","51 СУ","72.85","55.61"
"София","2209132","132. СУ Ваня Войнова","47.33","27.05"
"София","2209142","142 ОУ Веселин Ханчев","68.95","48.18"
"София","2209529","ЧЕСУ Дорис Тенеди","77.37","57.63"
"София","2210085","85 СУ Отец Паисий","48.00","29.78"
"София","2210115","115 ОУ","36.32","20.18"
"София","2210117","117. СУ","51.11","36.74"
"София","2210156","156 ОбУ В.Левски","39.63","26.09"
"София","2210159","159 ОУ","65.09","39.64"
"София","2210162","162 ОбУ Отец Паисий","30.99","16.27"
"София","2211021","21 СУ Христо Ботев","61.04","43.20"
"София","2211035","35. СЕУ Добри Войников","70.17","59.95"
"София","2211107","107. ОУ","79.85","75.23"
"София","2211120","120 ОУ Г.С.Раковски","73.86","57.01"
"София","2211122","122 ОУ Н. Лилиев","70.50","59.14"
"София","2211139","139 ОУ Захарий Круша","66.93","47.99"
"София","2211518","ЧОУ Д-р Петър Берон","74.18","61.15"
"София","2211564","ЧСОУ Българско школо","78.45","68.56"
"София","2211598","ЧСЕУ Г.С.Уланова","74.71","54.25"
"София","2212027","27. СУ","33.14","18.21"
"София","2212033","33 ОУ Санкт Петербург","65.58","47.13"
"София","2212037","37. СУ Райна Княгиня","18.61","12.74"
"София","2212040","40 СУ","57.04","37.66"
"София","2212056","56.СУ Проф. К. Иречек","66.60","46.83"
"София","2212077","77 ОУ","54.43","26.26"
"София","2212079","79 СУ Индира Ганди","62.65","43.52"
"София","2212090","90 СУ","47.96","31.02"
"София","2212096","96. СУ Л. Н. Толстой","66.28","44.65"
"София","2212097","97 СУ","54.39","37.98"
"София","2212103","103 ОУ","10.90","12.81"
"София","2212137","137 СУ Ангел Кънчев","59.90","39.76"
"София","2212553","ЧСУ П.Р.Славейков","76.00","49.13"
"София","2212554","ЧОУ ЕРИХ КЕСТНЕР","80.14","69.86"
"София","2213010","10 СУ Теодор Траянов","70.90","60.73"
"София","2213039","39 СУ П.Динеков","66.73","52.30"
"София","2213081","81. СУ Виктор Юго","64.60","52.28"
"София","2213082","82. ОУ В. Априлов","41.16","22.87"
"София","2213118","118 СУ","67.02","47.32"
"София","2213125","125 СУ Боян Пенев","75.92","65.20"
"София","2213128","128 СУ Алберт Айнщайн","62.25","41.05"
"София","2213131","131 СУ К.А.Тимирязев","38.45","23.97"
"София","2213144","144 СУ Народни будители","59.71","39.49"
"София","2213145","145 ОУ Симеон Радев","80.68","72.56"
"София","2213307","СУ Ген. Вл. Стойчев","47.34","23.52"
"София","2213502","ЧОУ Меридиан 22″","73.95","57.80"
"София","2213506","ЧСУ с РЧЕО ЕСПА","81.24","84.71"
"София","2213600","ЧСУЧП Абрахам Линкълн","68.28","41.17"
"София","2213721","ЧОУ Азбуки","80.26","64.77"
"София","2214015","15 СУ","52.56","36.63"
"София","2214016","16. ОУ Р. Жинзифов","57.86","38.99"
"София","2214054","54 СУ","65.62","44.93"
"София","2214063","63 ОУ Христо Ботев","76.45","44.61"
"София","2214101","101 СУ БАЧО КИРО","48.60","37.27"
"София","2214102","102 ОУ","48.48","28.37"
"София","2214141","141 ОУ","32.09","11.91"
"София","2214153","153 СУ Н.Рилски","52.33","23.08"
"София","2215160","160 ОУ Кирил и Методий","38.05","24.11"
"София","2215170","170 СУ Васил Левски","59.64","33.64"
"София","2215171","171 ОУ Стоил Попов","56.26","36.95"
"София","2215172","172 ОбУ Христо Ботев","43.14","29.42"
"София","2215176","176 ОбУ","49.50","27.22"
"София","2215177","177 ОУ Св.Св.Кирил и Методий","45.41","26.53"
"София","2215179","179 ОУ Васил Левски","50.55","34.28"
"София","2216001","1 СУ Пенчо П. Славейков","72.19","53.66"
"София","2216112","112 ОУ","70.88","52.68"
"София","2216129","129 ОУ Антим -І","72.43","52.97"
"София","2216306","СМГ П. Хилендарски","88.46","94.46"
"София","2216532","ЧСУ УВЕКИНД","70.78","54.15"
"София","2217053","53 ОУ","56.89","46.03"
"София","2217066","66 СУ Филип Станиславов","27.00","15.95"
"София","2217072","72 ОУ Христо Ботев","59.48","37.92"
"София","2217088","88 СУ Д. Попниколов","62.99","46.44"
"София","2217149","149 СУ","52.22","32.78"
"София","2217151","Национално СУ София","63.17","45.47"
"София","2217525","ЧОУ Д-р Мария Монтесори","46.75","39.50"
"София","2218071","71 СУ П.Яворов","43.21","22.36"
"София","2218083","83. ОУ","61.50","43.69"
