"Град","Код","Име","БЕЛ","МАТ","Уч. БЕЛ","Уч. МАТ"
"София","2216306","Софийска математическа гимназия Паисий Хилендарски","91.02","97.33","159","159"
"София","2202537","Частно основно училище Света София ЕООД","91.72","93.67","67","67"
"София","2221563","Първа Частна Математическа Гимназия","85.28","93.05","76","76"
"София","2213506","Частно средно училище с ранно чуждоезиково обучение ЕСПА","89.22","82.25","25","25"
"София","2200023","Частно средно училище Константин-Кирил Философ","72","80.5","1","1"
"София","2205521","Частно основно училище Св. Климент Охридски ","78.06","78.03","9","9"
"София","2204549","Частно средно училище с немски език Веда","82.84","75.17","22","22"
"София","2202536","Частно средно езиково училище Британика","80.74","74.87","23","23"
"София","2217722","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ТОМАС ЕДИСЪН","85.88","74.65","12","12"
"София","2211564","Частно средно училище Българско школо ООД","80.64","74.63","43","42"
"София","2211107","107. основно училище Хан Крум","81.86","71.94","103","103"
"София","2213145","145 Основно училище Симеон Радев ","77.56","71.32","117","117"
"София","2224073","73.СУ с преподаване на чужди езици Владислав Граматик","80.13","68.17","127","127"
"София","2211518","Частно основно училище Д-р Петър Берон","79.82","65.42","30","30"
"София","2222133","133 Средно училище „Александър Сергеевич Пушкин”","76.02","65.18","97","97"
"София","2221501","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ОБРАЗОВАТЕЛНИ ТЕХНОЛОГИИ","72.63","64.69","63","63"
"София","2212553","Частно средно училище Петко Рачов Славейков","79.63","64.56","8","8"
"София","2213721","Частно основно училище Азбуки","75.18","64.22","36","36"
"София","2212554","ЧАСТНО ОСНОВНО УЧИЛИЩЕ ЕРИХ КЕСТНЕР","76.58","64.18","18","18"
"София","2224020","20. Oсновно училище Тодор Минков с ранно чуждоезиково обучение по френски и немски език","78.96","64.17","110","110"
"София","2902701","Национален учебен комплекс по култура с лицей за изучаване на италиански език и култура с участието на Република Италия","78.73","63.59","79","79"
"София","2224104","104 основно училище Захари Стоянов","77.84","62.94","97","97"
"София","2213125","125 СУ Боян Пенев с изучаване на чужди езици","77.71","62.83","211","211"
"София","2223055","55 СРЕДНО УЧИЛИЩЕ ПЕТКО КАРАВЕЛОВ","73.23","62.26","177","177"
"София","2222038","38 основно училищеВасил Априлов","75.81","60.99","108","108"
"София","2211035","35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ДОБРИ ВОЙНИКОВ","75.72","60.72","83","83"
"София","2221138","138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ПРОФ. ВАСИЛ ЗЛАТАРСКИ","68.77","60.66","124","124"
"София","2224041","41 основно училище Св. Патриарх Евтимий","72.65","60.6","92","92"
"София","2202705","Частно Основно Училище Откривател","72.7","60.55","5","5"
"София","2219143","143 основно училище Георги Бенковски","72.6","60.42","123","123"
"София","2222006","6 ОУ Граф Игнатиев","76.82","60.09","99","99"
"София","2204032","32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ СВЕТИ КЛИМЕНТ ОХРИДСКИ","76.33","59.84","166","166"
"София","2209529","Частно езиково средно училище Дорис Тенеди","79.57","59.82","37","37"
"София","2209051","51 СРЕДНО УЧИЛИЩЕ ЕЛИСАВЕТА БАГРЯНА","73.79","59.68","112","112"
"София","2201515","Частно основно училище Цар Симеон Велики","71.94","59.38","17","17"
"София","2224022","22 Средно езиково училище Георги Стойков Раковски","72","59.04","108","108"
"София","2211120","120 Основно училище Георги Сава Раковски","72.01","58.77","95","95"
"София","2202002","2 Средно училище Академик Емилиян Станев ","75.99","58.5","167","166"
"София","2204134","134. средно училище Димчо Дебелянов","73.29","58.36","70","70"
"София","2217525","Частно основно училище Монтесори ЕООД","63.15","57.75","10","10"
"София","2202704","Частно средно училище Евлоги и Христо Георгиеви ЕООД","73.93","57.63","15","14"
"София","2205119","119 Средно училище Академик Михаил Арнаудов","73.6","57.63","178","178"
"София","2207163","163 ОСНОВНО УЧИЛИЩЕ ЧЕРНОРИЗЕЦ ХРАБЪР","71.73","57.5","71","71"
"София","2221109","109 Основно училище Христо Смирненски","71.16","57.43","76","76"
"София","2224672","Частно основно училище Куест","66.8","57.4","5","5"
"София","2209019","19 СРЕДНО УЧИЛИЩЕ ЕЛИН ПЕЛИН","76.72","57.07","89","89"
"София","2202052","52. основно училище Цанко Церковски","72.05","56.06","66","66"
"София","2222007","7. СРЕДНО УЧИЛИЩЕ СВ. СЕДМОЧИСЛЕНИЦИ","71.61","55.87","99","99"
"София","2216129","129 Основно Училище Антим -І","76.05","55.67","83","83"
"София","2205105","105. СРЕДНО УЧИЛИЩЕ АТАНАС ДАЛЧЕВ","70.17","55.2","130","130"
"София","2211139","139 Основно училище Захарий Круша","73.2","55.19","64","63"
"София","2902702","Национална гимназия за древни езици и култури Константин Кирил Философ","85.44","55.1","79","79"
"София","2204018","18 Средно училище Уилям Гладстон","73.47","54.75","204","204"
"София","2221031","31 Средно училище за чужди езици и математика Иван Вазов","73.83","54.6","108","108"
