"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","2","200112","Средно училище ""Христо Ботев""","0170","Графичен дизайн","315.5","0","315.5","315.5","0","315.5"
"2023","2","200112","Средно училище ""Христо Ботев""","0183","Природни науки","261.5","0","261.5","261.5","0","261.5"
"2023","2","200113","Средно училище ""Никола Йонков Вапцаров""","3892","Интериорен дизайн","209","209","0","209.5","209.5","0"
"2023","2","200113","Средно училище ""Никола Йонков Вапцаров""","1320","Компютърна графика","255","255","0","255","255","0"
"2023","2","200113","Средно училище ""Никола Йонков Вапцаров""","1321","Природни науки","212","212","0","216","216","0"
"2023","2","200113","Средно училище ""Никола Йонков Вапцаров""","3314","Сътрудник в малък и среден бизнес","204","204","205.5","248.5","248.5","215"
"2023","2","200114","Професионална гимназия по селско стопанство ""Златна нива""","1115","Земеделско стопанство","99","99","0","169","169","0"
"2023","2","200114","Професионална гимназия по селско стопанство ""Златна нива""","1112","Селски туризъм","60","60","143","187.5","187.5","165"
"2023","2","200114","Професионална гимназия по селско стопанство ""Златна нива""","1107","Трайни насаждения","110","110","0","146","146","0"
"2023","3","200112","Средно училище ""Христо Ботев""","0170","Графичен дизайн","0","0","0","0","0","0"
"2023","3","200112","Средно училище ""Христо Ботев""","0183","Природни науки","0","0","0","0","0","0"
"2023","3","200113","Средно училище ""Никола Йонков Вапцаров""","3892","Интериорен дизайн","0","0","0","0","0","0"
"2023","3","200113","Средно училище ""Никола Йонков Вапцаров""","1320","Компютърна графика","0","0","0","0","0","0"
"2023","3","200113","Средно училище ""Никола Йонков Вапцаров""","1321","Природни науки","0","0","0","0","0","0"
"2023","3","200113","Средно училище ""Никола Йонков Вапцаров""","3314","Сътрудник в малък и среден бизнес","0","0","0","0","0","0"
"2023","3","200114","Професионална гимназия по селско стопанство ""Златна нива""","1115","Земеделско стопанство","60","60","66","187.5","187.5","164"
"2023","3","200114","Професионална гимназия по селско стопанство ""Златна нива""","1112","Селски туризъм","175","175.5","175","207","194","207"
"2023","3","200114","Професионална гимназия по селско стопанство ""Златна нива""","1107","Трайни насаждения","30","78","30","181.5","170","181.5"
"2023","4","200112","Средно училище ""Христо Ботев""","0170","Графичен дизайн","0","0","0","0","0","0"
"2023","4","200112","Средно училище ""Христо Ботев""","0183","Природни науки","0","0","0","0","0","0"
"2023","4","200113","Средно училище ""Никола Йонков Вапцаров""","3892","Интериорен дизайн","0","0","0","0","0","0"
"2023","4","200113","Средно училище ""Никола Йонков Вапцаров""","1320","Компютърна графика","0","0","0","0","0","0"
"2023","4","200113","Средно училище ""Никола Йонков Вапцаров""","1321","Природни науки","0","0","0","0","0","0"
"2023","4","200113","Средно училище ""Никола Йонков Вапцаров""","3314","Сътрудник в малък и среден бизнес","0","0","0","0","0","0"
"2023","4","200114","Професионална гимназия по селско стопанство ""Златна нива""","1115","Земеделско стопанство","66","95","66","192","133","192"
"2023","4","200114","Професионална гимназия по селско стопанство ""Златна нива""","1112","Селски туризъм","0","0","0","0","0","0"
"2023","4","200114","Професионална гимназия по селско стопанство ""Златна нива""","1107","Трайни насаждения","30","148","30","148","148","107"
