"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1600617","Професионална гимназия по Хранително- вкусови технологии ""Св. Димитрий Солунски""","2605","Кетъринг, АЕ","130","130","203.5","354.5","314.5","354.5"
"2025","1","1600617","Професионална гимназия по Хранително- вкусови технологии ""Св. Димитрий Солунски""","2601","Производство на кулинарни изделия и напитки, АЕ","93","93","148.5","294.5","294.5","200"
"2025","1","1600128","Професионална гимназия "" Свети Патриарх Евтимий ""","5039","Оператор в шевното производство","68.5","68.5","75","248.5","156.5","248.5"
"2025","1","1600128","Професионална гимназия "" Свети Патриарх Евтимий ""","5031","Фризьорство","94.5","113","94.5","250","241.75","250"
"2025","1","1600618","Професионална гимназия ""Цар Иван Асен II""","2218","Електрически инсталации АЕ","176.5","176.5","182","229","229","182"
"2025","1","1600618","Професионална гимназия ""Цар Иван Асен II""","2226","Електронна търговия АЕ","194","194","201","336","258","336"
"2025","1","1600618","Професионална гимназия ""Цар Иван Асен II""","2214","Електрообзавеждане на производството АЕ","236","236","0","329.5","329.5","0"
"2025","1","1600618","Професионална гимназия ""Цар Иван Асен II""","2190","Компютърна техника и технологии АЕ","184","184","186","394.5","394.5","186"
"2025","1","1600618","Професионална гимназия ""Цар Иван Асен II""","2224","Металургия на цветните метали АЕ","72","72","112","194.5","170","194.5"
"2025","1","1600618","Професионална гимназия ""Цар Иван Асен II""","2220","Мехатроника АЕ","163","163","164","304","304","164"
"2025","1","1600114","Средно училище Свети княз Борис I","3511","Икономическо развитие","328.25","336.5","328.25","453","439.25","453"
"2025","1","1600114","Средно училище Свети княз Борис I","3512","Природни науки","185","185","186","413","384.25","413"
"2025","1","1600116","Средно училище ""Свети свети Кирил и Методий""","4574","Екскурзовод АЕ","221.5","225.75","221.5","417","382.25","417"
"2025","1","1600116","Средно училище ""Свети свети Кирил и Методий""","1154","Предприемачески AE","248","248","251.5","376","328.5","376"
"2025","1","1600116","Средно училище ""Свети свети Кирил и Методий""","1157","Природни науки AE","240.5","240.5","246.5","455","406","455"
"2025","1","1600116","Средно училище ""Свети свети Кирил и Методий""","1161","Софтуерни и хардуерни науки AE","253","253","267.5","388","388","385"
"2025","2","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""","2605","Кетъринг, АЕ","271.25","0","271.25","271.25","0","271.25"
"2025","2","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""","2601","Производство на кулинарни изделия и напитки, АЕ","164","164","0","164","164","0"
"2025","2","1600128","Професионална гимназия "" Свети Патриарх Евтимий ""","5039","Оператор в шевното производство","54","54","54","54","54","54"
"2025","2","1600128","Професионална гимназия "" Свети Патриарх Евтимий ""","5031","Фризьорство","40","40","0","88","88","0"
"2025","2","1600618","Професионална гимназия ""Цар Иван Асен II""","2218","Електрически инсталации АЕ","145","145","0","228.5","228.5","0"
"2025","2","1600618","Професионална гимназия ""Цар Иван Асен II""","2226","Електронна търговия АЕ","147","147","201","240","240","201"
"2025","2","1600618","Професионална гимназия ""Цар Иван Асен II""","2190","Компютърна техника и технологии АЕ","157","157","182","207","207","182"
"2025","2","1600618","Професионална гимназия ""Цар Иван Асен II""","2224","Металургия на цветните метали АЕ","57","57","0","150.5","150.5","0"
"2025","2","1600114","Средно училище Свети княз Борис I","3511","Икономическо развитие","313.75","0","313.75","407.5","0","407.5"
"2025","2","1600114","Средно училище Свети княз Борис I","3512","Природни науки","163","173.5","163","373","246.5","373"
"2025","2","1600116","Средно училище ""Свети свети Кирил и Методий""","4574","Екскурзовод АЕ","209.5","225.75","209.5","333.25","225.75","333.25"
"2025","2","1600116","Средно училище ""Свети свети Кирил и Методий""","1154","Предприемачески AE","246.5","293.5","246.5","293.5","293.5","246.5"
"2025","2","1600116","Средно училище ""Свети свети Кирил и Методий""","1157","Природни науки AE","235","319","235","319","319","308"
"2025","2","1600116","Средно училище ""Свети свети Кирил и Методий""","1161","Софтуерни и хардуерни науки AE","298.5","298.5","0","381.5","381.5","0"
"2025","3","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""","2605","Кетъринг, АЕ","75","75","118","212.5","170","212.5"
"2025","3","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""","2601","Производство на кулинарни изделия и напитки, АЕ","123","171","123","173","173","123"
"2025","3","1600128","Професионална гимназия "" Свети Патриарх Евтимий ""","5031","Фризьорство","144.5","0","144.5","200.25","0","200.25"
"2025","3","1600618","Професионална гимназия ""Цар Иван Асен II""","2224","Металургия на цветните метали АЕ","177","177","0","177","177","0"
"2025","3","1600114","Средно училище Свети княз Борис I","3512","Природни науки","328","0","328","328","0","328"
"2025","4","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""","2605","Кетъринг, АЕ","160.5","160.5","0","160.5","160.5","0"
"2025","4","1600617","Професионална гимназия по Хранително-вкусови технологии ""Св. Димитрий Солунски""","2601","Производство на кулинарни изделия и напитки, АЕ","109","109","142.5","222.5","222.5","142.5"
"2025","4","1600128","Професионална гимназия "" Свети Патриарх Евтимий ""","5031","Фризьорство","111","111","0","111","111","0"
