"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","800061","СУ ""Христо Ботев""","0797","Икономическо развитие","161","0","0","398.5","0","0"
"2025","1","800061","СУ ""Христо Ботев""","4528","Природни науки","118","0","0","298.5","0","0"
"2025","1","800061","СУ ""Христо Ботев""","5096","Производство и обслужване в ЗХР","78","0","0","181","0","0"
"2025","1","800061","СУ ""Христо Ботев""","0786","Производство на кулинарни изделия и напитки","73","0","0","185","0","0"
"2025","2","800061","Средно училище ""Христо Ботев""","0797","Икономическо развитие","144","0","0","144","0","0"
"2025","2","800061","Средно училище ""Христо Ботев""","4528","Природни науки","0","0","0","0","0","0"
"2025","2","800061","Средно училище ""Христо Ботев""","5096","Производство и обслужване в ЗХР","0","0","0","0","0","0"
"2025","2","800061","Средно училище ""Христо Ботев""","0786","Готвач","0","0","0","0","0","0"
"2025","3","800061","СУ ""Христо Ботев""","0797","Икономическо развитие","121","0","0","121","0","0"
"2025","3","800061","СУ ""Христо Ботев""","4528","Природни науки","181","0","0","308","0","0"
"2025","3","800061","СУ ""Христо Ботев""","5096","Производство и обслужване в ЗХР","74","0","0","86","0","0"
"2025","3","800061","СУ ""Христо Ботев""","0786","Производство на кулинарни изделия и напитки","84","0","0","173","0","0"
"2025","4","800061","СУ ""Христо Ботев""","0797","Икономическо развитие","0","0","0","0","0","0"
"2025","4","800061","СУ ""Христо Ботев""","4528","Природни науки","0","0","0","0","0","0"
"2025","4","800061","СУ ""Христо Ботев""","5096","Производство и обслужване в ЗХР","0","0","0","0","0","0"
"2025","4","800061","СУ ""Христо Ботев""","0786","Производство на кулинарни изделия и напитки","0","0","0","0","0","0"
