"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","102010","Гимназия по туризъм ""Алеко Константинов""","30019","Готварство-без интензивно и без разширено","30","30","82","172","172","155"
"2026","1","102010","Гимназия по туризъм ""Алеко Константинов""","30022","Организиране на туристически пътувания- без интензивно и без разширено","52","54","52","337","281","337"
"2026","1","102015","Професионална гимназия по електроника и енергетика","29655","Интелигентни системи- разширено АЕ","190","193","190","441","380.5","441"
"2026","1","102015","Професионална гимназия по електроника и енергетика","29672","Компютърни системи и технологии- РИЧЕ - АЕ","98.5","98.5","196","353","353","196"
"2026","1","102015","Професионална гимназия по електроника и енергетика","29677","Отопление, вентилация, климатизация и газова техника- РИЧЕ - АЕ","98.5","98.5","257.5","344.5","344.5","257.5"
"2026","1","102015","Професионална гимназия по електроника и енергетика","29675","Хибридни и електрически пътни превозни средства-РИЧЕ - АЕ","183","183","0","385.5","385.5","0"
"2026","1","102004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","30015","Стопанисване на горите-РИЧЕ - АЕ","42","48","42","310.5","310.5","96"
"2026","1","105201","Средно училище ""Неофит Рилски""","01463","""Чужди езици"" АЕ-НЕ- ИИЧЕ -АЕ","220.25","289.5","220.25","448.75","412.25","448.75"
"2026","2","102010","Гимназия по туризъм ""Алеко Константинов""","30019","Готварство-без интензивно и без разширено","0","0","0","0","0","0"
"2026","2","102010","Гимназия по туризъм ""Алеко Константинов""","30022","Организиране на туристически пътувания- без интензивно и без разширено","0","0","0","0","0","0"
"2026","2","102015","Професионална гимназия по електроника и енергетика","29655","Интелигентни системи- разширено АЕ","0","0","0","0","0","0"
"2026","2","102015","Професионална гимназия по електроника и енергетика","29672","Компютърни системи и технологии- РИЧЕ - АЕ","96","96","0","172","172","0"
"2026","2","102015","Професионална гимназия по електроника и енергетика","29677","Отопление, вентилация, климатизация и газова техника- РИЧЕ - АЕ","0","0","0","0","0","0"
"2026","2","102015","Професионална гимназия по електроника и енергетика","29675","Хибридни и електрически пътни превозни средства-РИЧЕ - АЕ","207.5","207.5","0","207.5","207.5","0"
"2026","2","102004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","30015","Стопанисване на горите-РИЧЕ - АЕ","152","152","0","152","152","0"
"2026","2","105201","Средно училище ""Неофит Рилски""","01463","""Чужди езици"" АЕ-НЕ- ИИЧЕ -АЕ","0","0","0","0","0","0"
"2026","3","102010","Гимназия по туризъм ""Алеко Константинов""","30019","Готварство-без интензивно и без разширено","0","0","0","0","0","0"
"2026","3","102010","Гимназия по туризъм ""Алеко Константинов""","30022","Организиране на туристически пътувания- без интензивно и без разширено","281","281","0","281","281","0"
"2026","3","102015","Професионална гимназия по електроника и енергетика","29655","Интелигентни системи- разширено АЕ","0","0","0","0","0","0"
"2026","3","102015","Професионална гимназия по електроника и енергетика","29672","Компютърни системи и технологии- РИЧЕ - АЕ","150","150","0","150","150","0"
"2026","3","102015","Професионална гимназия по електроника и енергетика","29677","Отопление, вентилация, климатизация и газова техника- РИЧЕ - АЕ","147","147","0","147","147","0"
"2026","3","102015","Професионална гимназия по електроника и енергетика","29675","Хибридни и електрически пътни превозни средства-РИЧЕ - АЕ","0","0","0","0","0","0"
"2026","3","102004","Професионална лесотехническа гимназия""Никола Йонков Вапцаров""","30015","Стопанисване на горите-РИЧЕ - АЕ","174","174","0","174","174","0"
"2026","3","105201","Средно училище ""Неофит Рилски""","01463","""Чужди езици"" АЕ-НЕ- ИИЧЕ -АЕ","0","0","0","0","0","0"
