"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1500706","Професионална гимназия по ядрена енергетика ""Мария Склодовска - Кюри""","1088","Автоматизирани системи - с Английски език","30","0","0","395.5","0","0"
"2023","1","1500705","Средно училище ""Димчо Дебелянов""","1988","Природни науки - Биология и здравно образование и Химия и опазване на околната среда - с Английски език","95","0","0","356","0","0"
"2023","1","1500705","Средно училище ""Димчо Дебелянов""","3825","Софтуерни и хардуерни науки - Информатика и Информационни технологии - с Английски език","84","0","0","369","0","0"
"2023","2","1500706","Професионална гимназия по ядрена енергетика ""Мария Склодовска - Кюри""","1088","Автоматизирани системи - с Английски език","0","0","0","0","0","0"
"2023","2","1500705","Средно училище ""Димчо Дебелянов""","1988","Природни науки - Биология и здравно образование и Химия и опазване на околната среда - с Английски език","0","0","0","0","0","0"
"2023","2","1500705","Средно училище ""Димчо Дебелянов""","3825","Софтуерни и хардуерни науки - Информатика и Информационни технологии - с Английски език","0","0","0","0","0","0"
"2023","3","1500706","Професионална гимназия по ядрена енергетика ""Мария Склодовска - Кюри""","1088","Автоматизирани системи - с Английски език","0","0","0","0","0","0"
"2023","3","1500705","Средно училище ""Димчо Дебелянов""","1988","Природни науки - Биология и здравно образование и Химия и опазване на околната среда - с Английски език","0","0","0","0","0","0"
"2023","3","1500705","Средно училище ""Димчо Дебелянов""","3825","Софтуерни и хардуерни науки - Информатика и Информационни технологии - с Английски език","189","0","0","301","0","0"
"2023","4","1500706","Професионална гимназия по ядрена енергетика ""Мария Склодовска - Кюри""","1088","Автоматизирани системи - с Английски език","0","0","0","0","0","0"
"2023","4","1500705","Средно училище ""Димчо Дебелянов""","1988","Природни науки - Биология и здравно образование и Химия и опазване на околната среда - с Английски език","297.5","0","0","297.5","0","0"
"2023","4","1500705","Средно училище ""Димчо Дебелянов""","3825","Софтуерни и хардуерни науки - Информатика и Информационни технологии - с Английски език","95","0","0","345","0","0"
