"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","400098","Професионална гимназия ""Свети Димитър Солунски""","2547","Корабни тръбни системи - БИБРИЧЕ_АЕ","96","0","0","181","0","0"
"2023","1","400098","Професионална гимназия ""Свети Димитър Солунски""","2542","Корабостроене - БИБРИЧЕ_АЕ","58","0","0","170","0","0"
"2023","1","400098","Професионална гимназия ""Свети Димитър Солунски""","4230","Ремонт на кораби - БИБРИЧЕ_АЕ","54","0","0","199","0","0"
"2023","1","400096","Средно училище ""Св. св. Кирил и Методий""","2649","Предприемачески - БИБРИЧЕ_АЕ - профил.предм. - Предприемачество_ИТ","68","0","0","361.25","0","0"
"2023","1","400096","Средно училище ""Св. св. Кирил и Методий""","2633","Природни науки - РИЧЕ_АЕ -профил.предм. - БЗО.-ХООС","88","0","0","370.5","0","0"
"2023","2","400098","Професионална гимназия ""Свети Димитър Солунски""","2547","Корабни тръбни системи - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2023","2","400098","Професионална гимназия ""Свети Димитър Солунски""","2542","Корабостроене - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2023","2","400098","Професионална гимназия ""Свети Димитър Солунски""","4230","Ремонт на кораби - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2023","2","400096","Средно училище ""Св. св. Кирил и Методий""","2649","Предприемачески - БИБРИЧЕ_АЕ - профил.предм. - Предприемачество_ИТ","286.75","0","0","361.25","0","0"
"2023","2","400096","Средно училище ""Св. св. Кирил и Методий""","2633","Природни науки - РИЧЕ_АЕ - профил.предм. - БЗО.-ХООС","0","0","0","0","0","0"
"2023","3","400098","Професионална гимназия ""Свети Димитър Солунски""","2547","Корабни тръбни системи - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2023","3","400098","Професионална гимназия ""Свети Димитър Солунски""","2542","Корабостроене - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2023","3","400098","Професионална гимназия ""Свети Димитър Солунски""","4230","Ремонт на кораби - БИБРИЧЕ_АЕ","116","0","0","116","0","0"
"2023","3","400096","Средно училище ""Св. св. Кирил и Методий""","2649","Предприемачески - БИБРИЧЕ_АЕ -профил.предм. - Предприемачество_ИТ","0","0","0","0","0","0"
"2023","3","400096","Средно училище ""Св. св. Кирил и Методий""","2633","Природни науки - РИЧЕ_АЕ -профил.предм. - БЗО.-ХООС","0","0","0","0","0","0"
