"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1202011","Лесотехническа професионална гимназия","1541","Горско и ловно стопанство","87","87","171","344.5","290","344.5"
"2025","3","1202011","Лесотехническа професионална гимназия","1541","Горско и ловно стопанство","0","0","0","0","0","0"
"2025","4","1202011","Лесотехническа професионална гимназия","1541","Горско и ловно стопанство","0","0","0","0","0","0"
"2025","1","1202011","Лесотехническа професионална гимназия","4911","Горското стопанство и дърводобив","52","52","0","149","149","0"
"2025","3","1202011","Лесотехническа професионална гимназия","4911","Горското стопанство и дърводобив","0","0","0","0","0","0"
"2025","4","1202011","Лесотехническа професионална гимназия","4911","Горското стопанство и дърводобив","0","0","0","0","0","0"
"2025","1","1202011","Лесотехническа професионална гимназия","3247","Специализирано обучение и селекционно развъждане на кучета","133","295.5","133","295.5","295.5","270"
"2025","3","1202011","Лесотехническа професионална гимназия","3247","Специализирано обучение и селекционно развъждане на кучета","52","295.5","133","149","295.5","270"
"2025","4","1202011","Лесотехническа професионална гимназия","3247","Специализирано обучение и селекционно развъждане на кучета","0","0","0","0","0","0"
"2025","1","1202000","Профилирана гимназия ""Д-р Иван Панов""","4960","Готвач","71","86","71","163","132","163"
"2025","3","1202000","Профилирана гимназия ""Д-р Иван Панов""","4960","Готвач","0","0","0","0","0","0"
"2025","4","1202000","Профилирана гимназия ""Д-р Иван Панов""","4960","Готвач","0","0","0","0","0","0"
"2025","1","1202000","Профилирана гимназия ""Д-р Иван Панов""","1740","Предприемачески","94","108","94","398.5","398.5","358"
"2025","3","1202000","Профилирана гимназия ""Д-р Иван Панов""","1740","Предприемачески","0","0","0","0","0","0"
"2025","4","1202000","Профилирана гимназия ""Д-р Иван Панов""","1740","Предприемачески","0","0","0","0","0","0"
"2025","1","1202000","Профилирана гимназия ""Д-р Иван Панов""","4061","Ресторантьор","76","76","131","167","150","167"
"2025","3","1202000","Профилирана гимназия ""Д-р Иван Панов""","4061","Ресторантьор","0","0","0","0","0","0"
"2025","4","1202000","Профилирана гимназия ""Д-р Иван Панов""","4061","Ресторантьор","0","0","0","0","0","0"
