"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1802005","Професионална гимназия","4142","Автотранспортна техника","59","0","0","310","0","0"
"2023","1","1802005","Професионална гимназия","4143","Производство на облекло от текстил","130","0","0","283","0","0"
"2023","1","1802004","Средно училище ""Панайот Волов""","3582","Икономическа информатика","90","0","0","418.5","0","0"
"2023","1","1802004","Средно училище ""Панайот Волов""","3967","Спортно-туристическа дейност","69","0","0","300","0","0"
"2023","1","1802004","Средно училище ""Панайот Волов""","3969","Фитнес","132","0","0","255","0","0"
"2023","2","1802004","Средно училище ""Панайот Волов""","3582","Икономическа информатика","212","0","0","212","0","0"
"2023","2","1802004","Средно училище ""Панайот Волов""","3969","Фитнес","224","0","0","224","0","0"
"2023","3","1802005","Професионална гимназия","4142","Автотранспортна техника","108","0","0","108","0","0"
"2023","3","1802005","Професионална гимназия","4143","Производство на облекло от текстил","52","0","0","244.5","0","0"
"2023","4","1802005","Професионална гимназия","4142","Автотранспортна техника","236","0","0","236","0","0"
