"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","600221","Професионална гимназия по облекло ""Елисавета Багряна""","1223","Моделиер-технолог на облекло","84","0","84","157","0","157"
"2024","1","600221","Професионална гимназия по облекло ""Елисавета Багряна""","2167","Готвач, дуална форма на обучение","30","30","105","230","199","230"
"2024","1","600221","Професионална гимназия по облекло ""Елисавета Багряна""","3871","Хлебар - сладкар","58","104","58","166","146","166"
"2024","1","603024","Средно училище ""Васил Левски""","0056","Софтуерни и хардуерни науки","159","159","184","408","408","398.5"
"2024","1","603024","Средно училище ""Васил Левски""","0061","Организатор Интернет приложения","95","95","133","264","164","264"
"2024","1","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0969","Техник на селскостопанска техника","30","30","0","198","198","0"
"2024","1","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0978","Икономическа информатика","250","262","250","371.5","262","371.5"
"2024","1","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0990","Компютърна техника и технологии","220","230","220","432.5","432.5","364"
"2024","1","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1001","Експлоатация на автомобилния транспорт","62","85","62","224","224","150"
"2024","1","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1014","Спедиция транспортна и складова логистика","175","175","178.5","270","259.5","270"
"2024","2","600221","Професионална гимназия по облекло ""Елисавета Багряна""","1223","Моделиер-технолог на облекло","0","0","0","0","0","0"
"2024","2","600221","Професионална гимназия по облекло ""Елисавета Багряна""","2167","Готвач, дуална форма на обучение","0","0","0","0","0","0"
"2024","2","600221","Професионална гимназия по облекло ""Елисавета Багряна""","3871","Хлебар - сладкар","0","0","0","0","0","0"
"2024","2","603024","Средно училище ""Васил Левски""","0056","Софтуерни и хардуерни науки","120","0","120","141","0","141"
"2024","2","603024","Средно училище ""Васил Левски""","0061","Организатор Интернет приложения","80","80","0","80","80","0"
"2024","2","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0969","Техник на селскостопанска техника","0","0","0","0","0","0"
"2024","2","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0978","Икономическа информатика","0","0","0","0","0","0"
"2024","2","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0990","Компютърна техника и технологии","161","0","161","161","0","161"
"2024","2","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1001","Експлоатация на автомобилния транспорт","0","0","0","0","0","0"
"2024","2","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1014","Спедиция транспортна и складова логистика","0","0","0","0","0","0"
"2024","3","600221","Професионална гимназия по облекло ""Елисавета Багряна""","1223","Моделиер-технолог на облекло","0","0","0","0","0","0"
"2024","3","600221","Професионална гимназия по облекло ""Елисавета Багряна""","2167","Готвач, дуална форма на обучение","0","0","0","0","0","0"
"2024","3","600221","Професионална гимназия по облекло ""Елисавета Багряна""","3871","Хлебар - сладкар","0","0","0","0","0","0"
"2024","3","603024","Средно училище ""Васил Левски""","0056","Софтуерни и хардуерни науки","168","0","0","168","0","0"
"2024","3","603024","Средно училище ""Васил Левски""","0061","Организатор Интернет приложения","0","0","0","0","0","0"
"2024","3","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0969","Техник на селскостопанска техника","73","0","0","164","0","0"
"2024","3","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0978","Икономическа информатика","0","0","0","0","0","0"
"2024","3","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0990","Компютърна техника и технологии","0","0","0","0","0","0"
"2024","3","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1001","Експлоатация на автомобилния транспорт","0","0","0","0","0","0"
"2024","3","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1014","Спедиция транспортна и складова логистика","0","0","0","0","0","0"
"2024","4","600221","Професионална гимназия по облекло ""Елисавета Багряна""","1223","Моделиер-технолог на облекло","0","0","0","0","0","0"
"2024","4","600221","Професионална гимназия по облекло ""Елисавета Багряна""","2167","Готвач, дуална форма на обучение","0","0","0","0","0","0"
"2024","4","600221","Професионална гимназия по облекло ""Елисавета Багряна""","3871","Хлебар - сладкар","0","0","0","0","0","0"
"2024","4","603024","Средно училище ""Васил Левски""","0056","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2024","4","603024","Средно училище ""Васил Левски""","0061","Организатор Интернет приложения","0","0","0","0","0","0"
"2024","4","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0969","Техник на селскостопанска техника","0","0","0","0","0","0"
"2024","4","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0978","Икономическа информатика","0","0","0","0","0","0"
"2024","4","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","0990","Компютърна техника и технологии","0","0","0","0","0","0"
"2024","4","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1001","Експлоатация на автомобилния транспорт","0","0","0","0","0","0"
"2024","4","603026","Професионална агротехническа гимназия ""Никола Йонков Вапцаров""","1014","Спедиция транспортна и складова логистика","0","0","0","0","0","0"
