"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","100052","Благоевградска професионална гимназия ""Ичко Бойчев""","29823","Автоматизирани системи и технологии в машиностроенето- без интензивно и без разширено АЕ","64","64","0","251","251","0"
"2026","1","100052","Благоевградска професионална гимназия ""Ичко Бойчев""","28923","Автомобилна техника и мехатроника- без интензивно и без разширено АЕ","99","99","128","259","259","141"
"2026","1","100052","Благоевградска професионална гимназия ""Ичко Бойчев""","28929","Електроснабдяване и електрообзавеждане - без разширено и без интензивно АЕ","36","36","0","181","181","0"
"2026","1","100052","Благоевградска професионална гимназия ""Ичко Бойчев""","28916","Компютърни системи и технологии- РИЧЕ - АЕ","110","110","158","282.5","282.5","187"
"2026","1","100190","Езикова гимназия ""Акад. Людмил Стоянов""","02260","Чужди езици - АЕ - ИспЕ- ИИЧЕ -АЕ","421","423.5","421","481","464.5","481"
"2026","1","100190","Езикова гимназия ""Акад. Людмил Стоянов""","02255","Чужди езици - АЕ - НЕ/ФЕ- ИИЧЕ -АЕ","391","396","391","457.5","453.5","457.5"
"2026","1","100190","Езикова гимназия ""Акад. Людмил Стоянов""","02264","Чужди езици - НЕ - АЕ -ИИЧЕ - НЕ","368","374.5","368","487","468","487"
"2026","1","100190","Езикова гимназия ""Акад. Людмил Стоянов""","02265","Чужди езици - ФЕ - АЕ -ИИЧЕ -ФЕ","380","412.5","380","486.5","462.5","486.5"
"2026","1","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","02139","Изобразително изкуство-ИИ-ИТ, ИИЧЕ - АЕ","325.25","325.25","332.5","431.75","418.25","431.75"
"2026","1","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","02130","Музика-МУЗ РИЧЕ -АЕ","296","296","296.5","482.5","482.5","452"
"2026","1","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","02119","Обществени науки-ИЦ-ФИЛ, ИИЧЕ - Исп.Е","337.5","346.75","337.5","460.75","358","460.75"
"2026","1","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","02111","Хуманитарни науки-БЕЛ-ИЦ, ИИЧЕ - АЕ","334","334","334.25","432.75","432.75","419.75"
"2026","1","101870","Национална хуманитарна гимназия""Св.св.Кирил и Методий""","02106","Хуманитарни науки-БЕЛ-ИЦ, ИИЧЕ - НЕ","295.25","313.5","295.25","397","397","374.75"
"2026","1","102060","Пето средно училище ""Георги Измирлиев""","28507","Графичен дизайн- РИЧЕ-АЕ","199","199","208","316.5","307.5","316.5"
"2026","1","100200","Природо-математическа гимназия ""Акад. Сергей Корольов""","02346","Математически - М и Инф ИИЧЕ АЕ","407.5","407.5","415.5","477.5","477.5","474.25"
"2026","1","100200","Природо-математическа гимназия ""Акад. Сергей Корольов""","02348","Математически - М и Инф ИИЧЕ НЕ","326.5","326.75","326.5","442.5","442.5","410.5"
"2026","1","100200","Природо-математическа гимназия ""Акад. Сергей Корольов""","02351","Природни науки - БЗО и ХООС ИИЧЕ АЕ","403","403","404","485","479.5","485"
"2026","1","100200","Природо-математическа гимназия ""Акад. Сергей Корольов""","29394","Разработка на софтуер- РИЧЕ -АЕ","335.5","336.25","335.5","433","433","392.25"
"2026","1","100200","Природо-математическа гимназия ""Акад. Сергей Корольов""","02344","Софтуерни и хардуерни науки - Инф и ИТ ИИЧЕ АЕ","350.5","350.5","351","484.5","475.75","484.5"
"2026","1","100280","Професионална гимназия по икономика ""Иван Илиев""","28441","Административни и офис дейности РИЧЕ -АЕ","215","217","215","387","262.5","387"
"2026","1","100280","Професионална гимназия по икономика ""Иван Илиев""","28485","Икономическа информатика РИЧЕ-АЕ","260.5","260.5","261.5","441","397","441"
"2026","1","100280","Професионална гимназия по икономика ""Иван Илиев""","28481","Мениджмънт и икономика РИЧЕ-АЕ","272.5","275.5","272.5","372","372","372"
"2026","1","100280","Професионална гимназия по икономика ""Иван Илиев""","28446","Оперативно счетоводство РИЧЕ-АЕ","228","228","236","418.5","407","418.5"
"2026","1","100300","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","28830","Строителство и архитектура - без интензивно и без разширено -АЕ","272","277.5","272","431.5","397","431.5"
"2026","1","100300","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","28826","Строителство и архитектура - РИЧЕ -АЕ","305","305","329.5","450","438.5","450"
"2026","1","100300","Професионална гимназия по строителство архитектура и геодезия "" Васил Левски""","28831","Транспортно строителство- РИЧЕ -АЕ","249.5","249.5","262.5","339","339","271"
"2026","1","101730","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","28761","Асистиране в денталната медицина- РИЧЕ - АЕ","186","193","186","319","319","286"
"2026","1","101730","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","28781","Организиране на туристически пътувания- РИЧЕ-АЕ","140","145","140","309","218.5","309"
"2026","1","101730","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","28779","Рекламна графика-РИЧЕ- АЕ","193","193","195","288.5","288.5","215"
"2026","1","101730","Професионална гимназия по туризъм и лека промишленост ""Гоце Делчев""","28772","Ресторантьорство и кетъринг-РИЧЕ-АЕ","182.5","191","182.5","270","270","260.5"
"2026","1","100070","Седмо средно училище ""Кузман Шапкарев""","29695","Софтуерни и хардуерни науки-ИИЧЕ-АЕ","204.5","204.5","213","283","276.5","283"
"2026","1","101250","Средно училище с изучаване на чужди езици ""Свети Климент Охридски""","30062","Електронна търговия, маркетинг и реклама- РИЧЕ - АЕ","201","204","201","340","314.5","340"
