"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","2038","Автотранспортна техника","41","41","0","284","284","0"
"2023","1","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","4279","Икономика и мениджмънт","87","87","93","262","222.5","262"
"2023","1","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","2015","Компютърна техника и технологии","155.5","155.5","190","362.5","362.5","322"
"2023","1","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","4412","Промишлена електроника","30","30","0","30","30","0"
"2023","1","2300099","Профилирана природо-математическа гимназия ""Акад.проф.д-р Асен Златаров""","2143","Математически","220.5","220.5","221","266","266","252"
"2023","1","2300099","Профилирана природо-математическа гимназия ""Акад.проф.д-р Асен Златаров""","2171","Предприемачески","275.5","275.5","277.5","406.5","385","406.5"
"2023","1","2300099","Профилирана природо-математическа гимназия ""Акад.проф.д-р Асен Златаров""","2162","Природни науки","254.5","254.5","257.5","453.5","453.5","437.5"
"2023","1","2300099","Профилирана природо-математическа гимназия ""Акад.проф.д-р Асен Златаров""","2154","Софтуерни и хардуерни науки","293","298","293","482.5","482.5","468"
"2023","1","2301044","Техническа професионална гимназия ""Стамен Панчев""","2821","Автотранспортна техника","63","63","130","292","292","130"
"2023","1","2301044","Техническа професионална гимназия ""Стамен Панчев""","2825","Металорежещи машини","30","30","0","147","147","0"
"2023","1","2301044","Техническа професионална гимназия ""Стамен Панчев""","2823","Телекомуникационни системи","54","0","54","186","0","186"
"2023","2","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","2038","Автотранспортна техника","30","30","0","125","125","0"
"2023","2","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","4279","Икономика и мениджмънт","133","204","133","204","204","133"
"2023","2","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","2015","Компютърна техника и технологии","135","155.5","135","220.5","194.5","220.5"
"2023","2","2300284","Професионална гимназия по техника и мениджмънт ""Христо Ботев""","4412","Промишлена електроника","0","0","0","0","0","0"
