"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","200236","Английска езикова гимназия ""Гео Милев""","03723","Английски език / Испански език","340.75","340.75","342.75","447.5","408.25","447.5"
"2026","1","200236","Английска езикова гимназия ""Гео Милев""","03722","Английски език/Китайски език","325","325","327.25","432.5","386.25","432.5"
"2026","1","200236","Английска езикова гимназия ""Гео Милев""","04118","Английски език /Немски език","339","352.25","339","481.25","399.75","481.25"
"2026","1","200236","Английска езикова гимназия ""Гео Милев""","03724","Английски език /Руски език","331.5","332.5","331.5","408","373.5","408"
"2026","1","200236","Английска езикова гимназия ""Гео Милев""","28100","Графичен дизайн","378","378","382.5","460.5","403","460.5"
"2026","1","200237","Немска езикова гимназия ""Гьоте""","03189","Математически профил/ Немски език / Английски език / М / ИНФ","431","431","434","486","472","486"
"2026","1","200237","Немска езикова гимназия ""Гьоте""","01955","Немски език / Английски език","394","394","395","488.5","484","488.5"
"2026","1","200216","Обединено училище ""Васил Левски"" - кв. Горно Езерово","28461","Готварство","54","54","69","155","155","148"
"2026","1","200248","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","29163","Асансьорна техника и съоръжения","142.5","142.5","0","343","343","0"
"2026","1","200248","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","28978","Информационна инфраструктура","104","104","299","433","433","299"
"2026","1","200248","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","28981","Компютърни системи и технологии","166.5","166.5","244","357.5","357.5","244"
"2026","1","200248","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","28973","Разработка на софтуер","162.5","162.5","244","340.25","340.25","244"
"2026","1","200248","Професионална гимназия по електротехника и електроника ""Константин Фотинов""","29036","Роботика","116","116","0","367.25","367.25","0"
"2026","1","200120","Професионална гимназия по компютърно програмиране и иновации","28427","Интелигентни системи","318.5","318.5","320","435.25","435.25","418.25"
"2026","1","200120","Професионална гимназия по компютърно програмиране и иновации","28430","Интелигентни системи - дуална","280.5","280.5","284","461","443.5","461"
"2026","1","200120","Професионална гимназия по компютърно програмиране и иновации","28429","Роботика","181.5","181.5","225.5","462","462","382.5"
"2026","1","200244","Професионална гимназия по механоелектротехника и електроника","29538","Автомобилна техника и мехатроника","250","250","0","402.5","402.5","0"
"2026","1","200244","Професионална гимназия по механоелектротехника и електроника","29541","Експлоатация и техническо обслужване на въздухоплавателни средства","273","273","0","413","413","0"
"2026","1","200244","Професионална гимназия по механоелектротехника и електроника","29534","Електроснабдяване и електрообзавеждане","217.5","217.5","247","369","369","247"
"2026","1","200244","Професионална гимназия по механоелектротехника и електроника","29532","Индустриална мехатроника","247.5","247.5","0","439.5","439.5","0"
"2026","1","200244","Професионална гимназия по механоелектротехника и електроника","29548","Комуникационни и компютърни мрежи","266","266","0","388.5","388.5","0"
"2026","1","200244","Професионална гимназия по механоелектротехника и електроника","29544","Микропроцесорни системи","216.5","216.5","0","338","338","0"
"2026","1","200243","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","28426","Корабни машини и механизми","76","76","0","158","158","0"
"2026","1","200243","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","28424","Корабоводене - морско","70","70","274.5","280","228","280"
"2026","1","200243","Професионална гимназия по морско корабоплаване и риболов ""Свети Никола""","28431","Митническо обслужване","105","105","109","276","276","273"
"2026","1","200252","Професионална гимназия по сградостроителство и инсталации ""Пеньо Пенев""","29411","Автомобилна техника и мехатроника","30","71","30","183","155","183"
"2026","1","200252","Професионална гимназия по сградостроителство и инсталации ""Пеньо Пенев""","29416","Строителство и архитектура","46","46","46","326.5","275","326.5"
"2026","1","200245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","29551","Водно строителство","332.5","332.5","334","405","405","359.5"
"2026","1","200245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","29553","Геодезия","355.5","355.5","362.5","414","400","414"
"2026","1","200245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","29552","Парково строителство","323","323.5","323","369","355.5","369"
"2026","1","200245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","29549","Строителство и архитектура с АЕ","387.5","388","387.5","450","450","447"
"2026","1","200245","Професионална гимназия по строителство, архитектура и геодезия ""Кольо Фичето""","29550","Строителство и архитектура с НЕ","358","358","359.5","400","391","400"
"2026","1","200249","Професионална гимназия по транспорт","28578","Автомобилна техника и мехатроника","145","145","0","296","296","0"
"2026","1","200249","Професионална гимназия по транспорт","28598","Организация на автомобилния транспорт","84","84","0","84","84","0"
"2026","1","200249","Професионална гимназия по транспорт","28589","Пристанищна механизация","76","76","0","265","265","0"
"2026","1","200249","Професионална гимназия по транспорт","28585","Хибридни и електрически пътни превозни средства","66","66","0","259.5","259.5","0"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28737","Готварство","126","150","126","291.5","268","291.5"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28739","Готварство - дуална","76","76","86","330","289","330"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28745","Организиране на туристически пътувания","176.5","189","176.5","324.5","294.5","324.5"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28743","Производство на хляб, хлебни и сладкарски изделия","186","193.5","186","336.5","218.5","336.5"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28733","Ресторантьорство и кетъринг - Немски език","144","145","144","316","233","316"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28736","Ресторантьорство и кетъринг - Руски език","135","135","135","289","289","283"
"2026","1","200242","Професионална гимназия по туризъм ""Проф. д-р Асен Златаров""","28720","Хотелиерство","240.5","246","240.5","365.5","365.5","314"
"2026","1","200247","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","28783","Екология и опазване на околната среда","123","123","148","227","123","227"
"2026","1","200247","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","28786","Електронна търговия, маркетинг и реклама","77","92","77","326","198","326"
"2026","1","200247","Професионална гимназия по химични технологии ""Акад. Н. Д. Зелинский""","28785","Информационни системи","93","93","0","296","296","0"
