"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","4387","Организатор на туристическа агентска дейност","153","0","0","247","0","0"
"2025","1","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","0548","Техник - лесовъд","101","0","0","245","0","0"
"2025","1","2100901","Средно Училище ""Васил Дечев""","4867","Предприемачески","86","0","0","362","0","0"
"2025","2","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","4387","Организатор на туристическа агентска дейност","0","0","0","0","0","0"
"2025","2","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","0548","Техник - лесовъд","0","0","0","0","0","0"
"2025","2","2100901","Средно Училище ""Васил Дечев""","4867","Предприемачески","0","0","0","0","0","0"
"2025","3","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","4387","Организатор на туристическа агентска дейност","0","0","0","0","0","0"
"2025","3","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","0548","Техник - лесовъд","0","0","0","0","0","0"
"2025","3","2100901","Средно Училище ""Васил Дечев""","4867","Предприемачески","0","0","0","0","0","0"
"2025","4","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","4387","Организатор на туристическа агентска дейност","0","0","0","0","0","0"
"2025","4","2100903","Професионална гимназия по селско горско стопанство и туризъм ""Никола Йонков Вапцаров""","0548","Техник - лесовъд","0","0","0","0","0","0"
"2025","4","2100901","Средно Училище ""Васил Дечев""","4867","Предприемачески","0","0","0","0","0","0"
