"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2401179","Професионална гимназия по селско стопанство","29803","проф. Автомобилна техника и мехатроника","76","76","90","317.5","317.5","196"
"2026","1","2401179","Професионална гимназия по селско стопанство","29799","проф. Електронна търговия, маркетинг и реклама","161","161","226","459","301.5","459"
"2026","1","2401179","Професионална гимназия по селско стопанство","29886","проф. Ресторантьорство и кетаринг","158","159","158","330","303","330"
"2026","1","2401179","Професионална гимназия по селско стопанство","29806","проф. Фермерство","47","47","97","226","217","226"
"2026","1","2401178","Средно училище ""Пейо Крачолов Яворов""","28943","Математически","149","284.5","149","392.5","354.5","392.5"
"2026","1","2401178","Средно училище ""Пейо Крачолов Яворов""","28959","Природни науки","96","96","98","325","164","325"
"2026","1","2401178","Средно училище ""Пейо Крачолов Яворов""","28960","Хуманитарни науки","54","74","54","339","284.5","339"
"2026","2","2401179","Професионална гимназия по селско стопанство","29803","проф. Автомобилна техника и мехатроника","0","0","0","0","0","0"
"2026","2","2401179","Професионална гимназия по селско стопанство","29799","проф. Електронна търговия, маркетинг и реклама","159","159","0","159","159","0"
"2026","2","2401179","Професионална гимназия по селско стопанство","29886","проф. Ресторантьорство и кетаринг","0","0","0","0","0","0"
"2026","2","2401179","Професионална гимназия по селско стопанство","29806","проф. Фермерство","0","0","0","0","0","0"
"2026","2","2401178","Средно училище ""Пейо Крачолов Яворов""","28943","Математически","0","0","0","0","0","0"
"2026","2","2401178","Средно училище ""Пейо Крачолов Яворов""","28959","Природни науки","0","0","0","0","0","0"
"2026","2","2401178","Средно училище ""Пейо Крачолов Яворов""","28960","Хуманитарни науки","0","0","0","0","0","0"
"2026","3","2401179","Професионална гимназия по селско стопанство","29803","проф. Автомобилна техника и мехатроника","177","177","0","189","189","0"
"2026","3","2401179","Професионална гимназия по селско стопанство","29799","проф. Електронна търговия, маркетинг и реклама","0","0","0","0","0","0"
"2026","3","2401179","Професионална гимназия по селско стопанство","29886","проф. Ресторантьорство и кетаринг","30","0","30","30","0","30"
"2026","3","2401179","Професионална гимназия по селско стопанство","29806","проф. Фермерство","74","74","0","206","206","0"
"2026","3","2401178","Средно училище ""Пейо Крачолов Яворов""","28943","Математически","54","0","54","97","0","97"
"2026","3","2401178","Средно училище ""Пейо Крачолов Яворов""","28959","Природни науки","0","0","0","0","0","0"
"2026","3","2401178","Средно училище ""Пейо Крачолов Яворов""","28960","Хуманитарни науки","141","141","0","141","141","0"
