"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2100402","Професионална гимназия по електротехника ""А. С. Попов""","4289","Автоматизирани системи /обучение чрез работа/","30","0","0","118","0","0"
"2023","1","2100402","Професионална гимназия по електротехника ""А. С. Попов""","2520","Електротехник /обучение чрез работа/","128","0","0","395","0","0"
"2023","1","2100402","Професионална гимназия по електротехника ""А. С. Попов""","2722","Изпълнител на термални процедури / обучение чрез работа/","72.5","0","0","371.25","0","0"
"2023","1","2100402","Професионална гимназия по електротехника ""А. С. Попов""","3915","Ресторантьор /обучение чрез работа/","30","0","0","30","0","0"
"2023","1","2100401","Средно училище ""Христо Ботев""","2481","Математически","249","0","0","417.5","0","0"
"2023","1","2100401","Средно училище ""Христо Ботев""","2485","Природни науки","239","0","0","402.5","0","0"
"2023","2","2100402","Професионална гимназия по електротехника ""А. С. Попов""","4289","Автоматизирани системи /обучение чрез работа/","0","0","0","0","0","0"
"2023","2","2100402","Професионална гимназия по електротехника ""А. С. Попов""","2520","Електротехник /обучение чрез работа/","64","0","0","64","0","0"
"2023","2","2100402","Професионална гимназия по електротехника ""А. С. Попов""","2722","Изпълнител на термални процедури / обучение чрез работа/","0","0","0","0","0","0"
"2023","2","2100402","Професионална гимназия по електротехника ""А. С. Попов""","3915","Ресторантьор /обучение чрез работа/","0","0","0","0","0","0"
"2023","2","2100401","Средно училище ""Христо Ботев""","2481","Математически","0","0","0","0","0","0"
"2023","2","2100401","Средно училище ""Христо Ботев""","2485","Природни науки","253.5","0","0","253.5","0","0"
"2023","3","2100402","Професионална гимназия по електротехника ""А. С. Попов""","4289","Автоматизирани системи /обучение чрез работа/","173","0","0","220","0","0"
"2023","3","2100402","Професионална гимназия по електротехника ""А. С. Попов""","2520","Електротехник /обучение чрез работа/","215","0","0","215","0","0"
"2023","3","2100402","Професионална гимназия по електротехника ""А. С. Попов""","2722","Изпълнител на термални процедури / обучение чрез работа/","223.5","0","0","223.5","0","0"
"2023","3","2100402","Професионална гимназия по електротехника ""А. С. Попов""","3915","Ресторантьор /обучение чрез работа/","0","0","0","0","0","0"
"2023","4","2100402","Професионална гимназия по електротехника ""А. С. Попов""","4289","Автоматизирани системи /обучение чрез работа/","0","0","0","0","0","0"
"2023","4","2100402","Професионална гимназия по електротехника ""А. С. Попов""","3915","Ресторантьор /обучение чрез работа/","0","0","0","0","0","0"
