"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","2602003","Обединено училище ""Свети свети Кирил и Методий""","3338","Работник в хранително - вкусовата промишленост","55","60","55","188","145","188"
"2024","1","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1759","Математика и информатика","141","159.5","141","472","375","472"
"2024","1","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1779","Приложен програмист","177","177","208","314.5","314.5","301"
"2024","1","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1761","Природни науки - БЗО и ХООС","171","187","171","404","359.5","404"
"2024","1","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1766","Софтуерни и хардуерни науки -Инф. и ИТ","297.5","297.5","304","436.5","436.5","432"
"2024","1","2602023","Професионална гимназия ""Проф. д-р Асен Златаров""","2374","Готвач","30","78","30","171","168","171"
"2024","1","2602023","Професионална гимназия ""Проф. д-р Асен Златаров""","2355","Електротехник - дуално обучение","30","30","0","296.5","296.5","0"
"2024","1","2602023","Професионална гимназия ""Проф. д-р Асен Златаров""","3929","Консултант козметични, парфюмерийни, биологични продукти и битова химия - дуално обучение","74","0","74","261","0","261"
"2024","1","2602020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ ""Д-р Иван Богоров""","1634","АЕ с ИспЕ","329","329","336.75","447","447","432"
"2024","1","2602020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ ""Д-р Иван Богоров""","1640","АЕ с НЕ","268.5","268.5","272","409.25","317.75","409.25"
"2024","1","2602020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ ""Д-р Иван Богоров""","1655","АЕ с РЕ","228.5","269.75","228.5","334","334","319"
"2024","1","2602018","Средно училище ""Любен Каравелов""","3392","Предприемачески","165","165","189.25","310.25","283","310.25"
"2024","1","2602018","Средно училище ""Любен Каравелов""","2463","Софтуерни и хардуерни науки","156","156","158","329","329","249"
"2024","1","2610005","Средно училище ""Христо Ботев""","1589","Хуманитарни науки","166","223","166","472","472","437"
"2024","2","2602003","Обединено училище ""Свети свети Кирил и Методий""","3338","Работник в хранително - вкусовата промишленост","0","0","0","0","0","0"
"2024","2","2602020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ ""Д-р Иван Богоров""","1634","АЕ с ИспЕ","0","0","0","0","0","0"
"2024","2","2602020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ ""Д-р Иван Богоров""","1640","АЕ с НЕ","227.75","0","0","318.25","0","0"
"2024","2","2602020","ПРОФИЛИРАНА ЕЗИКОВА ГИМНАЗИЯ ""Д-р Иван Богоров""","1655","АЕ с РЕ","222.75","0","0","282.25","0","0"
"2024","2","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1759","Математика и информатика","130.5","0","0","166.5","0","0"
"2024","2","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1761","Природни науки - БЗО и ХООС","161.5","0","0","239","0","0"
"2024","2","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1766","Софтуерни и хардуерни науки -Инф. и ИТ","0","0","0","0","0","0"
"2024","2","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","1779","Приложен програмист","223.5","0","0","239","0","0"
"2024","2","2602018","Средно училище ""Любен Каравелов""","2463","Софтуерни и хардуерни науки","137","0","0","273.5","0","0"
"2024","2","2602019","Природо-математическа гимназия със засилено изучаване на чужди езици ""Иван Вазов""","3393","Предприемачески","159.5","0","0","235.5","0","0"
"2024","2","2602023","Професионална гимназия ""Проф. д-р Асен Златаров""","2355","Електротехник - дуално обучение","0","0","0","0","0","0"
"2024","2","2602023","Професионална гимназия ""Проф. д-р Асен Златаров""","3929","Консултант козметични, парфюмерийни, биологични продукти и битова химия - дуално обучение","102","0","0","132","0","0"
