"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","800020","ЕГ ""Гео Милев""","1719","Английски език с втори чужд Немски език","376.5","0","0","458","0","0"
"2025","1","800020","ЕГ ""Гео Милев""","1722","Английски език с втори чужд Френски ез. / Испански ез.","379","0","0","465.5","0","0"
"2025","1","800020","ЕГ ""Гео Милев""","1712","Немски език с втори чужд Английски език","337","0","0","460.5","0","0"
"2025","1","800020","ЕГ ""Гео Милев""","1714","Немски език с втори чужд Испански ез. / Руски ез.","246.5","0","0","431.5","0","0"
"2025","1","800003","ОбУ ""Йордан Йовков""","0966","Работник в заведенията за хранене и развлечения","30","0","0","129","0","0"
"2025","1","800019","ПМГ ""Иван Вазов""","1145","Приложно програмиране","88","0","0","411.5","0","0"
"2025","1","800019","ПМГ ""Иван Вазов""","1170","Природни науки - биология","168","0","0","455","0","0"
"2025","1","800019","ПМГ ""Иван Вазов""","1163","Софтуерни и хардуерни науки","67","0","0","348","0","0"
"2025","1","800026","ПГ по аграрно стопанство","3715","Растителна защита и агрохимия","99","0","0","329.75","0","0"
"2025","1","800026","ПГ по аграрно стопанство","0685","Техник на селскостопанска техника - дуална форма","109","0","0","301","0","0"
"2025","1","800022","ПГВМ ""Проф. д-р Георги Павлов""","1167","Асистент на лекар по дентална медицина - РИЧЕ","170","0","0","336.5","0","0"
"2025","1","800022","ПГВМ ""Проф. д-р Георги Павлов""","1120","Ветеринарен техник - РИЧЕ","149.5","0","0","366.25","0","0"
"2025","1","800022","ПГВМ ""Проф. д-р Георги Павлов""","1156","Контрол по качество на храни и напитки","126","0","0","325.25","0","0"
"2025","1","800021","ПГТС ""Михаил В. Ломоносов""","1922","Електрически превозни средства","170","0","0","356.5","0","0"
"2025","1","800021","ПГТС ""Михаил В. Ломоносов""","1892","Програмно осигуряване","93","0","0","323.5","0","0"
"2025","1","800328","ПГ по ТОЛП","2639","Модист","94","0","0","97","0","0"
"2025","1","800328","ПГ по ТОЛП","2571","Подемно-транспортна техника, монтирана на ПТС","75","0","0","246.5","0","0"
"2025","1","800328","ПГ по ТОЛП","2578","Фризьор","115","0","0","347","0","0"
"2025","1","800028","ПГТ ""П. К. Яворов""","0676","Готвач","126","0","0","328","0","0"
"2025","1","800028","ПГТ ""П. К. Яворов""","0669","Кетъринг","176","0","0","322.5","0","0"
"2025","1","800028","ПГТ ""П. К. Яворов""","4491","Хлебар-сладкар","94","0","0","257","0","0"
"2025","1","800028","ПГТ ""П. К. Яворов""","0661","Хотелиер","158","0","0","316","0","0"
"2025","1","800013","СУ ""Димитър Талев""","4918","Програмист на роботи","235.5","0","0","370.75","0","0"
"2025","1","800016","СУ ""Любен Каравелов""","4899","Програмиране на изкуствен интелект","237","0","0","425.5","0","0"
"2025","1","800017","СУ ""Петко Р. Славейков""","4992","Икономическо развитие","237.5","0","0","450.5","0","0"
"2025","1","800015","СУ ""Св. Климент Охридски""","2079","Графичен дизайнер","280.75","0","0","461.5","0","0"
"2025","1","800015","СУ ""Св. Климент Охридски""","2060","Музика","346","0","0","475.25","0","0"
"2025","1","800015","СУ ""Св. Климент Охридски""","2070","Танцьор","300","0","0","413.5","0","0"
"2025","1","800018","СУ ""Св.св. Кирил и Методий""","1700","Хуманитарни науки","240.5","0","0","458.75","0","0"
"2025","1","800023","ФСГ ""Васил Левски""","3050","Електронна търговия","226.5","0","0","428","0","0"
"2025","1","800023","ФСГ ""Васил Левски""","0686","Икономическа информатика","274.5","0","0","447.5","0","0"
"2025","1","800023","ФСГ ""Васил Левски""","0701","Оперативно счетоводство","191","0","0","444","0","0"
"2025","2","800020","Езикова гимназия ""Гео Милев""","1719","Английски език с втори чужд Немски език","370.5","0","0","370.5","0","0"
"2025","2","800020","Езикова гимназия ""Гео Милев""","1722","Английски език с втори чужд ФЕ / ИспЕ","370","0","0","375","0","0"
"2025","2","800020","Езикова гимназия ""Гео Милев""","1712","Немски език с втори чужд Английски език","322","0","0","366","0","0"
"2025","2","800020","Езикова гимназия ""Гео Милев""","1714","Немски език с втори чужд ИспЕ / РЕ","235.5","0","0","316.5","0","0"
"2025","2","800003","ОбУ ""Йордан Йовков""","0966","Работник в ЗХР","0","0","0","0","0","0"
"2025","2","800019","ПМГ ""Иван Вазов""","1145","Приложно програмиране","160","0","0","160","0","0"
"2025","2","800019","ПМГ ""Иван Вазов""","1170","Природни науки - биология","153","0","0","153","0","0"
"2025","2","800019","ПМГ ""Иван Вазов""","1163","Софтуерни и хардуерни науки","187","0","0","305","0","0"
"2025","2","800026","ПГ по аграрно стопанство","3715","Растителна защита и агрохимия","202.25","0","0","202.25","0","0"
"2025","2","800026","ПГ по аграрно стопанство","0685","Техник на ССТ - дуална форма","0","0","0","0","0","0"
"2025","2","800022","ПГВМ ""Проф. д-р Георги Павлов""","1167","Асистент на лекар по дентална медицина","0","0","0","0","0","0"
"2025","2","800022","ПГВМ ""Проф. д-р Георги Павлов""","1120","Ветеринарен техник","166.25","0","0","219","0","0"
"2025","2","800022","ПГВМ ""Проф. д-р Георги Павлов""","1156","Контрол по качество на храни и напитки","0","0","0","0","0","0"
"2025","2","800021","ПГТС ""Михаил В. Ломоносов""","1922","Електрически превозни средства","0","0","0","0","0","0"
"2025","2","800021","ПГТС ""Михаил В. Ломоносов""","1892","Програмно осигуряване","0","0","0","0","0","0"
"2025","2","800328","ПГ по ТОЛП","2595","Електрически превозни средства","0","0","0","0","0","0"
"2025","2","800328","ПГ по ТОЛП","2639","Модист","0","0","0","0","0","0"
"2025","2","800328","ПГ по ТОЛП","2571","Подемно-транспортна техника, монтирана ПТС","0","0","0","0","0","0"
"2025","2","800328","ПГ по ТОЛП","2578","Фризьор","94","0","0","94","0","0"
"2025","2","800028","ПГ по туризъм ""П. К. Яворов""","0676","Готвач","198","0","0","198","0","0"
"2025","2","800028","ПГ по туризъм ""П. К. Яворов""","0669","Кетъринг","0","0","0","0","0","0"
"2025","2","800028","ПГ по туризъм ""П. К. Яворов""","4491","Хлебар-сладкар","191","0","0","191","0","0"
"2025","2","800028","ПГ по туризъм ""П. К. Яворов""","0661","Хотелиер","52","0","0","52","0","0"
"2025","2","800013","Средно училище ""Димитър Талев""","4918","Програмист на роботи","0","0","0","0","0","0"
"2025","2","800016","Средно училище ""Любен Каравелов""","4899","Програмиране на изкуствен интелект","230.5","0","0","233.5","0","0"
"2025","2","800017","Средно училище ""Петко Р. Славейков""","4992","Икономическо развитие","218.5","0","0","229.75","0","0"
"2025","2","800015","Средно училище ""Св. Климент Охридски""","2079","Графичен дизайнер","267.5","0","0","430","0","0"
"2025","2","800015","Средно училище ""Св. Климент Охридски""","2060","Музика","343.25","0","0","343.25","0","0"
"2025","2","800015","Средно училище ""Св. Климент Охридски""","2070","Танцьор","338.75","0","0","338.75","0","0"
"2025","2","800018","Средно училище ""Св.св. Кирил и Методий""","1700","Хуманитарни науки","187","0","0","266.5","0","0"
"2025","2","800023","ФСГ ""Васил Левски""","3050","Електронна търговия","226","0","0","226","0","0"
"2025","2","800023","ФСГ ""Васил Левски""","0686","Икономическа информатика","224.5","0","0","334","0","0"
"2025","2","800023","ФСГ ""Васил Левски""","0701","Оперативно счетоводство","170","0","0","319","0","0"
"2025","3","800020","ЕГ ""Гео Милев""","1719","Английски език с втори чужд Немски език","0","0","0","0","0","0"
"2025","3","800020","ЕГ ""Гео Милев""","1722","Английски език с втори чужд ФЕ / ИспЕ","0","0","0","0","0","0"
"2025","3","800020","ЕГ ""Гео Милев""","1712","Немски език с втори чужд Английски език","452.5","0","0","452.5","0","0"
"2025","3","800020","ЕГ ""Гео Милев""","1714","Немски език с втори чужд ИспЕ/ РЕ","0","0","0","0","0","0"
"2025","3","800003","ОбУ ""Йордан Йовков""","0966","Работник в ЗХР","0","0","0","0","0","0"
"2025","3","800019","ПМГ ""Иван Вазов""","1145","Приложно програмиране","137","0","0","137","0","0"
"2025","3","800019","ПМГ ""Иван Вазов""","1170","Природни науки - биология","0","0","0","0","0","0"
"2025","3","800019","ПМГ ""Иван Вазов""","1163","Софтуерни и хардуерни науки","151","0","0","305","0","0"
"2025","3","800026","ПГАС","3715","Растителна защита и агрохимия","131","0","0","228","0","0"
"2025","3","800026","ПГАС","0685","Техник на ССТ - дуална форма на обучение","0","0","0","0","0","0"
"2025","3","800022","ПГВМ ""Проф. д-р Георги Павлов""","1167","Асистент на лекар по дентална медицина","146.5","0","0","227","0","0"
"2025","3","800022","ПГВМ ""Проф. д-р Георги Павлов""","1120","Ветеринарен техник","161.5","0","0","161.5","0","0"
"2025","3","800022","ПГВМ ""Проф. д-р Георги Павлов""","1156","Контрол по качество на храни и напитки","0","0","0","0","0","0"
"2025","3","800021","ПГ по ТС ""М. В. Ломоносов""","1922","Електрически превозни средства","0","0","0","0","0","0"
"2025","3","800021","ПГ по ТС ""М. В. Ломоносов""","4243","Компютърна техника и технологии","0","0","0","0","0","0"
"2025","3","800021","ПГ по ТС ""М. В. Ломоносов""","1892","Програмно осигуряване","0","0","0","0","0","0"
"2025","3","800021","ПГ по ТС ""М. В. Ломоносов""","3705","Промишлен дизайн","0","0","0","0","0","0"
"2025","3","800328","ПГ ТОЛП","2595","Електрически превозни средства","0","0","0","0","0","0"
"2025","3","800328","ПГ ТОЛП","2639","Модист","0","0","0","0","0","0"
"2025","3","800328","ПГ ТОЛП","2571","Подемно-транспортна техника, монтирана на ППС","216","0","0","216","0","0"
"2025","3","800328","ПГ ТОЛП","2578","Фризьор","0","0","0","0","0","0"
"2025","3","800028","ПГТ ""П. К. Яворов""","0676","Готвач","96","0","0","211","0","0"
"2025","3","800028","ПГТ ""П. К. Яворов""","0669","Кетъринг","0","0","0","0","0","0"
"2025","3","800028","ПГТ ""П. К. Яворов""","4491","Хлебар-сладкар","127","0","0","167","0","0"
"2025","3","800028","ПГТ ""П. К. Яворов""","0661","Хотелиер","0","0","0","0","0","0"
"2025","3","800013","СУ ""Димитър Талев""","4918","Програмист на роботи","0","0","0","0","0","0"
"2025","3","800016","СУ ""Л. Каравелов""","4899","Програмиране на изкуствен интелект","0","0","0","0","0","0"
"2025","3","800017","СУ ""П.Р.Славейков""","4992","Икономическо развитие","0","0","0","0","0","0"
"2025","3","800015","СУ ""Св. Климент Охридски""","2079","Графичен дизайнер","0","0","0","0","0","0"
"2025","3","800015","СУ ""Св. Климент Охридски""","2060","Музика","0","0","0","0","0","0"
"2025","3","800015","СУ ""Св. Климент Охридски""","2070","Танцьор","0","0","0","0","0","0"
"2025","3","800018","СУ ""Св. Св. Кирил и Методий""","1700","Хуманитарни науки","0","0","0","0","0","0"
"2025","3","800023","ФСГ ""Васил Левски""","3050","Електронна търговия","0","0","0","0","0","0"
"2025","3","800023","ФСГ ""Васил Левски""","0686","Икономическа информатика","400.5","0","0","400.5","0","0"
"2025","3","800023","ФСГ ""Васил Левски""","0701","Оперативно счетоводство","175","0","0","175","0","0"
"2025","4","800020","ЕГ ""Гео Милев""","1719","Английски език с втори чужд Немски език","0","0","0","0","0","0"
"2025","4","800020","ЕГ ""Гео Милев""","1722","Английски език с втори чужд ФЕ / ИспЕ","0","0","0","0","0","0"
"2025","4","800020","ЕГ ""Гео Милев""","1712","Немски език с втори чужд Английски език","0","0","0","0","0","0"
"2025","4","800020","ЕГ ""Гео Милев""","1714","Немски език с втори чужд ИспЕ/ РЕ","0","0","0","0","0","0"
"2025","4","800003","ОбУ ""Йордан Йовков""","0966","Работник в ЗХР","0","0","0","0","0","0"
"2025","4","800019","ПМГ ""Иван Вазов""","1145","Приложно програмиране","0","0","0","0","0","0"
"2025","4","800019","ПМГ ""Иван Вазов""","1170","Природни науки - биология","0","0","0","0","0","0"
"2025","4","800019","ПМГ ""Иван Вазов""","1163","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2025","4","800026","ПГАС","3715","Растителна защита и агрохимия","0","0","0","0","0","0"
"2025","4","800026","ПГАС","0685","Техник на ССТ - дуална форма на обучение","0","0","0","0","0","0"
"2025","4","800022","ПГВМ ""Проф. д-р Георги Павлов""","1167","Асистент на лекар по дентална медицина","0","0","0","0","0","0"
"2025","4","800022","ПГВМ ""Проф. д-р Георги Павлов""","1120","Ветеринарен техник","0","0","0","0","0","0"
"2025","4","800022","ПГВМ ""Проф. д-р Георги Павлов""","1156","Контрол по качество на храни и напитки","0","0","0","0","0","0"
"2025","4","800021","ПГ по ТС ""М. В. Ломоносов""","1922","Електрически превозни средства","0","0","0","0","0","0"
"2025","4","800021","ПГ по ТС ""М. В. Ломоносов""","4243","Компютърна техника и технологии","0","0","0","0","0","0"
"2025","4","800021","ПГ по ТС ""М. В. Ломоносов""","1892","Програмно осигуряване","0","0","0","0","0","0"
"2025","4","800021","ПГ по ТС ""М. В. Ломоносов""","3705","Промишлен дизайн","0","0","0","0","0","0"
"2025","4","800328","ПГ ТОЛП","2595","Електрически превозни средства","0","0","0","0","0","0"
"2025","4","800328","ПГ ТОЛП","2639","Модист","0","0","0","0","0","0"
"2025","4","800328","ПГ ТОЛП","2571","Подемно-транспортна техника, монтирана на ППС","0","0","0","0","0","0"
