"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","2303582","Професионална гимназия ""Христо Ботев""","4795","Готвач","170","196","170","233","196","233"
"2024","1","2303582","Професионална гимназия ""Христо Ботев""","4370","Техник-лесовъд","98","98","111","213","213","212"
"2024","1","2306213","Средно училище ""Неофит Рилски""","2057","Предприемачески","81","103","81","330","297.5","330"
"2024","2","2303582","Професионална гимназия ""Христо Ботев""","4795","Готвач","0","0","0","0","0","0"
"2024","2","2303582","Професионална гимназия ""Христо Ботев""","4370","Техник-лесовъд","0","0","0","0","0","0"
"2024","2","2306213","Средно училище ""Неофит Рилски""","2057","Предприемачески","0","0","0","0","0","0"
"2024","3","2303582","Професионална гимназия ""Христо Ботев""","4795","Готвач","0","0","0","0","0","0"
"2024","3","2303582","Професионална гимназия ""Христо Ботев""","4370","Техник-лесовъд","0","0","0","0","0","0"
"2024","3","2306213","Средно училище ""Неофит Рилски""","2057","Предприемачески","81","103","81","330","297.5","330"
"2024","4","2303582","Професионална гимназия ""Христо Ботев""","4795","Готвач","0","0","0","0","0","0"
"2024","4","2303582","Професионална гимназия ""Христо Ботев""","4370","Техник-лесовъд","0","0","0","0","0","0"
"2024","4","2306213","Средно училище ""Неофит Рилски""","2057","Предприемачески","0","0","0","0","0","0"
