"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1323","Икономика и мениджмънт","116","116","167","386.5","116","386.5"
"2023","1","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1325","Организация на туризма и свободното време","103","215","103","260.5","260.5","172"
"2023","1","700204","Средно училище ""Максим Райкович""","3906","Системно програмиране","71","71","94","320","320","315.5"
"2023","2","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1323","Икономика и мениджмънт","242.5","0","242.5","242.5","0","242.5"
"2023","2","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1325","Организация на туризма и свободното време","0","0","0","0","0","0"
"2023","2","700204","Средно училище ""Максим Райкович""","3906","Системно програмиране","220","220","0","220","220","0"
"2023","3","700204","Средно училище ""Максим Райкович""","3906","Системно програмиране","159","0","159","159","0","159"
"2023","3","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1323","Икономика и мениджмънт","30","30","133","242.5","30","242.5"
"2023","3","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1325","Организация на туризма и свободното време","124","252","124","252","252","124"
"2023","4","700204","Средно училище ""Максим Райкович""","3906","Системно програмиране","0","0","0","0","0","0"
"2023","4","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1323","Икономика и мениджмънт","0","0","0","0","0","0"
"2023","4","700205","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ИКОНОМИКА ""РАЧО СТОЯНОВ""","1325","Организация на туризма и свободното време","0","0","0","0","0","0"
