"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","400136","Средно училище ""Свети Климент Охридски""","0875","Електронна търговия - БИБРИЧЕ_АЕ","74","74","141.5","386","386","281.75"
"2024","1","400136","Средно училище ""Свети Климент Охридски""","0883","Производство на кулинарни изделия и напитки - БИБРИЧЕ_АЕ","48","72","48","225","140","225"
"2024","1","400136","Средно училище ""Свети Климент Охридски""","0860","Софтуерни и хардуерни науки - БИБРИЧЕ_АЕ профил. предм. - ИНФ_ИТ","99","99","122","359.5","171","359.5"
"2024","2","400136","Средно училище ""Свети Климент Охридски""","0875","Електронна търговия - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2024","2","400136","Средно училище ""Свети Климент Охридски""","0883","Производство на кулинарни изделия и напитки - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2024","2","400136","Средно училище ""Свети Климент Охридски""","0860","Софтуерни и хардуерни науки - БИБРИЧЕ_АЕ профил. предм. - ИНФ_ИТ","0","0","0","0","0","0"
"2024","3","400136","Средно училище ""Свети Климент Охридски""","0875","Електронна търговия - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2024","3","400136","Средно училище ""Свети Климент Охридски""","0883","Производство на кулинарни изделия и напитки - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2024","3","400136","Средно училище ""Свети Климент Охридски""","0860","Софтуерни и хардуерни науки - БИБРИЧЕ_АЕ профил. предм. - ИНФ_ИТ","151","151","0","183.5","183.5","0"
"2024","4","400136","Средно училище ""Свети Климент Охридски""","0875","Електронна търговия - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2024","4","400136","Средно училище ""Свети Климент Охридски""","0883","Производство на кулинарни изделия и напитки - БИБРИЧЕ_АЕ","0","0","0","0","0","0"
"2024","4","400136","Средно училище ""Свети Климент Охридски""","0860","Софтуерни и хардуерни науки - БИБРИЧЕ_АЕ профил. предм. - ИНФ_ИТ","0","0","0","0","0","0"
