"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","3704","Приложен програмист","176","0","0","381","0","0"
"2023","1","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0088","Хуманитарни науки","193.5","0","0","354.25","0","0"
"2023","1","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0094","Природни науки","214","0","0","408.5","0","0"
"2023","1","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0045","Монтьор на транспортна техника с недостиг","30","0","0","245.5","0","0"
"2023","1","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0046","Моделиер-технолог на облекло","41","0","0","255","0","0"
"2023","1","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0047","Монтьор на селскостопанска техника","30","0","0","166","0","0"
"2023","2","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","3704","Приложен програмист","174","0","0","381","0","0"
"2023","2","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0088","Хуманитарни науки","184.5","0","0","354.25","0","0"
"2023","2","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0094","Природни науки","205","0","0","408.5","0","0"
"2023","2","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0045","Монтьор на транспортна техника с недостиг","30","0","0","245.5","0","0"
"2023","2","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0046","Моделиер-технолог на облекло","41","0","0","255","0","0"
"2023","2","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0047","Монтьор на селскостопанска техника","30","0","0","166","0","0"
"2023","3","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","3704","Приложен програмист","165.5","0","0","381","0","0"
"2023","3","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0088","Хуманитарни науки","184.5","0","0","354.25","0","0"
"2023","3","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0094","Природни науки","205","0","0","408.5","0","0"
"2023","3","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0045","Монтьор на транспортна техника с недостиг","30","0","0","245.5","0","0"
"2023","3","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0046","Моделиер-технолог на облекло","41","0","0","255","0","0"
"2023","3","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0047","Монтьор на селскостопанска техника","30","0","0","176","0","0"
"2023","4","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","3704","Приложен програмист","165.5","0","0","381","0","0"
"2023","4","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0088","Хуманитарни науки","184.5","0","0","354.25","0","0"
"2023","4","1900301","Средно училище ""Васил Левски"", ГР.ДУЛОВО","0094","Природни науки","205","0","0","408.5","0","0"
"2023","4","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0045","Монтьор на транспортна техника с недостиг","30","0","0","245.5","0","0"
"2023","4","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0046","Моделиер-технолог на облекло","41","0","0","255","0","0"
"2023","4","1900327","Професионална гимназия по облекло обслужване и транспорт, ГР.ДУЛОВО","0047","Монтьор на селскостопанска техника","30","0","0","176","0","0"
