"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1778","Електрически машини и апарати","149","149","0","303","303","0"
"2025","1","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1785","Икономическа информатика","68","68","150","358","358","290"
"2025","1","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","4618","Топлотехника - топлинна, климатична, вентилационна и хладилна","92","92","0","248","248","0"
"2025","1","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1367","Икономика и мениджмънт","267","269.5","267","330.25","311","330.25"
"2025","1","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1376","Моден дизайн","209.5","213","209.5","328","263","328"
"2025","1","1000051","Професионална гимназия по транспорт","2772","Автотранспортна техника Техник по транспортна техника","30","30","44","230.5","230.5","155"
"2025","1","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2590","Готвач","195.5","195.5","199","288","288","243"
"2025","1","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2599","Лаборант - дуална система на обучение","130","130","130","308.5","262","308.5"
"2025","1","1000052","Профилирана гимназия ""Христо Ботев""","3476","""Приложно програмиране"" - ""Приложен програмист""","297","297","308.5","464.5","464.5","440"
"2025","1","1000052","Профилирана гимназия ""Христо Ботев""","2708","Профил ""Математически""","271","273","271","480.5","467","480.5"
"2025","1","1000052","Профилирана гимназия ""Христо Ботев""","2713","Профил ""Природни науки""","294.5","300","294.5","463.5","417","463.5"
"2025","1","1000052","Профилирана гимназия ""Христо Ботев""","2714","Профил ""Хуманитарни науки""","352.25","352.25","354","430.25","425","430.25"
"2025","1","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","3678","Профил ""Чужди езици"", Английски с испански език","354.25","395.75","354.25","446.5","395.75","446.5"
"2025","1","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","4334","Профил ""Чужди езици"" Английски с немски език","314.75","316","314.75","446.75","446.75","442.5"
"2025","1","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","1129","Профил ""Чужди езици"", Испански с английски език","362.75","384.5","362.75","463.5","461.5","463.5"
"2025","2","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1778","Електрически машини и апарати","87","87","0","162","162","0"
"2025","2","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1785","Икономическа информатика","220","220","0","243.5","243.5","0"
"2025","2","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","4618","Топлотехника - топлинна, климатична, вентилационна и хладилна","69","69","0","128","128","0"
"2025","2","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1367","Икономика и мениджмънт","240.5","247.75","240.5","314.75","305.25","314.75"
"2025","2","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1376","Моден дизайн","160","169","160","288.25","263","288.25"
"2025","2","1000051","Професионална гимназия по транспорт","2772","Автотранспортна техника Техник по транспортна техника","123","176","123","176","176","123"
"2025","2","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2590","Готвач","177","177","177","243","231.5","243"
"2025","2","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2599","Лаборант - дуална система на обучение","101","101","111","245","210.5","245"
"2025","2","1000052","Профилирана гимназия ""Христо Ботев""","3476","""Приложно програмиране"" - ""Приложен програмист""","276.5","276.5","0","286","286","0"
"2025","2","1000052","Профилирана гимназия ""Христо Ботев""","2708","Профил ""Математически""","240","240","244.5","276.5","276.5","275"
"2025","2","1000052","Профилирана гимназия ""Христо Ботев""","2713","Профил ""Природни науки""","290","290","0","309.5","309.5","0"
"2025","2","1000052","Профилирана гимназия ""Христо Ботев""","2714","Профил ""Хуманитарни науки""","342.5","0","342.5","342.5","0","342.5"
"2025","2","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","3678","Профил ""Чужди езици"", Английски с испански език","342.5","342.5","0","342.5","342.5","0"
"2025","2","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","4334","Профил ""Чужди езици"" Английски с немски език","308.25","312.25","308.25","331.5","312.25","331.5"
"2025","2","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","1129","Профил ""Чужди езици"", Испански с английски език","341.25","0","341.25","360","0","360"
"2025","3","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1778","Електрически машини и апарати","0","0","0","0","0","0"
"2025","3","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1785","Икономическа информатика","82","82","117","232.5","232.5","202.5"
"2025","3","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","4618","Топлотехника - топлинна, климатична, вентилационна и хладилна","0","0","0","0","0","0"
"2025","3","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1367","Икономика и мениджмънт","259.5","291.5","259.5","291.5","291.5","260"
"2025","3","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1376","Моден дизайн","293.5","0","293.5","293.5","0","293.5"
"2025","3","1000051","Професионална гимназия по транспорт","2772","Автотранспортна техника Техник по транспортна техника","41","41","41","155","41","155"
"2025","3","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2590","Готвач","197","197","0","215.5","215.5","0"
"2025","3","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2599","Лаборант - дуална система на обучение","152","152","197","262","262","244"
"2025","3","1000052","Профилирана гимназия ""Христо Ботев""","3476","""Приложно програмиране"" - ""Приложен програмист""","0","0","0","0","0","0"
"2025","3","1000052","Профилирана гимназия ""Христо Ботев""","2708","Профил ""Математически""","288.5","0","288.5","288.5","0","288.5"
"2025","3","1000052","Профилирана гимназия ""Христо Ботев""","2713","Профил ""Природни науки""","0","0","0","0","0","0"
"2025","3","1000052","Профилирана гимназия ""Христо Ботев""","2714","Профил ""Хуманитарни науки""","0","0","0","0","0","0"
"2025","3","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","3678","Профил ""Чужди езици"", Английски с испански език","0","0","0","0","0","0"
"2025","3","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","4334","Профил ""Чужди езици"" Английски с немски език","0","0","0","0","0","0"
"2025","3","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","1129","Профил ""Чужди езици"", Испански с английски език","0","0","0","0","0","0"
"2025","4","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1778","Електрически машини и апарати","0","0","0","0","0","0"
"2025","4","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","1785","Икономическа информатика","158","210","158","210","210","158"
"2025","4","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","4618","Топлотехника - топлинна, климатична, вентилационна и хладилна","243.5","243.5","0","243.5","243.5","0"
"2025","4","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1367","Икономика и мениджмънт","0","0","0","0","0","0"
"2025","4","1000049","Професионална гимназия по облекло и стопанско управление ""Св. Иван Рилски""","1376","Моден дизайн","291.75","0","291.75","291.75","0","291.75"
"2025","4","1000051","Професионална гимназия по транспорт","2772","Автотранспортна техника Техник по транспортна техника","0","0","0","0","0","0"
"2025","4","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2590","Готвач","215.5","215.5","0","215.5","215.5","0"
"2025","4","1002137","Професионална гимназия по хранително - вкусови и химични технологии","2599","Лаборант - дуална система на обучение","112","112","0","128","128","0"
"2025","4","1000052","Профилирана гимназия ""Христо Ботев""","3476","""Приложно програмиране"" - ""Приложен програмист""","0","0","0","0","0","0"
"2025","4","1000052","Профилирана гимназия ""Христо Ботев""","2708","Профил ""Математически""","0","0","0","0","0","0"
"2025","4","1000052","Профилирана гимназия ""Христо Ботев""","2713","Профил ""Природни науки""","0","0","0","0","0","0"
"2025","4","1000052","Профилирана гимназия ""Христо Ботев""","2714","Профил ""Хуманитарни науки""","0","0","0","0","0","0"
"2025","4","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","3678","Профил ""Чужди езици"", Английски с испански език","0","0","0","0","0","0"
"2025","4","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","4334","Профил ""Чужди езици"" Английски с немски език","0","0","0","0","0","0"
"2025","4","1000035","Средно езиково училище ""Св. Паисий Хилендарски""","1129","Профил ""Чужди езици"", Испански с английски език","0","0","0","0","0","0"
