"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","300305","Средно училище ""Иван Николов Момчилов""","0595","Горско стопанство","92","0","0","304.5","0","0"
"2024","1","300305","Средно училище ""Иван Николов Момчилов""","0606","Ресторантьор","0","0","0","0","0","0"
"2024","1","300305","Средно училище ""Иван Николов Момчилов""","0592","Софтуерни и хардуерни науки","116","0","0","449.5","0","0"
"2024","2","300305","Средно училище ""Иван Николов Момчилов""","0592","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2024","2","300305","Средно училище ""Иван Николов Момчилов""","0595","Горско стопанство","0","0","0","0","0","0"
"2024","2","300305","Средно училище ""Иван Николов Момчилов""","0606","Ресторантьор","0","0","0","0","0","0"
"2024","3","300305","Средно училище ""Иван Николов Момчилов""","0595","Горско стопанство","0","0","0","0","0","0"
"2024","3","300305","Средно училище ""Иван Николов Момчилов""","0606","Ресторантьор","0","0","0","0","0","0"
"2024","3","300305","Средно училище ""Иван Николов Момчилов""","0592","Софтуерни и хардуерни науки","138","0","0","183","0","0"
"2024","4","300305","Средно училище ""Иван Николов Момчилов""","0592","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2024","4","300305","Средно училище ""Иван Николов Момчилов""","0595","Горско стопанство","0","0","0","0","0","0"
"2024","4","300305","Средно училище ""Иван Николов Момчилов""","0606","Ресторантьор","0","0","0","0","0","0"
