"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2300170","Средно училище ""Васил Левски""","2737","Компютърен график","188","188","193","318","277","318"
"2023","1","2300170","Средно училище ""Васил Левски""","4392","Компютърен график - РИЧЕ","174.5","174.5","190","377","270","377"
"2023","1","2300170","Средно училище ""Васил Левски""","2731","Предприемачество","225.5","225.5","230","402","402","356.5"
"2023","1","2300170","Средно училище ""Васил Левски""","2728","Софтуерни и хардуерни науки","167.5","167.5","186.5","455.75","370.25","455.75"
"2023","2","2300170","Средно училище ""Васил Левски""","2737","Компютърен график","173","173","173","203","203","196"
"2023","2","2300170","Средно училище ""Васил Левски""","4392","Компютърен график - РИЧЕ","132","132","167","172","172","167"
"2023","2","2300170","Средно училище ""Васил Левски""","2731","Предприемачество","193","203.5","193","213","213","201"
"2023","2","2300170","Средно училище ""Васил Левски""","2728","Софтуерни и хардуерни науки","114.5","114.5","139.75","147.5","147.5","139.75"
"2023","3","2300170","Средно училище ""Васил Левски""","2737","Компютърен график","188","222","188","222","222","188"
"2023","3","2300170","Средно училище ""Васил Левски""","4392","Компютърен график - РИЧЕ","131","131","172","172","131","172"
"2023","3","2300170","Средно училище ""Васил Левски""","2731","Предприемачество","0","0","0","0","0","0"
"2023","3","2300170","Средно училище ""Васил Левски""","2728","Софтуерни и хардуерни науки","182.5","182.5","203","342","342","203"
"2023","4","2300170","Средно училище ""Васил Левски""","2737","Компютърен график","0","0","0","0","0","0"
"2023","4","2300170","Средно училище ""Васил Левски""","4392","Компютърен график - РИЧЕ","0","0","0","0","0","0"
"2023","4","2300170","Средно училище ""Васил Левски""","2731","Предприемачество","0","0","0","0","0","0"
"2023","4","2300170","Средно училище ""Васил Левски""","2728","Софтуерни и хардуерни науки","149.5","149.5","0","149.5","149.5","0"
