"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2300327","Професионална гимназия ""Тодор Пеев""","28347","Електрически инсталации-дневна","30","52.5","30","156","92.5","156"
"2026","1","2300327","Професионална гимназия ""Тодор Пеев""","28348","Електрически инсталации-дуална система","68.5","164","68.5","204","164","204"
"2026","1","2300327","Професионална гимназия ""Тодор Пеев""","28345","Пътностроителна техника-дневна","30","30","0","215.5","215.5","0"
"2026","1","2300327","Професионална гимназия ""Тодор Пеев""","28346","Пътностроителна техника-дуална система на обучение","74","74","0","201.5","201.5","0"
"2026","1","2300195","Средно училище ""Христо Ясенов""","03649","Профил ""Софтуерни и хардуерни науки""","108","136","108","337","288","337"
"2026","1","2300195","Средно училище ""Христо Ясенов""","30073","Профил ""Чужди езици""","137","161","137","365","365","346.5"
"2026","2","2300327","Професионална гимназия ""Тодор Пеев""","28347","Електрически инсталации-дневна","0","0","0","0","0","0"
"2026","2","2300327","Професионална гимназия ""Тодор Пеев""","28348","Електрически инсталации-дуална система","0","0","0","0","0","0"
"2026","2","2300327","Професионална гимназия ""Тодор Пеев""","28345","Пътностроителна техника-дневна","0","0","0","0","0","0"
"2026","2","2300327","Професионална гимназия ""Тодор Пеев""","28346","Пътностроителна техника-дуална система на обучение","0","0","0","0","0","0"
"2026","2","2300195","Средно училище ""Христо Ясенов""","03649","Профил ""Софтуерни и хардуерни науки""","108","0","0","108","0","0"
"2026","2","2300195","Средно училище ""Христо Ясенов""","30073","Профил ""Чужди езици""","130","0","0","130","0","0"
"2026","3","2300327","Професионална гимназия ""Тодор Пеев""","28347","Електрически инсталации-дневна","0","0","0","0","0","0"
"2026","3","2300327","Професионална гимназия ""Тодор Пеев""","28348","Електрически инсталации-дуална система","157","0","0","157","0","0"
"2026","3","2300327","Професионална гимназия ""Тодор Пеев""","28345","Пътностроителна техника-дневна","0","0","0","0","0","0"
"2026","3","2300327","Професионална гимназия ""Тодор Пеев""","28346","Пътностроителна техника-дуална система на обучение","76","0","0","88.5","0","0"
"2026","3","2300195","Средно училище ""Христо Ясенов""","03649","Профил ""Софтуерни и хардуерни науки""","122","0","0","160","0","0"
"2026","3","2300195","Средно училище ""Христо Ясенов""","30073","Профил ""Чужди езици""","221","0","0","221","0","0"
"2026","4","2300327","Професионална гимназия ""Тодор Пеев""","28347","Електрически инсталации-дневна","0","0","0","0","0","0"
"2026","4","2300327","Професионална гимназия ""Тодор Пеев""","28348","Електрически инсталации-дуална система","0","0","0","0","0","0"
"2026","4","2300327","Професионална гимназия ""Тодор Пеев""","28345","Пътностроителна техника-дневна","0","0","0","0","0","0"
"2026","4","2300327","Професионална гимназия ""Тодор Пеев""","28346","Пътностроителна техника-дуална система на обучение","0","0","0","0","0","0"
"2026","4","2300195","Средно училище ""Христо Ясенов""","03649","Профил ""Софтуерни и хардуерни науки""","156","0","0","156","0","0"
"2026","4","2300195","Средно училище ""Христо Ясенов""","30073","Профил ""Чужди езици""","0","0","0","0","0","0"
