"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","700113","Средно училище ""Отец Паисий""","0490","Компютърен График","128","231.5","128","380","336","380"
"2024","1","700113","Средно училище ""Отец Паисий""","0478","Строителство и архитектура- дуална форма на обучение","41","41","218","327.5","273","327.5"
"2024","1","700114","Средно училище ""Райчо Каролев""","3739","Асистент на лекар по дентална медицина","76","85","76","277","265.5","277"
"2024","1","700115","НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ","3308","Бизнес администрация","289","295.5","289","380.5","299.5","380.5"
"2024","1","700115","НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ","1197","Хуманитарни науки","325","326.75","325","410","356.25","410"
"2024","1","700115","НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ","1213","Чужди езици - АЕ с ИспЕ","338","338","339.5","458.5","438.5","458.5"
"2024","1","700115","НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ","1210","Чужди езици - АЕ с НЕ_ФЕ","329.5","334","329.5","459","459","423"
"2024","1","700115","НАЦИОНАЛНА АПРИЛОВСКА ГИМНАЗИЯ","1214","Чужди езици - НЕ с АЕ","300","301","300","435","401.5","435"
"2024","1","700116","Природоматематическа гимназия ""Академик Иван Гюзелев""","2002","Природни науки","342","342.5","342","495","495","470"
"2024","1","700116","Природоматематическа гимназия ""Академик Иван Гюзелев""","1986","профил Математически с АЕ","417.5","417.5","420.5","483","468.5","483"
"2024","1","700116","Природоматематическа гимназия ""Академик Иван Гюзелев""","1993","профил Математически с НЕ","384.5","395","384.5","470","468.5","470"
"2024","1","700116","Природоматематическа гимназия ""Академик Иван Гюзелев""","2010","Системно програмиране","335.5","335.5","368.5","461","461","368.5"
"2024","1","700116","Природоматематическа гимназия ""Академик Иван Гюзелев""","3590","Софтуерни и хардуерни науки с АЕ","326","330","326","438","438","407"
"2024","1","700116","Природоматематическа гимназия ""Академик Иван Гюзелев""","3592","Софтуерни и хардуерни науки с НЕ","307","307","0","376","376","0"
"2024","1","700118","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""Д-р Никола Василиади""","0459","Автотранспортна техника-дуална система на обучение","146.5","146.5","161","355.5","355.5","239.5"
"2024","1","700118","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""Д-р Никола Василиади""","0439","Компютърна техника и технологии-дневна форма","228","239","228","318.5","318.5","306"
"2024","1","700118","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""Д-р Никола Василиади""","0443","Мехатроника-дуална система на обучение","121","121","184","345","336","345"
"2024","1","700118","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""Д-р Никола Василиади""","0441","Приложно програмиране-дневна форма","222.5","222.5","238","414.5","414.5","332"
"2024","1","700118","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ ""Д-р Никола Василиади""","4696","Промишлена електроника-дуална система на обучение","97","97","180.5","274.5","225","274.5"
"2024","1","700120","Професионална гимназия по туризъм ""Пенчо Семов""","1937","Икономика и мениджмънт","136","136","167","379.25","295.75","379.25"
"2024","1","700120","Професионална гимназия по туризъм ""Пенчо Семов""","1954","Организация на хотелиерството","63.5","63.5","135","364.5","313.75","364.5"
"2024","1","700120","Професионална гимназия по туризъм ""Пенчо Семов""","3642","Производство и обслужване в заведенията за хранене и развлечения","115.5","162","115.5","233.75","181","233.75"
"2024","1","700120","Професионална гимназия по туризъм ""Пенчо Семов""","1996","Производство на кулинарни изделия и напитки","55.25","65","55.25","362.75","305","362.75"
"2024","1","700120","Професионална гимназия по туризъм ""Пенчо Семов""","4675","Производство на хляб и хлебни изделия","0","0","0","0","0","0"
"2024","2","700113","Средно училище ""Отец Паисий""","0490","Компютърен График","268.5","268.5","294.25","326.5","268.5","326.5"
"2024","2","700113","Средно училище ""Отец Паисий""","0478","Строителство и архитектура- дуална форма на обучение","218","0","218","294.25","0","294.25"
"2024","2","700114","Средно училище ""Райчо Каролев""","3739","Асистент на лекар по дентална медицина","216","0","216","258","0","258"
