"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0938","Възобновяеми енергийни източници - дуална форма на обучение","170","0","0","270.5","0","0"
"2023","1","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0942","Електроенергетика - дуална форма на обучение","195","0","0","277.5","0","0"
"2023","1","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0952","Компютърна техника и технологии","211.5","0","0","410.5","0","0"
"2023","1","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0955","Приложно програмиране","276.5","0","0","400.5","0","0"
"2023","1","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","4183","Програмист на роботи","201","0","0","329.5","0","0"
"2023","1","300222","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","0858","""Локомотиви и вагони"" - дуална форма на обучение","74","0","0","222","0","0"
"2023","1","300222","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","0857","Осигурителни и комуникационни системи","109","0","0","109","0","0"
"2023","1","300222","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","0643","Ръководител движение","113","0","0","214","0","0"
"2023","1","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0542","Банково дело","125.5","0","0","254.5","0","0"
"2023","1","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0566","Експлоатация на автомобилния транспорт","72","0","0","233","0","0"
"2023","1","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0560","Електронна търговия","124","0","0","313.5","0","0"
"2023","1","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0552","Оперативно счетоводство","156","0","0","274.5","0","0"
"2023","1","300220","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","2888","Експлоатация и поддържане на хладилна и климатична техника в ХВП","77","0","0","211","0","0"
"2023","1","300220","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","2892","Ресторантьор","87","0","0","293.5","0","0"
"2023","1","300220","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","3921","Техник-растениевъд","55","0","0","254.5","0","0"
"2023","1","300218","Професионална техническа гимназия ""Васил Левски""","1826","Автотранспортна техника","52","0","0","258","0","0"
"2023","1","300218","Професионална техническа гимназия ""Васил Левски""","4425","Електрически превозни средства","30","0","0","198","0","0"
"2023","1","300217","Средно училище ""Вичо Грънчаров""","3602","Изобразително изкуство","270.5","0","0","352.5","0","0"
"2023","1","300217","Средно училище ""Вичо Грънчаров""","3596","Музика","262.5","0","0","373.5","0","0"
"2023","1","300217","Средно училище ""Вичо Грънчаров""","0725","Софтуерни и хардуерни науки","236","0","0","426","0","0"
"2023","1","300216","Средно училище ""Георги Измирлиев""","0449","Природни науки - биология и химия","169.5","0","0","374.75","0","0"
"2023","1","300216","Средно училище ""Георги Измирлиев""","0447","Чужди езици - английски език и испански език","205","0","0","385.5","0","0"
"2023","2","300216","Средно училище ""Георги Измирлиев""","0449","Природни науки - биология и химия","149.75","0","0","178.75","0","0"
"2023","2","300216","Средно училище ""Георги Измирлиев""","0447","Чужди езици - английски език и испански език","193.5","0","0","193.5","0","0"
"2023","2","300217","Средно училище ""Вичо Грънчаров""","3602","Изобразително изкуство","253","0","0","253","0","0"
"2023","2","300217","Средно училище ""Вичо Грънчаров""","3596","Музика","373.5","0","0","373.5","0","0"
"2023","2","300217","Средно училище ""Вичо Грънчаров""","0725","Софтуерни и хардуерни науки","235","0","0","235","0","0"
"2023","2","300218","Професионална техническа гимназия ""Васил Левски""","1826","Автотранспортна техника","116","0","0","258","0","0"
"2023","2","300218","Професионална техническа гимназия ""Васил Левски""","4425","Електрически превозни средства","0","0","0","0","0","0"
"2023","2","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0938","Възобновяеми енергийни източници - дуална форма на обучение","170","0","0","170","0","0"
"2023","2","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0942","Електроенергетика - дуална форма на обучение","196.5","0","0","196.5","0","0"
"2023","2","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0952","Компютърна техника и технологии","208.5","0","0","208.5","0","0"
"2023","2","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","0955","Приложно програмиране","264","0","0","280.5","0","0"
"2023","2","300219","Професионална гимназия по електротехника и електроника ""Михайло Василиевич Ломоносов""","4183","Програмист на роботи","201","0","0","212","0","0"
"2023","2","300220","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","2888","Експлоатация и поддържане на хладилна и климатична техника в ХВП","0","0","0","0","0","0"
"2023","2","300220","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","2892","Ресторантьор","77","0","0","163","0","0"
"2023","2","300220","Професионална гимназия по хранителни технологии ""Проф.д-р Асен Златаров""","3921","Техник-растениевъд","30","0","0","66","0","0"
"2023","2","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0542","Банково дело","144","0","0","182","0","0"
"2023","2","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0566","Експлоатация на автомобилния транспорт","88","0","0","130","0","0"
"2023","2","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0560","Електронна търговия","113","0","0","212.5","0","0"
"2023","2","300221","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""","0552","Оперативно счетоводство","0","0","0","0","0","0"
"2023","2","300222","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","0858","""Локомотиви и вагони"" - дуална форма на обучение","0","0","0","0","0","0"
"2023","2","300222","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","0857","Осигурителни и комуникационни системи","0","0","0","0","0","0"
"2023","2","300222","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""","0643","Ръководител движение","0","0","0","0","0","0"
"2023","3","300216","Средно училище ""Георги Измирлиев""","0447","Чужди езици - английски език и испански език","0","0","0","0","0","0"
