"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2603009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","1872","Електротехник","74","0","0","186","0","0"
"2025","1","2603009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","1901","Техник на електронна техника","30","0","0","288.5","0","0"
"2025","1","2603008","Средно училище ""Неофит Рилски""","3068","Икономическо развитие","120.5","0","0","438","0","0"
"2025","1","2603008","Средно училище ""Неофит Рилски""","1787","Природни науки","30","0","0","232","0","0"
"2025","1","2603008","Средно училище ""Неофит Рилски""","1775","Софтуерни и хардуерни науки","54","0","0","397.5","0","0"
"2025","2","2603009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","1872","Електротехник","0","0","0","0","0","0"
"2025","2","2603009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","1901","Техник на електронна техника","0","0","0","0","0","0"
"2025","2","2603008","Средно училище ""Неофит Рилски""","3068","Икономическо развитие","0","0","0","0","0","0"
"2025","2","2603008","Средно училище ""Неофит Рилски""","1787","Природни науки","0","0","0","0","0","0"
"2025","2","2603008","Средно училище ""Неофит Рилски""","1775","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2025","3","2603009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","1872","Електротехник","30","0","0","238","0","0"
"2025","3","2603009","Професионална гимназия по електропромишленост и текстил ""Захари Стоянов""","1901","Техник на електронна техника","0","0","0","0","0","0"
"2025","3","2603008","Средно училище ""Неофит Рилски""","3068","Икономическо развитие","190","0","0","190","0","0"
"2025","3","2603008","Средно училище ""Неофит Рилски""","1787","Природни науки","0","0","0","0","0","0"
"2025","3","2603008","Средно училище ""Неофит Рилски""","1775","Софтуерни и хардуерни науки","103","0","0","103","0","0"
