"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2601028","Езикова гимназия ""Проф. д-р Асен Златаров""","2625","Английски език и испански език","384","0","0","497","0","0"
"2025","1","2601028","Езикова гимназия ""Проф. д-р Асен Златаров""","2604","Английски език и немски език","333.5","0","0","465","0","0"
"2025","1","2601028","Езикова гимназия ""Проф. д-р Асен Златаров""","2614","Биология и химия с английски език","297.5","0","0","438.5","0","0"
"2025","1","2601028","Езикова гимназия ""Проф. д-р Асен Златаров""","2628","Испански език и английски език","314.5","0","0","464","0","0"
"2025","1","2601028","Езикова гимназия ""Проф. д-р Асен Златаров""","2598","Немски език и английски език","250.5","0","0","463.5","0","0"
"2025","1","2601028","Езикова гимназия ""Проф. д-р Асен Златаров""","2622","Хуманитарни науки","264","0","0","362","0","0"
"2025","1","2601029","Природо-математическа гимназия ""Академик Боян Петканчин""","2302","Биология и химия","366.5","0","0","474.5","0","0"
"2025","1","2601029","Природо-математическа гимназия ""Академик Боян Петканчин""","2301","Информатика и информационни технологии","314.25","0","0","439","0","0"
"2025","1","2601029","Природо-математическа гимназия ""Академик Боян Петканчин""","2299","Информатика и матeматика","385.25","0","0","481","0","0"
"2025","1","2601029","Природо-математическа гимназия ""Академик Боян Петканчин""","2300","Информационни технологии и информатика","366.75","0","0","450.25","0","0"
"2025","1","2601029","Природо-математическа гимназия ""Академик Боян Петканчин""","2298","Математика и информатика","234.25","0","0","491.5","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","1989","Геодезия","297","0","0","383.5","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","4371","Графичен дизайн","301","0","0","371","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","4372","Интериорен дизайн","356","0","0","429.5","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","1953","Мебелно производство","250.5","0","0","346","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","1963","Парково строителство и озеленяване","249","0","0","354","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","1881","Системно програмиране","279","0","0","410","0","0"
"2025","1","2601034","Професионална гимназия по дървообработване и строителство ""Цар Иван Асен ""","1947","Строителство и архитектура","312","0","0","454.5","0","0"
"2025","1","2601035","Професионална гимназия по лека промишленост ""Райна Княгиня""","1748","Моделиер - технолог на облекло","106","0","0","284.5","0","0"
"2025","1","2601035","Професионална гимназия по лека промишленост ""Райна Княгиня""","4957","Помощник-възпитател","30","0","0","315","0","0"
"2025","1","2601036","Професионална гимназия по механоелектротехника ""Стойчо и Кица Марчеви""","1837","Електрически машини и апарати","52","0","0","338","0","0"
"2025","1","2601036","Професионална гимназия по механоелектротехника ""Стойчо и Кица Марчеви""","3386","Компютърна техника и технологии","77","0","0","193","0","0"
"2025","1","2601036","Професионална гимназия по механоелектротехника ""Стойчо и Кица Марчеви""","4540","Приложно програмиране","142","0","0","279.5","0","0"
