"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","102011","Професионална гимназия ""Петко Рачов Славейков""","3546","Администратор в хотелиерството","30","30","161","305","260","305"
"2023","1","102011","Професионална гимназия ""Петко Рачов Славейков""","4155","Икономист-информатик","54","54","151","337.5","243.5","337.5"
"2023","1","107090","Средно училище ""Свети Свети Кирил и Методий""","2425","профил""Природни науки БЗО - ХООС с интензивно изучаване на Английски език""","84","84","95","401.5","257","401.5"
"2023","1","107090","Средно училище ""Свети Свети Кирил и Методий""","3886","профил ,,Софтуерни и хардуерни науки ИНФ-ИТ с интензивно изучаване на АЕ""""","30","30","30","312.75","222","312.75"
"2023","2","102011","Професионална гимназия ""Петко Рачов Славейков""","3546","Администратор в хотелиерството","0","0","0","0","0","0"
"2023","2","102011","Професионална гимназия ""Петко Рачов Славейков""","4155","Икономист-информатик","0","0","0","0","0","0"
"2023","2","107090","Средно училище ""Свети Свети Кирил и Методий""","2425","профил""Природни науки БЗО - ХООС с интензивно изучаване на Английски език""","0","0","0","0","0","0"
"2023","2","107090","Средно училище ""Свети Свети Кирил и Методий""","3886","профил ,,Софтуерни и хардуерни науки ИНФ-ИТ с интензивно изучаване на АЕ""""","0","0","0","0","0","0"
"2023","3","102011","Професионална гимназия ""Петко Рачов Славейков""","3546","Администратор в хотелиерството","0","0","0","0","0","0"
"2023","3","102011","Професионална гимназия ""Петко Рачов Славейков""","4155","Икономист-информатик","0","0","0","0","0","0"
"2023","3","107090","Средно училище ""Свети Свети Кирил и Методий""","2425","профил""Природни науки БЗО - ХООС с интензивно изучаване на Английски език""","0","0","0","0","0","0"
"2023","3","107090","Средно училище ""Свети Свети Кирил и Методий""","3886","профил ,,Софтуерни и хардуерни науки ИНФ-ИТ с интензивно изучаване на АЕ""""","0","0","0","0","0","0"
