"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","2811510","Средно училище ""Св. Климент Охридски""","00733","Изящни изкуства - живопис","112","126","112","252","250","252"
"2026","1","2811514","Обединено училище ""Доктор Петър Берон""","29760","Устойчива мода","161.5","162","161.5","242","204","242"
"2026","1","2811514","Обединено училище ""Доктор Петър Берон""","29761","Строителство и архитектура","145","145","147","217","217","210"
"2026","1","2811515","Профилирана гимназия ""Васил Левски""","01545","Профил ""Хуманитарни науки"" (с инт. изучаване на АЕ)","320.25","327","320.25","451","428.5","451"
"2026","1","2811515","Профилирана гимназия ""Васил Левски""","01593","Профил ""Обществени науки"" (с инт. изучаване на АЕ)","246.75","246.75","248","437","437","357"
"2026","1","2811515","Профилирана гимназия ""Васил Левски""","01606","Профил ""Природни науки"" (с инт. изучаване на АЕ)","329","329.75","329","439.75","428.5","439.75"
"2026","1","2811515","Профилирана гимназия ""Васил Левски""","01611","Профил ""Софтуерни и хардуерни науки"" (с инт. изучаване на АЕ)","229","229","229","444","384","444"
"2026","1","2811516","Природо-математическа гимназия ""Атанас Радев""","02179","Профил ""Математически"" (с инт. изучаване на АЕ)","294","309","294","464","419","464"
"2026","1","2811516","Природо-математическа гимназия ""Атанас Радев""","02191","Профил ""Софтуерни и хардуерни науки"" (с инт. изучаване на АЕ)","102","102","137","390.5","390.5","137"
"2026","1","2811516","Природо-математическа гимназия ""Атанас Радев""","02670","Профил ""Природни науки"" (с инт. изучаване на АЕ)","224.25","297.5","224.25","475.5","392","475.5"
"2026","1","2811516","Природо-математическа гимназия ""Атанас Радев""","04216","Прoфил ""Математически"" (с инт. изучаване на НЕ)","343.5","377.5","343.5","496","496","479.5"
"2026","1","2811517","Езикова гимназия ""Васил Карагьозов""","00523","Профил ""Чужди езици"" (Английски език, Испански език)","135.5","183","135.5","381.75","381.75","364"
"2026","1","2811517","Езикова гимназия ""Васил Карагьозов""","04158","Профил ""Икономическо развитие"" (с инт. изучаване на АЕ)","143","143","227","318","264.5","318"
"2026","1","2811601","Професионална техническа гимназия ""Иван Райнов""","28143","Дизайн на дигитални и печатни медии","94","94","204","212","212","204"
"2026","1","2811601","Професионална техническа гимназия ""Иван Райнов""","28146","Електроснабдяване и електрообзавеждане","204","204","0","290.5","290.5","0"
"2026","1","2811601","Професионална техническа гимназия ""Иван Райнов""","28151","Компютърни системи и технологии","188","188","209","349","349","209"
"2026","1","2811601","Професионална техническа гимназия ""Иван Райнов""","28152","Индустриална мехатроника","188","188","0","263.5","263.5","0"
"2026","1","2811601","Професионална техническа гимназия ""Иван Райнов""","28649","Организация на автомобилния транспорт","65","65","173","211","211","173"
"2026","1","2811603","Професионална гимназия по туризъм ""Алеко Константинов""","28101","Ресторантьорство и кетъринг (с разш. изучаване на АЕ)","183.5","185.5","183.5","339.5","204.5","339.5"
"2026","1","2811603","Професионална гимназия по туризъм ""Алеко Константинов""","28102","Спедиторски услуги (с разш. изучаване на АЕ)","30","30","95","364.5","364.5","306.25"
"2026","1","2811603","Професионална гимназия по туризъм ""Алеко Константинов""","28103","Организиране на събития (с разш. изучаване на АЕ)","66","66","105","313","200.5","313"
"2026","1","2811604","Професионална гимназия по земеделие ""Христо Ботев""","28199","Фермерство","30","30","41","245","149","245"
"2026","1","2811604","Професионална гимназия по земеделие ""Христо Ботев""","28202","Пчеларство","41","76","41","220","220","127"
"2026","1","2811604","Професионална гимназия по земеделие ""Христо Ботев""","28212","Механизация и цифровизация в аграрния сектор","65","65","150","241","241","150"
"2026","1","2811604","Професионална гимназия по земеделие ""Христо Ботев""","28214","Ветеринарен техник","30","30","30","200","200","176"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28160","Строителство и архитектура","297","297","300","381","365","381"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28165","Геодезия","248","249","248","333","333","305"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28169","Компютърна графика (разш. изучаване на АЕ)","279","279","290.75","404.75","379.75","404.75"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28171","Анимация","266.75","267.5","266.75","317.5","317.5","304.75"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28172","Графичен дизайн","294.5","300","294.5","388.25","323.5","388.25"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28175","Промишлен дизайн (разш. изучаване на АЕ)","266.5","0","266.5","292","0","292"
"2026","1","2811607","Гимназия по строителство и архитектура, графика и дизайн ""Кольо Фичето""","28177","Интериорен и екстериорен дизайн (разш. изучаване на АЕ)","294.5","0","294.5","429","0","429"
"2026","1","2811608","Професионална гимназия по подемна строителна и транспортна техника ""Н. Й. Вапцаров""","28310","Автомобилна техника и мехатроника","114","114","0","327.5","327.5","0"
"2026","1","2811608","Професионална гимназия по подемна строителна и транспортна техника ""Н. Й. Вапцаров""","28311","Пътностроителна техника","41","41","0","244","244","0"
"2026","1","2811608","Професионална гимназия по подемна строителна и транспортна техника ""Н. Й. Вапцаров""","28312","Подемно-транспортна техника, монтирана на пътни транспортни средства","101","119","101","194","193","194"
"2026","1","2811613","Професионална гимназия по лека промишленост екология и химични технологии","28343","Дигитално проектиране на мебели и интериор","59","59","139","280","270","280"
"2026","1","2811613","Професионална гимназия по лека промишленост екология и химични технологии","28356","Фризьорство","155","155","166","271","271","234"
"2026","1","2811613","Професионална гимназия по лека промишленост екология и химични технологии","28800","Устойчива мода","54","0","54","301","0","301"
"2026","1","2811613","Професионална гимназия по лека промишленост екология и химични технологии","28801","Технологии на фармацевтични и парфюмерийно-козметични продукти","84","84","96","280","102","280"
