"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2300417","Професионална гимназия ""Васил Левски""","1699","Експлоатация на автомобилния транспорт -","67","67","159","262.5","262.5","221"
"2023","1","2300417","Професионална гимназия ""Васил Левски""","4339","Икономист, Земеделско стопанство","40","138","40","181","138","181"
"2023","1","2300417","Професионална гимназия ""Васил Левски""","3725","Механизация на селското стопанство","48","48","76","263.5","263.5","76"
"2023","1","2300417","Професионална гимназия ""Васил Левски""","3376","Моделиер - технолог на облекло","67","0","67","170","0","170"
"2023","1","2300188","Средно училище ""Христо Ботев""","2552","Електронна търговия","186","186","211.5","460","460","407"
"2023","1","2300188","Средно училище ""Христо Ботев""","3893","Профил ""Предприемачески""","112","112","113","273","174","273"
"2023","2","2300417","Професионална гимназия ""Васил Левски""","1699","Експлоатация на автомобилния транспорт -","0","0","0","0","0","0"
"2023","2","2300417","Професионална гимназия ""Васил Левски""","4339","Икономист, Земеделско стопанство","0","0","0","0","0","0"
"2023","2","2300417","Професионална гимназия ""Васил Левски""","3725","Механизация на селското стопанство","0","0","0","0","0","0"
"2023","2","2300417","Професионална гимназия ""Васил Левски""","3376","Моделиер - технолог на облекло","0","0","0","0","0","0"
"2023","2","2300188","Средно училище ""Христо Ботев""","2552","Електронна търговия","137","138.5","137","174","174","137"
"2023","2","2300188","Средно училище ""Христо Ботев""","3893","Профил ""Предприемачески""","83","92","83","111","111","111"
"2023","3","2300417","Професионална гимназия ""Васил Левски""","1699","Експлоатация на автомобилния транспорт -","0","0","0","0","0","0"
"2023","3","2300417","Професионална гимназия ""Васил Левски""","4339","Икономист, Земеделско стопанство","69","69","0","138","138","0"
"2023","3","2300417","Професионална гимназия ""Васил Левски""","3725","Механизация на селското стопанство","72","72","0","154","154","0"
"2023","3","2300417","Професионална гимназия ""Васил Левски""","3376","Моделиер - технолог на облекло","30","0","30","137","0","137"
"2023","3","2300188","Средно училище ""Христо Ботев""","2552","Електронна търговия","0","0","0","0","0","0"
"2023","3","2300188","Средно училище ""Христо Ботев""","3893","Профил ""Предприемачески""","0","0","0","0","0","0"
"2023","4","2300417","Професионална гимназия ""Васил Левски""","1699","Експлоатация на автомобилния транспорт -","0","0","0","0","0","0"
"2023","4","2300417","Професионална гимназия ""Васил Левски""","4339","Икономист, Земеделско стопанство","0","0","0","0","0","0"
"2023","4","2300417","Професионална гимназия ""Васил Левски""","3725","Механизация на селското стопанство","0","0","0","0","0","0"
"2023","4","2300417","Професионална гимназия ""Васил Левски""","3376","Моделиер - технолог на облекло","0","0","0","0","0","0"
"2023","4","2300188","Средно училище ""Христо Ботев""","2552","Електронна търговия","0","0","0","0","0","0"
"2023","4","2300188","Средно училище ""Христо Ботев""","3893","Профил ""Предприемачески""","0","0","0","0","0","0"
