"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2748","Икономист-информатик","216","0","0","292.5","0","0"
"2025","1","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","4364","Монтьор на селскостопанска техника","66","0","0","177","0","0"
"2025","1","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","5008","Ресторантьор","30","0","0","198","0","0"
"2025","1","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2785","Техник на селскостопанска техника","154","0","0","320.5","0","0"
"2025","1","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1501","Биология и здравно образование","151","0","0","364.5","0","0"
"2025","1","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1509","Приложно програмиране","110","0","0","402","0","0"
"2025","1","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","3798","Софтуерни и хардуерни науки","58","0","0","162","0","0"
"2025","2","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2748","Икономист-информатик","0","0","0","0","0","0"
"2025","2","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","4364","Монтьор на селскостопанска техника","0","0","0","0","0","0"
"2025","2","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","5008","Ресторантьор","0","0","0","0","0","0"
"2025","2","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2785","Техник на селскостопанска техника","0","0","0","0","0","0"
"2025","2","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1501","Биология и здравно образование","0","0","0","0","0","0"
"2025","2","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1509","Приложно програмиране","0","0","0","0","0","0"
"2025","2","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","3798","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2025","3","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2748","Икономист-информатик","0","0","0","0","0","0"
"2025","3","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","4364","Монтьор на селскостопанска техника","0","0","0","0","0","0"
"2025","3","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","5008","Ресторантьор","0","0","0","0","0","0"
"2025","3","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2785","Техник на селскостопанска техника","0","0","0","0","0","0"
"2025","3","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1501","Биология и здравно образование","0","0","0","0","0","0"
"2025","3","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1509","Приложно програмиране","0","0","0","0","0","0"
"2025","3","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","3798","Софтуерни и хардуерни науки","124","0","0","197","0","0"
"2025","4","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2748","Икономист-информатик","0","0","0","0","0","0"
"2025","4","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","4364","Монтьор на селскостопанска техника","0","0","0","0","0","0"
"2025","4","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","5008","Ресторантьор","0","0","0","0","0","0"
"2025","4","1701405","Професионална гимназия по селско стопанство ""Хан Аспарух""","2785","Техник на селскостопанска техника","0","0","0","0","0","0"
"2025","4","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1501","Биология и здравно образование","0","0","0","0","0","0"
"2025","4","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","1509","Приложно програмиране","0","0","0","0","0","0"
"2025","4","1701401","Профилирана гимназия ""ВАСИЛ ЛЕВСКИ""","3798","Софтуерни и хардуерни науки","0","0","0","0","0","0"
