"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2026","1","1601364","Професионална гимназия ""Братя Евлогий и Христо Георгиеви""","30106","Автоматизирани системи и технологии в машиностроенето","56","56","85","119","119","97"
"2026","1","1601364","Професионална гимназия ""Братя Евлогий и Христо Георгиеви""","29958","Автомобилна техника и мехатроника","77","77","0","194","194","0"
"2026","1","1601364","Професионална гимназия ""Братя Евлогий и Христо Георгиеви""","28400","Екскурзовод","65","75","65","150","100","150"
"2026","1","1601361","Професионална гимназия по железопътен транспорт ""Христо Смирненски""","28230","Автомобилна техника и мехатроника","80","83","80","264","264","185"
"2026","1","1601361","Професионална гимназия по железопътен транспорт ""Христо Смирненски""","28229","Сигнализация и телекомуникация","87","87","91","344.5","344.5","228"
"2026","1","1601301","Средно училище ""Васил Левски""","03526","Икономическо развитие (АЕ)","184","184","206.5","414","414","412.5"
"2026","1","1601301","Средно училище ""Васил Левски""","02863","Природни науки (АЕ)","214","289","214","423.5","400","423.5"
"2026","1","1601301","Средно училище ""Васил Левски""","02864","Софтуерни и хардуерни науки (АЕ)","231.5","269","231.5","432","424.5","432"
"2026","1","1601302","Средно училище ""Христо Проданов""","30045","Интелигентни системи","69","69","114","259","248.5","259"
"2026","1","1601302","Средно училище ""Христо Проданов""","03567","Обществени науки","99","99","135.5","443.25","314","443.25"
"2026","1","1601302","Средно училище ""Христо Проданов""","00453","Софтуерни и хардуерни науки","186.5","186.5","263","450","450","439"
