"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","200413","Професионална гимназия по селско стопанство","1633","Електрообзавеждане на производството","30","30","0","292","292","0"
"2024","1","200413","Професионална гимназия по селско стопанство","4513","Електрообзавеждане на производството (дуална)","133","148.5","133","216","216","133"
"2024","1","200413","Професионална гимназия по селско стопанство","1623","Лозаровинарство","122","165","122","299","299","265"
"2024","1","200413","Професионална гимназия по селско стопанство","1629","Механизация на селското стопанство","114","126","114","245","240","245"
"2024","1","200413","Професионална гимназия по селско стопанство","4512","Механизация на селското стопанство с РИЧЕ","30","50","30","311","311","261.5"
"2024","1","200411","Средно училище ""Св.Св.Кирил и Методий""","0278","Предприемачески профил","234","234.75","234","421.25","421.25","288.8"
"2024","1","200411","Средно училище ""Св.Св.Кирил и Методий""","0277","Природни науки","280.5","283.75","280.5","411.75","411.75","409.8"
"2024","1","200412","Средно училище ""Христо Ботев""","1242","Природни науки","320.5","323.75","320.5","421.5","381.5","421.5"
"2024","1","200412","Средно училище ""Христо Ботев""","1240","Чужди езици","367.8","367.75","374.5","443.75","435.5","443.8"
"2024","2","200413","Професионална гимназия по селско стопанство","1633","Електрообзавеждане на производството","0","0","0","0","0","0"
"2024","2","200413","Професионална гимназия по селско стопанство","4513","Електрообзавеждане на производството (дуална)","158","158","0","216","216","0"
"2024","2","200413","Професионална гимназия по селско стопанство","1623","Лозаровинарство","131","0","131","265","0","265"
"2024","2","200413","Професионална гимназия по селско стопанство","1629","Механизация на селското стопанство","210","210","0","223","223","0"
"2024","2","200413","Професионална гимназия по селско стопанство","4512","Механизация на селското стопанство с РИЧЕ","164.5","164.5","0","220","220","0"
"2024","2","200411","Средно училище ""Св.Св.Кирил и Методий""","0278","Предприемачески профил","249.5","249.5","0","292.75","292.75","0"
"2024","2","200411","Средно училище ""Св.Св.Кирил и Методий""","0277","Природни науки","283.75","283.75","284.5","365","326","365"
"2024","2","200412","Средно училище ""Христо Ботев""","1242","Природни науки","0","0","0","0","0","0"
"2024","2","200412","Средно училище ""Христо Ботев""","1240","Чужди езици","0","0","0","0","0","0"
"2024","3","200413","Професионална гимназия по селско стопанство","1633","Електрообзавеждане на производството","152","152","171","237","152","237"
"2024","3","200413","Професионална гимназия по селско стопанство","4513","Електрообзавеждане на производството (дуална)","30","30","0","218","218","0"
"2024","3","200413","Професионална гимназия по селско стопанство","1623","Лозаровинарство","0","0","0","0","0","0"
"2024","3","200413","Професионална гимназия по селско стопанство","1629","Механизация на селското стопанство","0","0","0","0","0","0"
"2024","3","200413","Професионална гимназия по селско стопанство","4512","Механизация на селското стопанство с РИЧЕ","183","188","183","270","270","184"
"2024","3","200411","Средно училище ""Св.Св.Кирил и Методий""","0278","Предприемачески профил","0","0","0","0","0","0"
"2024","3","200411","Средно училище ""Св.Св.Кирил и Методий""","0277","Природни науки","0","0","0","0","0","0"
"2024","3","200412","Средно училище ""Христо Ботев""","1242","Природни науки","0","0","0","0","0","0"
"2024","3","200412","Средно училище ""Христо Ботев""","1240","Чужди езици","0","0","0","0","0","0"
"2024","4","200413","Професионална гимназия по селско стопанство","1633","Електрообзавеждане на производството","0","0","0","0","0","0"
"2024","4","200413","Професионална гимназия по селско стопанство","4513","Електрообзавеждане на производството","0","0","0","0","0","0"
"2024","4","200413","Професионална гимназия по селско стопанство","1623","Лозаровинарство","0","0","0","0","0","0"
"2024","4","200413","Професионална гимназия по селско стопанство","1629","Механизация на селското стопанство","0","0","0","0","0","0"
"2024","4","200413","Професионална гимназия по селско стопанство","4512","Механизация на селското стопанство с","0","0","0","0","0","0"
"2024","4","200411","Средно училище ""Св.Св.Кирил и Методий""","0278","Предприемачески профил","0","0","0","0","0","0"
"2024","4","200411","Средно училище ""Св.Св.Кирил и Методий""","0277","Природни науки","0","0","0","0","0","0"
"2024","4","200412","Средно училище ""Христо Ботев""","1242","Природни науки","0","0","0","0","0","0"
"2024","4","200412","Средно училище ""Христо Ботев""","1240","Чужди езици","0","0","0","0","0","0"
