"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","800086","ПЗГ ""Климент Арк. Тимирязев""","1102","Администратор в туризма","116","0","0","287.5","0","0"
"2023","1","800086","ПЗГ ""Климент Арк. Тимирязев""","1116","Техник - растениевъд","67","0","0","183","0","0"
"2023","1","800086","ПЗГ ""Климент Арк. Тимирязев""","1074","Фермер","88","0","0","191.5","0","0"
"2023","1","800082","СУ ""Стефан Караджа""","0671","Математически профил","215","0","0","398.25","0","0"
"2023","1","800082","СУ ""Стефан Караджа""","0668","Предприемачески","153","0","0","364","0","0"
"2023","2","800086","ПЗГ ""Климент Арк.Тимирязев""","1102","Администратор в туризма","0","0","0","0","0","0"
"2023","2","800086","ПЗГ ""Климент Арк.Тимирязев""","1116","Техник - растениевъд","0","0","0","0","0","0"
"2023","2","800086","ПЗГ ""Климент Арк.Тимирязев""","1074","Фермер","0","0","0","0","0","0"
"2023","2","800082","СУ ""Стефан Караджа""","0671","Математически профил","0","0","0","0","0","0"
"2023","2","800082","СУ ""Стефан Караджа""","0668","Предприемачески","0","0","0","0","0","0"
"2023","3","800086","ПЗГ ""Климент Арк.Тимирязев""","1102","Администратор в туризма","0","0","0","0","0","0"
"2023","3","800086","ПЗГ ""Климент Арк.Тимирязев""","1116","Техник - растениевъд","0","0","0","0","0","0"
"2023","3","800086","ПЗГ ""Климент Арк.Тимирязев""","1074","Фермер","0","0","0","0","0","0"
"2023","3","800082","СУ ""Стефан Караджа""","0671","Математически профил","180.5","0","0","180.5","0","0"
"2023","3","800082","СУ ""Стефан Караджа""","0668","Предприемачески","348.5","0","0","348.5","0","0"
"2023","4","800086","ПЗГ ""Климент Арк.Тимирязев""","1102","Администратор в туризма","0","0","0","0","0","0"
"2023","4","800086","ПЗГ ""Климент Арк.Тимирязев""","1116","Техник - растениевъд","0","0","0","0","0","0"
"2023","4","800086","ПЗГ ""Климент Арк.Тимирязев""","1074","Фермер","0","0","0","0","0","0"
"2023","4","800082","СУ ""Стефан Караджа""","0671","Математически профил","0","0","0","0","0","0"
"2023","4","800082","СУ ""Стефан Караджа""","0668","Предприемачески","0","0","0","0","0","0"
