"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2023","1","2400265","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ИВАН ХАДЖИЕНОВ""","1394","Компютърна техника и технологии","265","265","266","342","342","318"
"2023","1","2400265","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ИВАН ХАДЖИЕНОВ""","1402","Машини и системи с ЦПУ - дуална система на обучение","198","198","238","295.5","295.5","248"
"2023","1","2400265","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ИВАН ХАДЖИЕНОВ""","1405","Мехатроника - дуална система на обучение","204","204","213.5","281","281","277.5"
"2023","1","2400265","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ""ИВАН ХАДЖИЕНОВ""","1397","Строителство и архитектура","251","252.5","251","348.5","288.5","348.5"
"2023","1","2400268","Професионална гимназия по лека промишленост и туризъм","2414","Електронна търговия Организатор Интернет приложения с резширен АЕ","216","216","220","341","313","341"
"2023","1","2400268","Професионална гимназия по лека промишленост и туризъм","2444","Кетъринг Ресторантьор с АЕ","157","160","157","377","263","377"
"2023","1","2400268","Професионална гимназия по лека промишленост и туризъм","2436","Организация на хотелиерството, Хотелиер с разширен АЕ","149","157","149","277","209","277"
"2023","1","2400266","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ И ТРАНСПОРТЕН МЕНИДЖМЪНТ","1083","Автомобилна мехатроника","76","76","86","195","195","155"
"2023","1","2400266","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ И ТРАНСПОРТЕН МЕНИДЖМЪНТ","1114","Автотранспортна техника","50","50","86","205.5","205.5","149"
"2023","1","2400266","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ И ТРАНСПОРТЕН МЕНИДЖМЪНТ","1077","Електрически превозни средства","30","30","168","188","188","170"
"2023","1","2400266","ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ И ТРАНСПОРТЕН МЕНИДЖМЪНТ","0911","Спедиция, транспортна и складова логистика","52","60","52","225","156","225"
"2023","1","2400261","Профилирана гимназия "" Академик Петко Стайнов""","0084","Предприемачески","52","52","52","146","132","146"
"2023","1","2400261","Профилирана гимназия "" Академик Петко Стайнов""","0085","Фризьор","72","72","100","229","171","229"
"2023","1","2400262","Профилирана природо- математическа гимназия ""Никола Обрешков""","1262","Биология и химия","330.5","339.5","330.5","487.25","422.5","487.25"
"2023","1","2400262","Профилирана природо- математическа гимназия ""Никола Обрешков""","1260","Информатика и информационни технологии","334.75","334.75","338.75","485","483","485"
"2023","1","2400262","Профилирана природо- математическа гимназия ""Никола Обрешков""","1249","Математика и информатика","257.5","258.75","257.5","446.25","446.25","374"
"2023","1","2400263","Профилирана хуманитарна гимназия ""Св. Св. Кирил и Методий""","0111","Обществени науки с РИЧЕ","159.5","179","159.5","350.5","342.75","350.5"
"2023","1","2400263","Профилирана хуманитарна гимназия ""Св. Св. Кирил и Методий""","0113","Природни науки с РИЧЕ","79","79","115","300.5","246","300.5"
"2023","1","2400263","Профилирана хуманитарна гимназия ""Св. Св. Кирил и Методий""","0115","Хуманитарни науки с РИЧЕ","150.5","150.5","154.5","350.75","303","350.75"
"2023","1","2400264","Средно училище ""Екзарх Антим I""","3483","Музика с интензивно изучаване на английски език","319.25","319.25","327.5","412.5","392","412.5"
