"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1000540","Езикова гимназия ""Д-р Петър Берон""","4797","Профил ""Хуманитарни науки""","251.25","252.75","251.25","306.5","296","306.5"
"2025","1","1000540","Езикова гимназия ""Д-р Петър Берон""","1995","Чужд език АЕ-ИсЕ","339.75","339.75","346.25","462","384.75","462"
"2025","1","1000540","Езикова гимназия ""Д-р Петър Берон""","2001","Чужд език АЕ-НЕ","314","314","317","471.75","439.25","471.75"
"2025","1","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","2730","КОМПЮТЪРЕН ГРАФИК","316.5","316.5","322","449","386.5","449"
"2025","1","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","2723","Математически АЕ","302","302","309","397","397","372"
"2025","1","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","3438","Математически НЕ","255","255","279","461","455.5","461"
"2025","1","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","4520","Приложен програмист","269.5","269.5","282","449","365.5","449"
"2025","1","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","2725","Природни науки","308.5","322","308.5","457.5","453.5","457.5"
"2025","1","1001380","Професионална гимназия по икономика и мениджмънт ""Йордан Захариев""","569","Бизнес администрация - офис-мениджър","140","140","141","290.5","290.5","270"
"2025","1","1001380","Професионална гимназия по икономика и мениджмънт ""Йордан Захариев""","574","Електронна търговия - организатор интернет приложения","125","125","146","306","257.5","306"
"2025","1","1001380","Професионална гимназия по икономика и мениджмънт ""Йордан Захариев""","551","Икономика и мениджмънт - Икономист","74","74","91","269","269","267"
"2025","1","1001670","Професионална гимназия по лека промишленост ""Владимир Димитров-Майстора""","1413","Оператор в производството на облекло - дневна форма на обучение","41","41","41","234","205","234"
"2025","1","1000002","Професионална гимназия по селско стопанство""Св.Климент Охридски""","4961","Горско и ловно стопанство/Техник-лесовъд","30","30","0","291","291","0"
"2025","1","1001420","Професионална гимназия по туризъм ""Никола Йонков Вапцаров""","2819","Производство и обслужване в заведенията за хранене и развлечения - Ресторантьор","58","58","117","266","266","208"
"2025","1","1001420","Професионална гимназия по туризъм ""Никола Йонков Вапцаров""","2820","Производство на кулинарни изделия и напитки - Готвач","85","85","90","242","242","182"
"2025","1","1001360","Професионална техническа гимназия ""Джон Атанасов""","716","Електрообзавеждане на производството - Електромонтьор","79","79","82","257","257","82"
"2025","2","1000540","Езикова гимназия ""Д-р Петър Берон""","4797","Профил ""Хуманитарни науки""","247.75","252.75","247.75","296","296","290.5"
"2025","2","1000540","Езикова гимназия ""Д-р Петър Берон""","1995","Чужд език АЕ-ИсЕ","332","338.25","332","338.25","338.25","332"
"2025","2","1000540","Езикова гимназия ""Д-р Петър Берон""","2001","Чужд език АЕ-НЕ","311","314","311","326.5","325.25","326.5"
"2025","2","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","2730","КОМПЮТЪРЕН ГРАФИК","0","0","0","0","0","0"
"2025","2","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","2723","Математически АЕ","0","0","0","0","0","0"
