"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0659","Организатор на туристическа агентска дейност, Селски туризъм - с Английски език","80","169","80","310.5","224","310.5"
"2025","1","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0608","Програмист на изкуствен интелект, Програмиране на изкуствен интелект - с РИЧЕ-Английски език","247","247","0","395","395","0"
"2025","1","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0639","Техник на селскостопанска техника, Механизация на селското стопанство - с Английски език","41","41","0","264","264","0"
"2025","1","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0624","Техник-растениевъд, Полевъдство - с Английски език","30","264.5","30","264.5","264.5","112"
"2025","1","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0632","Техник-растениевъд, Растителна защита и агрохимия - с РИЧЕ - Английски език","227","227","241.5","477.5","357","477.5"
"2025","1","1501110","Професионална гимназия по механоелектротехника ""Христо Смирненски""","3363","Машинен оператор, Машини и съоръжения за заваряване - с Английски език","50","50","84","156","156","84"
"2025","1","1501110","Професионална гимназия по механоелектротехника ""Христо Смирненски""","3362","Монтьор на енергийни съоръжения и инсталации, Възобновяеми енергийни източници - с Английски език","41","41","66","270","270","267"
"2025","1","1501108","Средно училище ""Неофит Рилски""","1100","Предприемачески - Предприемачество и Информационни технологии - с Английски език","30","30","30","230","184","230"
"2025","2","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0659","Организатор на туристическа агентска дейност, Селски туризъм - с Английски език","72","0","72","72","0","72"
"2025","2","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0608","Програмист на изкуствен интелект, Програмиране на изкуствен интелект - с РИЧЕ-Английски език","0","0","0","0","0","0"
"2025","2","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","4874","Техник на селскостопанска техника, Механизация на селското стопанство - дуална форма на обучение, с Английски език","0","0","0","0","0","0"
"2025","2","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0639","Техник на селскостопанска техника, Механизация на селското стопанство - с Английски език","0","0","0","0","0","0"
"2025","2","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0624","Техник-растениевъд, Полевъдство - с Английски език","0","0","0","0","0","0"
"2025","2","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0632","Техник-растениевъд, Растителна защита и агрохимия - с РИЧЕ - Английски език","0","0","0","0","0","0"
"2025","2","1501110","Професионална гимназия по механоелектротехника ""Христо Смирненски""","3363","Машинен оператор, Машини и съоръжения за заваряване - с Английски език","0","0","0","0","0","0"
"2025","2","1501110","Професионална гимназия по механоелектротехника ""Христо Смирненски""","3362","Монтьор на енергийни съоръжения и инсталации, Възобновяеми енергийни източници - с Английски език","0","0","0","0","0","0"
"2025","2","1501108","Средно училище ""Неофит Рилски""","1100","Предприемачески - Предприемачество и Информационни технологии - с Английски език","0","0","0","0","0","0"
"2025","3","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0659","Организатор на туристическа агентска дейност, Селски туризъм - с Английски език","0","0","0","0","0","0"
"2025","3","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0608","Програмист на изкуствен интелект, Програмиране на изкуствен интелект - с РИЧЕ-Английски език","0","0","0","0","0","0"
"2025","3","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","4874","Техник на селскостопанска техника, Механизация на селското стопанство - дуална форма на обучение, с Английски език","105","0","0","226","0","0"
"2025","3","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0639","Техник на селскостопанска техника, Механизация на селското стопанство - с Английски език","0","0","0","0","0","0"
"2025","3","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0624","Техник-растениевъд, Полевъдство - с Английски език","176","0","0","190","0","0"
"2025","3","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0632","Техник-растениевъд, Растителна защита и агрохимия - с РИЧЕ - Английски език","0","0","0","0","0","0"
"2025","3","1501110","Професионална гимназия по механоелектротехника ""Христо Смирненски""","3363","Машинен оператор, Машини и съоръжения за заваряване - с Английски език","0","0","0","0","0","0"
"2025","3","1501110","Професионална гимназия по механоелектротехника ""Христо Смирненски""","3362","Монтьор на енергийни съоръжения и инсталации, Възобновяеми енергийни източници - с Английски език","0","0","0","0","0","0"
"2025","3","1501108","Средно училище ""Неофит Рилски""","1100","Предприемачески - Предприемачество и Информационни технологии - с Английски език","0","0","0","0","0","0"
"2025","4","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0659","Организатор на туристическа агентска дейност, Селски туризъм - с Английски език","0","0","0","0","0","0"
"2025","4","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0608","Програмист на изкуствен интелект, Програмиране на изкуствен интелект - с РИЧЕ-Английски език","0","0","0","0","0","0"
"2025","4","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","4874","Техник на селскостопанска техника, Механизация на селското стопанство - дуална форма на обучение, с Английски език","0","0","0","0","0","0"
"2025","4","1501109","Професионална гимназия по земеделие ""Стефан Цанов""","0639","Техник на селскостопанска техника, Механизация на селското стопанство - с Английски език","0","0","0","0","0","0"
