"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","2304717","Професионална гимназия ""Георги Сава Раковски""","2428","Машинен монтьор","66","66","0","126","126","0"
"2024","1","2304717","Професионална гимназия ""Георги Сава Раковски""","2421","Моделиер-технолог на облекло","103","0","103","245","0","245"
"2024","1","2304717","Професионална гимназия ""Георги Сава Раковски""","2405","Организатор на туристическа агентска дейност","181","269.5","181","323","269.5","323"
"2024","1","2304717","Професионална гимназия ""Георги Сава Раковски""","2448","Техник по транспортна техника","151","151","248.5","312","312","248.5"
"2024","1","2303490","Средно училище ""Св. Климент Охридски""","1755","Предприемачество","76","156","76","387.5","387.5","301.5"
"2024","1","2303490","Средно училище ""Св. Климент Охридски""","1718","Чужди езици","178","199","178","393.5","366.5","393.5"
"2024","2","2304717","Професионална гимназия ""Георги Сава Раковски""","2428","Машинен монтьор","0","0","0","0","0","0"
"2024","2","2304717","Професионална гимназия ""Георги Сава Раковски""","2421","Моделиер-технолог на облекло","175","0","175","175","0","175"
"2024","2","2304717","Професионална гимназия ""Георги Сава Раковски""","2405","Организатор на туристическа агентска дейност","169","0","169","170","0","170"
"2024","2","2304717","Професионална гимназия ""Георги Сава Раковски""","2448","Техник по транспортна техника","146","0","146","146","0","146"
"2024","2","2303490","Средно училище ""Св. Климент Охридски""","1755","Предприемачество","205","205","0","218.5","218.5","0"
"2024","2","2303490","Средно училище ""Св. Климент Охридски""","1718","Чужди езици","0","0","0","0","0","0"
"2024","3","2304717","Професионална гимназия ""Георги Сава Раковски""","2428","Машинен монтьор","103","103","0","112","112","0"
"2024","3","2304717","Професионална гимназия ""Георги Сава Раковски""","2421","Моделиер-технолог на облекло","119","0","119","119","0","119"
"2024","3","2304717","Професионална гимназия ""Георги Сава Раковски""","2405","Организатор на туристическа агентска дейност","0","0","0","0","0","0"
"2024","3","2304717","Професионална гимназия ""Георги Сава Раковски""","2448","Техник по транспортна техника","0","0","0","0","0","0"
"2024","3","2303490","Средно училище ""Св. Климент Охридски""","1755","Предприемачество","138","138","162","366.5","366.5","162"
"2024","3","2303490","Средно училище ""Св. Климент Охридски""","1718","Чужди езици","182","182","0","182","182","0"
"2024","4","2304717","Професионална гимназия ""Георги Сава Раковски""","2428","Машинен монтьор","205","205","0","205","205","0"
"2024","4","2304717","Професионална гимназия ""Георги Сава Раковски""","2421","Моделиер-технолог на облекло","175","0","175","175","0","175"
"2024","4","2304717","Професионална гимназия ""Георги Сава Раковски""","2405","Организатор на туристическа агентска дейност","223.5","0","223.5","223.5","0","223.5"
"2024","4","2304717","Професионална гимназия ""Георги Сава Раковски""","2448","Техник по транспортна техника","0","0","0","0","0","0"
"2024","4","2303490","Средно училище ""Св. Климент Охридски""","1755","Предприемачество","0","0","0","0","0","0"
"2024","4","2303490","Средно училище ""Св. Климент Охридски""","1718","Чужди езици","0","0","0","0","0","0"
