"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2025","1","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2677","Ветеринарен техник","88","88","139","357","334.5","357"
"2025","1","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2781","Кетъринг","30","30","30","318.5","224","318.5"
"2025","1","2309638","Средно училище ""Д-р Петър Берон""","5048","Софтуерни и хардуерни науки (АЕ)","199","199","199.5","406.5","351","406.5"
"2025","1","2309638","Средно училище ""Д-р Петър Берон""","4176","Софтуерни и хардуерни науки (Исп. език)","205","247","205","397.5","397.5","366.5"
"2025","2","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2677","Ветеринарен техник","0","0","0","0","0","0"
"2025","2","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2781","Кетъринг","0","0","0","0","0","0"
"2025","2","2309638","Средно училище ""Д-р Петър Берон""","5048","Софтуерни и хардуерни науки (АЕ)","96","96","148","189","180","189"
"2025","2","2309638","Средно училище ""Д-р Петър Берон""","4176","Софтуерни и хардуерни науки (Исп. език)","182","182","187","197.5","182","197.5"
"2025","3","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2677","Ветеринарен техник","175","0","175","175","0","175"
"2025","3","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2781","Кетъринг","129","129","143","196","137","196"
"2025","3","2309638","Средно училище ""Д-р Петър Берон""","5048","Софтуерни и хардуерни науки (АЕ)","189","222","189","222","222","189"
"2025","3","2309638","Средно училище ""Д-р Петър Берон""","4176","Софтуерни и хардуерни науки (Исп. език)","0","0","0","0","0","0"
"2025","4","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2677","Ветеринарен техник","0","0","0","0","0","0"
"2025","4","2309735","Професионална гимназия по ветеринарна медицина и селско стопанство ""Св. Г. Победоносец""","2781","Кетъринг","0","0","0","0","0","0"
"2025","4","2309638","Средно училище ""Д-р Петър Берон""","5048","Софтуерни и хардуерни науки (АЕ)","187","0","187","187","0","187"
"2025","4","2309638","Средно училище ""Д-р Петър Берон""","4176","Софтуерни и хардуерни науки (Исп. език)","168.5","0","168.5","168.5","0","168.5"
