"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","603076","Средно училище ""Христо Ботев""","1172","Приложно програмиране/Приложен програмист","220.5","220.5","258.5","414.75","355","414.75"
"2024","1","603076","Средно училище ""Христо Ботев""","1175","Предприемачество и ИТ","41","41","63.5","369.75","258.25","369.75"
"2024","1","603077","Средно училище ""Св. св. Кирил и Методий""","1476","Хуманитарни науки","250.25","250.25","259","415","297","415"
"2024","1","603077","Средно училище ""Св. св. Кирил и Методий""","1480","Математическа","79.5","100","79.5","473.5","473.5","326.5"
"2024","1","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0013","Компютърна техника и технологии","89","89","95.5","354","284","354"
"2024","1","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0014","Електроенергетика","102","102","113","237","237","113"
"2024","1","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0015","Ядрена енергетика","205","205","219","385","385","375"
"2024","1","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0016","Tоплотехника","170","170","176","287.5","287.5","201"
"2024","1","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0020","Управление на радиоактивни отпадъци","30","30","38","165","165","146"
"2024","2","603076","Средно училище ""Христо Ботев""","1172","Приложно програмиране/Приложен програмист","163","163","0","163","163","0"
"2024","2","603076","Средно училище ""Христо Ботев""","1175","Предприемачество и ИТ","0","0","0","0","0","0"
"2024","2","603077","Средно училище ""Св. св. Кирил и Методий""","1476","Хуманитарни науки","0","0","0","0","0","0"
"2024","2","603077","Средно училище ""Св. св. Кирил и Методий""","1480","Математическа","0","0","0","0","0","0"
"2024","2","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0013","Компютърна техника и технологии","34","0","34","34","0","34"
"2024","2","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0014","Електроенергетика","153","153","0","153","153","0"
"2024","2","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0015","Ядрена енергетика","202","202","0","202","202","0"
"2024","2","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0016","Tоплотехника","169","0","169","169","0","169"
"2024","2","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0020","Управление на радиоактивни отпадъци","0","0","0","0","0","0"
"2024","3","603076","Средно училище ""Христо Ботев""","1172","Приложно програмиране/Приложен програмист","0","0","0","0","0","0"
"2024","3","603076","Средно училище ""Христо Ботев""","1175","Предприемачество и ИТ","0","0","0","0","0","0"
"2024","3","603077","Средно училище ""Св. св. Кирил и Методий""","1476","Хуманитарни науки","334.25","0","0","334.25","0","0"
"2024","3","603077","Средно училище ""Св. св. Кирил и Методий""","1480","Математическа","0","0","0","0","0","0"
"2024","3","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0013","Компютърна техника и технологии","0","0","0","0","0","0"
"2024","3","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0014","Електроенергетика","184","0","0","184","0","0"
"2024","3","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0015","Ядрена енергетика","0","0","0","0","0","0"
"2024","3","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0016","Tоплотехника","0","0","0","0","0","0"
"2024","3","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0020","Управление на радиоактивни отпадъци","0","0","0","0","0","0"
"2024","4","603076","Средно училище ""Христо Ботев""","1172","Приложно програмиране/Приложен програмист","0","0","0","0","0","0"
"2024","4","603076","Средно училище ""Христо Ботев""","1175","Предприемачество и ИТ","0","0","0","0","0","0"
"2024","4","603077","Средно училище ""Св. св. Кирил и Методий""","1476","Хуманитарни науки","0","0","0","0","0","0"
"2024","4","603077","Средно училище ""Св. св. Кирил и Методий""","1480","Математическа","0","0","0","0","0","0"
"2024","4","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0013","Компютърна техника и технологии","0","0","0","0","0","0"
"2024","4","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0014","Електроенергетика","0","0","0","0","0","0"
"2024","4","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0015","Ядрена енергетика","0","0","0","0","0","0"
"2024","4","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0016","Tоплотехника","0","0","0","0","0","0"
"2024","4","603078","Професионална гимназия по ядрена енергетика ""Игор Курчатов""","0020","Управление на радиоактивни отпадъци","0","0","0","0","0","0"
