"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2966",""" Монтьор на транспортна техника""","82","0","0","265","0","0"
"2024","1","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2965",""" Сътрудник в малък и среден бизнес""","116","0","0","222","0","0"
"2024","1","909501","Средно училище ""Васил Левски""","3956","Обществени науки","94","0","0","352.5","0","0"
"2024","1","909501","Средно училище ""Васил Левски""","2846","Природни науки","164","0","0","464","0","0"
"2024","1","909501","Средно училище ""Васил Левски""","3256","Софтуерни и хардуерни науки","251.5","0","0","439","0","0"
"2024","2","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2966",""" Монтьор на транспортна техника""","0","0","0","0","0","0"
"2024","2","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2965",""" Сътрудник в малък и среден бизнес""","0","0","0","0","0","0"
"2024","2","909501","Средно училище ""Васил Левски""","3956","Обществени науки","0","0","0","0","0","0"
"2024","2","909501","Средно училище ""Васил Левски""","2846","Природни науки","0","0","0","0","0","0"
"2024","2","909501","Средно училище ""Васил Левски""","3256","Софтуерни и хардуерни науки","0","0","0","0","0","0"
"2024","3","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2966",""" Монтьор на транспортна техника""","142","0","0","142","0","0"
"2024","3","909503","Професионална гимназия по транспорт ""Христо Смирненски""","2965",""" Сътрудник в малък и среден бизнес""","0","0","0","0","0","0"
"2024","3","909501","Средно училище ""Васил Левски""","3956","Обществени науки","0","0","0","0","0","0"
"2024","3","909501","Средно училище ""Васил Левски""","2846","Природни науки","352.5","0","0","352.5","0","0"
"2024","3","909501","Средно училище ""Васил Левски""","3256","Софтуерни и хардуерни науки","0","0","0","0","0","0"
