"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1701602","Професионална гимназия","0998","""Организатор интернет приложения""""","89","0","0","270","0","0"
"2024","1","1701602","Професионална гимназия","0988","""Техник-растениевъд""","93","0","0","214.5","0","0"
"2024","1","1701601","Средно училище ""Христо Ботев""","0894","Природни науки","207","0","0","388.5","0","0"
"2024","1","1701601","Средно училище ""Христо Ботев""","0876","Чужди езици - АЕ","293","0","0","441","0","0"
"2024","2","1701602","Професионална гимназия","0998","""Организатор интернет приложения""""","77","0","0","184","0","0"
"2024","2","1701602","Професионална гимназия","0988","""Техник-растениевъд""","93","0","0","181","0","0"
"2024","2","1701601","Средно училище ""Христо Ботев""","0894","Природни науки","198","0","0","283.5","0","0"
"2024","2","1701601","Средно училище ""Христо Ботев""","0876","Чужди езици - АЕ","282","0","0","283","0","0"
"2024","3","1701602","Професионална гимназия","0998","""Организатор интернет приложения""""","0","0","0","0","0","0"
"2024","3","1701602","Професионална гимназия","0988","""Техник-растениевъд""","186","0","0","186","0","0"
"2024","3","1701601","Средно училище ""Христо Ботев""","0894","Природни науки","0","0","0","0","0","0"
"2024","3","1701601","Средно училище ""Христо Ботев""","0876","Чужди езици - АЕ","0","0","0","0","0","0"
"2024","4","1701602","Професионална гимназия","0998","""Организатор интернет приложения""""","0","0","0","0","0","0"
"2024","4","1701602","Професионална гимназия","0988","""Техник-растениевъд""","66","0","0","66","0","0"
"2024","4","1701601","Средно училище ""Христо Ботев""","0894","Природни науки","0","0","0","0","0","0"
"2024","4","1701601","Средно училище ""Христо Ботев""","0876","Чужди езици - АЕ","0","0","0","0","0","0"
