"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3479","Механизация на селското стопанство - с Английски език, без интензивно и без разширено","54","0","0","218","0","0"
"2024","1","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3484","Спедиция, транспортна и складова логистика - с Английски език, без интензивно и без разширено","82","0","0","124","0","0"
"2024","1","1500611","Средно училище ""Крум Попов""","2021","Предприемачески - Предприемачество и Информационни технологии, с Английски език","170","0","0","373","0","0"
"2024","1","1500611","Средно училище ""Крум Попов""","2029","Природни науки - Биология и ЗО и Химия и ООС, с Английски език","62","0","0","268.5","0","0"
"2024","2","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3479","Механизация на селското стопанство - с Английски език, без интензивно и без разширено","0","0","0","0","0","0"
"2024","2","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3484","Спедиция, транспортна и складова логистика - с Английски език, без интензивно и без разширено","0","0","0","0","0","0"
"2024","2","1500611","Средно училище ""Крум Попов""","2021","Предприемачески - Предприемачество и Информационни технологии, с Английски език","0","0","0","0","0","0"
"2024","2","1500611","Средно училище ""Крум Попов""","2029","Природни науки - Биология и ЗО и Химия и ООС, с Английски език","118.5","0","0","174.5","0","0"
"2024","3","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3479","Механизация на селското стопанство - с Английски език, без интензивно и без разширено","0","0","0","0","0","0"
"2024","3","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3484","Спедиция, транспортна и складова логистика - с Английски език, без интензивно и без разширено","0","0","0","0","0","0"
"2024","3","1500611","Средно училище ""Крум Попов""","2021","Предприемачески - Предприемачество и Информационни технологии, с Английски език","0","0","0","0","0","0"
"2024","3","1500611","Средно училище ""Крум Попов""","2029","Природни науки - Биология и ЗО и Химия и ООС, с Английски език","0","0","0","0","0","0"
"2024","4","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3479","Механизация на селското стопанство - с Английски език, без интензивно и без разширено","0","0","0","0","0","0"
"2024","4","1500613","Професионална гимназия по селско стопанство и транспорт ""Никола Йонков Вапцаров""","3484","Спедиция, транспортна и складова логистика - с Английски език, без интензивно и без разширено","0","0","0","0","0","0"
"2024","4","1500611","Средно училище ""Крум Попов""","2021","Предприемачески - Предприемачество и Информационни технологии, с Английски език","56","0","0","56","0","0"
"2024","4","1500611","Средно училище ""Крум Попов""","2029","Природни науки - Биология и ЗО и Химия и ООС, с Английски език","0","0","0","0","0","0"
