"year","klasirane","school_code","school_name","profile_code","profile_name","min_score_total","min_score_male","min_score_female","max_score_total","max_score_male","max_score_female"
"2024","1","1209012","Професионална гимназия по производствени технологии","4685","Икономист - информатик","165","225","165","392","377.5","392"
"2024","3","1209012","Професионална гимназия по производствени технологии","4685","Икономист - информатик","0","0","0","0","0","0"
"2024","4","1209012","Професионална гимназия по производствени технологии","4685","Икономист - информатик","341.5","0","341.5","341.5","0","341.5"
"2024","1","1209012","Професионална гимназия по производствени технологии","4694","Монтьор на подемно - транспортна техника","201","201","0","257","257","0"
"2024","3","1209012","Професионална гимназия по производствени технологии","4694","Монтьор на подемно - транспортна техника","141","259","141","283","283","218.5"
"2024","4","1209012","Професионална гимназия по производствени технологии","4694","Монтьор на подемно - транспортна техника","0","0","0","0","0","0"
"2024","1","1209012","Професионална гимназия по производствени технологии","4695","Техник на електронна техника","0","0","0","0","0","0"
"2024","3","1209012","Професионална гимназия по производствени технологии","4695","Техник на електронна техника","0","0","0","0","0","0"
"2024","4","1209012","Професионална гимназия по производствени технологии","4695","Техник на електронна техника","0","0","0","0","0","0"
"2024","1","1209012","Професионална гимназия по производствени технологии","4693","Техник по транспортна техника","64","64","0","357","357","0"
"2024","3","1209012","Професионална гимназия по производствени технологии","4693","Техник по транспортна техника","214","214","341.5","341.5","214","341.5"
"2024","4","1209012","Професионална гимназия по производствени технологии","4693","Техник по транспортна техника","0","0","0","0","0","0"
"2024","1","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","0131","Производство и обслужване в заведенията за хранене и развлечения","30","30","41","246","210","246"
"2024","3","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","0131","Производство и обслужване в заведенията за хранене и развлечения","0","0","0","0","0","0"
"2024","4","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","0131","Производство и обслужване в заведенията за хранене и развлечения","0","0","0","0","0","0"
"2024","1","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","0127","Търговия на едро и дребно","99","99","130.5","306","256","306"
"2024","3","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","0127","Търговия на едро и дребно","0","0","0","0","0","0"
"2024","4","1202036","Професионална гимназия по хранене и земеделие ""Дмитрий Иванович Менделеев""","0127","Търговия на едро и дребно","0","0","0","0","0","0"
"2024","1","1209006","Профилирана гимназия ""Найден Геров""","0677","Природни науки","288","318.5","288","433","421.25","433"
"2024","3","1209006","Профилирана гимназия ""Найден Геров""","0677","Природни науки","0","0","0","0","0","0"
"2024","4","1209006","Профилирана гимназия ""Найден Геров""","0677","Природни науки","0","0","0","0","0","0"
"2024","1","1209006","Профилирана гимназия ""Найден Геров""","0665","Софтуерни и хардуерни науки","137","243","137","428","382","428"
"2024","3","1209006","Профилирана гимназия ""Найден Геров""","0665","Софтуерни и хардуерни науки","313","0","313","313","0","313"
"2024","4","1209006","Профилирана гимназия ""Найден Геров""","0665","Софтуерни и хардуерни науки","183.75","183.75","0","183.75","183.75","0"
"2024","1","1209005","Средно училище ""Димитър Маринов""","3044","Графичен дизайн","161.5","161.5","173","460.5","460.5","334"
"2024","3","1209005","Средно училище ""Димитър Маринов""","3044","Графичен дизайн","373.5","0","373.5","373.5","0","373.5"
"2024","4","1209005","Средно училище ""Димитър Маринов""","3044","Графичен дизайн","0","0","0","0","0","0"
"2024","1","1209003","Средно училище ""Отец Паисий""","4505","Техник-озеленител","34","34","234","348","297","348"
"2024","3","1209003","Средно училище ""Отец Паисий""","4505","Техник-озеленител","0","0","0","0","0","0"
"2024","4","1209003","Средно училище ""Отец Паисий""","4505","Техник-озеленител","0","0","0","0","0","0"
